id,price,moonRank,💎 score (%),storeURL,background,clothes,expression,eyes,hat,toy,type
404,0.05,853,68.83,https://magiceden.io/item-details/41gJkKFnG8K2ba8WRdn3qXsRXzLd5eoy5fAyRzikQyic,Cyan,Naked,Stomach Ache,Monocle,Baseball Cap,Lollipop,Black
467,0.05,584,78.59,https://magiceden.io/item-details/9krinsM8EhoRJrHSFgXvKjVofSM9HZCiQVcnz6NWVQdp,Baby Blue,Overalls,Stomach Ache,Eye Patch,Baseball Cap,Fish Snack,White
475,0.1,947,64.92,https://magiceden.io/item-details/GwY4J6p1HmVV82AL6eeo7jjBp1nF1HvC5qa2qknsAjpL,Purple,Plain Shirt,Tired,None,Safari Hat,Coffee Mug,Siamese
478,0.1,807,70,https://magiceden.io/item-details/2qELMFiB2pr5MRMU5Gw2cnN7Eonq2GwoHz2CBw6SQ4gd,Light Green,Safari Uniform,Tired,None,Mini Afro,Lollipop,Spotted
483,0.04,725,73.57,https://magiceden.io/item-details/FsPgzYFLWRjHpuQP1avYzBuVKa2CKNfZ88A1Xyixd4Le,Light Green,Overalls,Excited,Sunglasses,Crown,None,White
497,0.029,913,66.86,https://magiceden.io/item-details/CT7XfBPySJbzYmL7mjsR5zN9o3orh39bxPyxGTiLk6ZC,Yellow,Overalls,Happy,None,Unicorn,Cake,Siamese
502,0.1,546,79.47,https://magiceden.io/item-details/AftBCPMP2rLgUxgUndrgTLnCtzta3Qw7AwqZgytsu4qH,Dark Purple,MJ,Shy,None,Unicorn,Cake,Spotted
507,0.032,914,66.79,https://magiceden.io/item-details/8ExoLVb63hEHuHedcERTqkqRF1BZxkeF7P9RYxfmiGjf,Baby Blue,Safari Uniform,Dead,None,Halo,Cake,White
514,0.1,250,90.22,https://magiceden.io/item-details/CG3gSCsS7hguMSmync5pkKh13uwTxU2idwvyy7CyJ44Z,Light Green,Plain Shirt,Stomach Ache,Sunglasses,Crown,Ice Cream,Spotted
520,0.05,815,70.21,https://magiceden.io/item-details/66wtvmgxS5xPUcQoMbf4fN4ozdMaDii6kmQpi3FsJCDQ,Salmon,Plain Shirt,Excited,None,Baseball Cap,Rubber Ducky,Striped
530,0.05,641,76.52,https://magiceden.io/item-details/F5wC86BzgacuoH9Kd3Dk5mZH98Dh4ALkftFUNVgYaByX,Salmon,Safari Uniform,Tired,Monocle,Halo,None,Black
542,0.1,798,70.32,https://magiceden.io/item-details/8KsKqWYyMi5Zd43RdZQSyaErnzXBxDNdL7PKan6JyrmC,Yellow,Plain Shirt,Stomach Ache,None,Mini Afro,Fish Snack,Striped
553,0.1,489,81.54,https://magiceden.io/item-details/41HpWJrbMbwGwAvmZRzKHf4H22881PG1mPnZcSNetwSa,Salmon,Mermaid,Shy,None,Safari Hat,Coffee Mug,Striped
579,0.48,791,66.78,https://alpha.art/t/BCCkU7hghakn69mDsEXPiwDVZeTHrzc1kvEGncT26M3X,Baby Blue,Plain Shirt,Happy,Sunglasses,Safari Hat,Cake,White
584,0.1,537,79.8,https://magiceden.io/item-details/6UFoJdLfLu8h4FogpNhrb2V28ULLbpBPvafJ5YLHDRMu,Dark Purple,Solana Sweater,Shy,None,Baseball Cap,Rubber Ducky,Black
591,0.1,1020,62.27,https://magiceden.io/item-details/9g2Pn9dwiwqGxejXvckksahkYwDTYEbZWXq7XUpocEJw,Purple,Naked,Stomach Ache,None,Baseball Cap,Rubber Ducky,White
597,0.1,766,71.49,https://magiceden.io/item-details/8DRY2zrq66Qv4VAjWjpsA6nuM4pUvRk1Ncnnr5DnXekj,Yellow,Safari Uniform,Tired,None,Mini Afro,Yarn,Black
598,0.1,656,75.48,https://magiceden.io/item-details/uxwErWXNTWkRCC4ayavPuUbtd9iUgiNm8fD1pfY3gvM,Dark Purple,Safari Uniform,Stomach Ache,Monocle,Baseball Cap,None,Siamese
599,0.05,1044,61.9,https://magiceden.io/item-details/G5AJcFt7TiVAnaTRhNusqX4AtdrBqDXuSzQTd42gCMC9,Baby Blue,Plain Shirt,Dead,None,Safari Hat,Cake,Black
615,0.03,789,71.35,https://magiceden.io/item-details/29pKnaNhQqCe9WNDFaGeJfVjJ9NJR3vMXCD8eSY8Ln8u,Baby Blue,Naked,Excited,Eye Patch,Mini Afro,Lollipop,White
616,0.1,366,86.01,https://magiceden.io/item-details/FYvpoteFKCdZp53GDTYmJMrj3U6xm2AhRv8ZyXJ9EHun,Dark Purple,Plain Shirt,Excited,Sunglasses,Crown,Coffee Mug,Spotted
619,0.1,608,77.22,https://magiceden.io/item-details/2Q8Wqh4yx1RbUopUCgunRv7gJx5UkQMKcXScuCZZLLE4,Yellow,Naked,Shy,None,Crown,Cake,Squid
664,0.1,451,82.92,https://magiceden.io/item-details/Gcy95knqZMDF4oNu4tbzLF53bjHbiKeQpjutUyJh6Xit,Light Green,MJ,Excited,Snorkel Mask,Birthday Hat,Cake,White
673,0.04,999,63.63,https://magiceden.io/item-details/ANtP9nfpNaJ3assxEQf5sVNcsQ7ebw5EPpU4C4hd8R4q,Yellow,MJ,Shy,None,Unicorn,Coffee Mug,Black
674,0.1,345,86.77,https://magiceden.io/item-details/Ay2Bydi4ZHi7EYz43S9vbUGze7zmJM3XFLi1RjFzhjen,Dark Purple,Overalls,Stomach Ache,3D Glasses,Baseball Cap,None,Siamese
680,0.1,1069,60.49,https://magiceden.io/item-details/Fjz3vVmQc6BC7hXDFwm2ZxdtmzbMq1sHKg156Yo4aRsG,Purple,Naked,Dead,None,Mini Afro,Cake,Black
685,0.8,655,68.52,https://alpha.art/t/G6xXjmk82VXUPD3JykgzRy5rzBVEZDDdo8fmvhUxu3Pa,Cyan,Plain Shirt,Excited,Monocle,Birthday Hat,Fish Snack,White
700,0.1,736,72.57,https://magiceden.io/item-details/BYAv3kMR1996tsTT3wneCm6FFZsm2gs9TtZ4j8yApFe5,Yellow,Plain Shirt,Dead,None,Halo,Cake,Striped
711,0.1,792,70.54,https://magiceden.io/item-details/FRy4NQAKZ7YunnkRkwcJ5cqQqcur2ARduCTTo2EeokzQ,Purple,Overalls,Dead,None,Mini Afro,Cake,Spotted
727,0.1,483,81.76,https://magiceden.io/item-details/6h7HVaMph6tCToCSm92XKnV7K8MLb9kXbwhgsgT7LK1i,Dark Purple,Safari Uniform,Happy,Eye Patch,Safari Hat,None,Siamese
744,0.04,415,84.83,https://magiceden.io/item-details/5f4CGLis5eFoLhJtJsrZFAB7AuYH8mSok2sAj62dC6L8,Dark Purple,MJ,Happy,None,Mini Afro,Ice Cream,Striped
751,0.05,1012,63.06,https://magiceden.io/item-details/7jBC2b21oBLV4VBMJn49s1dVqzMtLK7Vd38qrGmZWNwr,Baby Blue,Overalls,Stomach Ache,None,Safari Hat,Coffee Mug,Black
775,0.08,301,88.56,https://magiceden.io/item-details/BA7ZGPWypb4V9giMPVMDm9ha6LcMnWacByFNBB5tSHiA,Baby Blue,Plain Shirt,Dead,None,Mini Afro,Cake,Zombie
777,0.1,759,71.74,https://magiceden.io/item-details/9EjT7VpYiX1F1zJp5LJSJ44urrnG7sfLdxaJf1XyRgjr,Dark Purple,Safari Uniform,Tired,Monocle,Birthday Hat,Cake,White
788,0.1,293,88.65,https://magiceden.io/item-details/6aqoN7CPyfxyzPUiWesxKgCuaW4mYJ4V98JiX9Hjqde4,Dark Purple,Swimsuit,Tired,None,Unicorn,Rubber Ducky,Squid
792,0.1,1038,61.61,https://magiceden.io/item-details/7fUqXGwQNyv6ndhttaPPruyqDVZbYB8myUmuqbiskpvA,Purple,Naked,Stomach Ache,None,Safari Hat,Coffee Mug,White
798,0.05,809,70.43,https://magiceden.io/item-details/AHmyCode4ykYivmPrtwbNG5gnrdU8EobXW4ZtiXqyutE,Cyan,Mermaid,Stomach Ache,None,Birthday Hat,Ice Cream,White
804,0.08,938,65.44,https://magiceden.io/item-details/82Ron3UGeWyj1uiVEE8iqBMJTLt69dy7Rpqw918DqPr4,Light Green,Plain Shirt,Happy,None,Unicorn,Fish Snack,Black
806,0.1,276,89.27,https://magiceden.io/item-details/AmfUkuPZjrFhE4VZnosghxpDw4wM41YBvEyE6w3tPgHk,Light Green,Mermaid,Shy,3D Glasses,Unicorn,None,White
810,0.1,644,75.91,https://magiceden.io/item-details/C4DZbHRfrWjfNvhwnRWKhsRiMH8Qkun1sToXdyTLydHg,Light Green,MJ,Stomach Ache,None,Baseball Cap,Fish Snack,Siamese
811,0.08,992,63.48,https://magiceden.io/item-details/7Zmfduw5YMFBmqDHQV9wADzQPacxmM6RXcMV6KTwmd3Y,Yellow,Swimsuit,Dead,None,Mini Afro,Lollipop,White
826,0.1,229,90.98,https://magiceden.io/item-details/JAFw4oyzaJjmtK3JXwJywZTmRgc45CHt6EigWnXMrrgx,Baby Blue,Overalls,Dead,Sunglasses,Safari Hat,Coffee Mug,Squid
828,0.1,744,72.28,https://magiceden.io/item-details/CUZ6pNn5RGijrJdnDJn1URUiwh21yp1W2vZjZW8Pvj93,Dark Purple,Plain Shirt,Dead,None,Baseball Cap,Cake,Squid
852,0.1,923,65.79,https://magiceden.io/item-details/9GmbS1ykrVnNVszkmPsfKgVFCosJTbgnPVqnyXn6EQpj,Yellow,Safari Uniform,Happy,Eye Patch,Birthday Hat,None,White
862,0.1,373,85.75,https://magiceden.io/item-details/92JA6XxMczsZJ9fGtaYggathoneoikg7cLN1c9jQjS6g,Baby Blue,Naked,Shy,Eye Patch,Safari Hat,Coffee Mug,Striped
866,0.1,930,65.53,https://magiceden.io/item-details/3GutGKMS81bDcSW1E3XETo9GbC3anLNsUDEFPjPGkJrh,Cyan,Overalls,Stomach Ache,None,Birthday Hat,None,Striped
869,0.1,401,84.73,https://magiceden.io/item-details/4JswTjFP3bLuNQmmyQy9pxgxUHJENUN3oUXKd7nvtpy2,Salmon,Mermaid,Stomach Ache,Monocle,Crown,Cake,Black
886,0.1,267,89.6,https://magiceden.io/item-details/7iK7vmKWRkAPTaZW5dZS9zzxhrgTj1tBDxQmzjy6UejR,Purple,Swimsuit,Stomach Ache,Sunglasses,Baseball Cap,Ice Cream,Spotted
888,0.1,945,64.99,https://magiceden.io/item-details/Erku6MvoAmrqET2wgaKQvmRxmh8csmBwKLmhQAyxrWwQ,Salmon,Safari Uniform,Dead,None,Unicorn,Rubber Ducky,Black
905,0.05,429,84.22,https://magiceden.io/item-details/7qEnDC3LNTHTf2oCjuWwLhMhCcjst2SFhRP9jsz3ZbGD,Light Green,Plain Shirt,Excited,3D Glasses,Mini Afro,Rubber Ducky,Black
913,0.1,563,78.85,https://magiceden.io/item-details/JDqEvUTHnZvMohaEb9Jgqei8NGwj64sfbMSPZxAyWBho,Purple,Naked,Stomach Ache,None,Safari Hat,Lollipop,Squid
918,0.1,182,92.68,https://magiceden.io/item-details/7Cb8AAQsRDDC6QyqR1gRYitMpp1ZpvtKE4KrCZK8BVrU,Dark Purple,Naked,Stomach Ache,Monocle,Mini Afro,Rubber Ducky,Squid
926,0.1,1093,59.62,https://magiceden.io/item-details/FWtyAb88gntxMFqhiznvCNKn9Sb65Zg4i5KFKeaP1YJB,Cyan,Naked,Shy,None,Baseball Cap,Cake,White
939,0.1,465,82.41,https://magiceden.io/item-details/Cksse3eFexpkcZ6RKrK1qrWyekq4QvvvHpDuVjdBgCUB,Dark Purple,Overalls,Stomach Ache,Sunglasses,Baseball Cap,Coffee Mug,Spotted
943,0.1,775,71.16,https://magiceden.io/item-details/Fm5SanncDxpF1oi3UU9fRiVAog8i9msaVjS3BuTt6n9b,Salmon,Plain Shirt,Stomach Ache,None,Crown,Cake,Spotted
957,0.1,579,78.27,https://magiceden.io/item-details/BTTkMRq27TK3h4P81aTuRK6uQTwrowKZj4bte8uLodwP,Light Green,Safari Uniform,Shy,3D Glasses,Mini Afro,None,White
965,0.05,808,70.46,https://magiceden.io/item-details/FknSVWptLwTDNi74GajUT7r8YSLXj2PBCfRsRtiio7nJ,Yellow,Overalls,Tired,None,Halo,Ice Cream,Black
1085,0.1,252,90.14,https://magiceden.io/item-details/6tcVKyMaxPnt9Rj7ypBnv2VpVcBHe32Yx1Kjfi2JZUmQ,Yellow,Naked,Tired,Eye Patch,Crown,Yarn,Black
1091,0.1,769,71.38,https://magiceden.io/item-details/BM75prCP5UX71pqDhK8V2XUCaSYuezw8H4ENDSYVECLV,Purple,Plain Shirt,Excited,Eye Patch,Birthday Hat,None,Siamese
1107,0.08,851,68.6,https://magiceden.io/item-details/2eurujpER8ix1SbeTSpkL6EHQGxyeB7AzsoaVos6ntif,Baby Blue,Overalls,Happy,Sunglasses,Baseball Cap,Cake,Black
