id,price,moonRank,💎 score (%),storeURL,Background,Base,Clothing,Eyes,Head,Mouth
1051,0.25,2341,76.03,https://magiceden.io/item-details/5JZgm5Vrcq72SqHK3BpkYiZHcn97vxvnUtEh3h4rKNbB,Green,baseCub,Poncho,Eye Patch,Clubhouse Hat,Tongue
1054,0.3,1135,87.62,https://magiceden.io/item-details/Budv65PQpqTyKKPhhsb6TjjRv8eZz5WphJqAX3pAVYTY,Teal,baseCub,Skeleton Shirt,Red Retro Sunglasses,Beanie,Smirk
1057,0.5,479,92.19,https://magiceden.io/item-details/33rdwNcEzi3ESMbJoJeSQEcfpB4JXqqL6U6RVugFRCLd,Yellow,baseCub,Coconut Bra,Monocle,Penguin Hat,Vampire
1076,0.319,1866,80.1,https://magiceden.io/item-details/5LXMSepcfANGTtbhTvgbdTvTqdem3nR9KJU1jhtk12oi,Blue,baseCub,Red Polo,Shades,Duck Hat,Vampire
1113,0.4,3069,67.24,https://magiceden.io/item-details/BzMWfpw8ChtSM2keYdrASiJMhoDzqmhPYdXv3L7yTBvj,Blue,baseCub,Water Kimono,Eye Patch,Fireman Hat,Whistle
1162,0.5,3992,56.99,https://magiceden.io/item-details/6NRS2kuKUwTzg5j2qsZSssMWotNtTFcC2jLZaiGNotbx,Purple,baseCub,Hawaiian Shirt,Brown,Clubhouse Hat,Happy
1184,0.3792,1971,78.45,https://magiceden.io/item-details/F5qu36kz261YiuYwvGAuSwAghUJrPQftHo1FGXAjDnsc,Green,baseCub,Purple Polo,Hero Mask,Detective Hat,Happy
1211,0.44,3785,59.66,https://magiceden.io/item-details/DCNekwyD3RkN9GPPxQnDmZkAqpUHWWAaWzqpX717z3jx,Teal,baseCub,Hawaiian Shirt,Mad,Halo,Happy
1212,0.4,2736,70.58,https://magiceden.io/item-details/Dh5j6WdhaTLBw5jQVFvJo9AGKX2rP6ThiqWqYheadv2r,Pink,baseCub,Zebra Print Jacket,Brown,Beanie,Tongue
1239,0.6,847,87.5,https://magiceden.io/item-details/Eh1uhgta5bq8GfvVus8om7uN7CnBdRCiwKcRTxGJ36rD,Pink,baseCub,Pink Camo Jacket,Shades,Fireman Hat,Whistle
1242,0.395,1883,79.17,https://magiceden.io/item-details/AsFqbdZdHsimi2T4FugPbEfo2LDeTHob3UGWcFnFmWL7,Orange,baseCub,Zebra Print Jacket,Monocle,Prop Hat,Drooling
1256,0.2,2001,79.94,https://magiceden.io/item-details/Ei4CZUuzCEE7MEpQAT5jWyaiguUvbgP4Lzq7A8K9nM3V,Yellow,baseCub,WAGMI Shirt,Mad,Cowboy Hat,Vampire
1258,0.2,3442,65.5,https://magiceden.io/item-details/ADowsBjCrkpunJBjpgj2KxYh29xRP8Xj9iSneJMijZrz,Yellow,baseCub,Blue Sweatshirt,Brown,Fireman Hat,Smirk
1259,0.2,3080,69.13,https://magiceden.io/item-details/ChxZqkdG6bg4n1dRsgjLdidkerwF3q6nCjZiTafJQJ9K,Green,baseCub,Cowboy Coat,Mad,Ninja Headband,Smirk
1287,0.2,1525,84.71,https://magiceden.io/item-details/9KUFtCz8ZQ1t39akmufrEQUqG3i8aa82TN6ducZU7nrh,Purple,baseCub,Sweater,Eye Patch,Leaf Crown,Kawaii
1299,0.3,1072,88.25,https://magiceden.io/item-details/7Hoj8GJPriCfJce4eDL7imVnnQYQT1CB5ZTu5cKvJPmY,Orange,baseCub,Tiger Print Jacket,Black Retro Sunglasses,Rainbow Headband,Jaw Drop
1314,0.395,2640,71.59,https://magiceden.io/item-details/7zWuQfx6UeNL2217hBgwvn5WQZU7TQ1esQxpXuRSJZNY,Pink,baseCub,Blue Apron,Snow Goggles,Prop Hat,Happy
1327,0.2,2807,71.86,https://magiceden.io/item-details/3j6gj6LsUHBhbM8TM2VP2qCPKCpxvmA8VXpWWPDhPJ81,Yellow,baseCub,Hawaiian Shirt,Mad,None,Kawaii
1331,0.32,3945,59.26,https://magiceden.io/item-details/GoourBwKStVQxqscw6CdvKar4MLqHAmMijKzAjNnYzDV,Green,baseCub,Hawaiian Shirt,Brown,Ice Cube,Bone
1354,0.5,466,92.32,https://magiceden.io/item-details/Hkr1Vr2JADjgJyGChxirAxXJ996oSUGeSRNZ6Ks2QzLc,Green,baseCub,Zebra Print Jacket,Cute,Ice Cube,Bubble Gum
1444,0.3,2606,72.88,https://magiceden.io/item-details/FLikpov21DSL5p1q4xQsG2pEcrCnbJ3skQoz4HTQBWTx,Blue,baseCub,Red Polo,Snow Goggles,Detective Hat,Smirk
1460,0.2,3935,60.56,https://magiceden.io/item-details/DHjk31NwRSDX3LXE8w14kMdfzsRotrN4eUf59KsvKrtf,Orange,baseCub,Red Polo,Brown,Bucket Hat,Whistle
1495,0.35,1197,86.5,https://magiceden.io/item-details/4uz7DATBUc3PgCX29CSL8opK1QvN1pxjYbqzyFQ2PqWG,Pink,baseCub,Tiger Print Jacket,Brown,Prop Hat,Kawaii
1499,0.2,2976,70.17,https://magiceden.io/item-details/5uA2nX15hPf2J1jHS64BEDbAkE7pgUkiteFVttrPzZ4Q,Orange,baseCub,Coconut Bra,Blue,Elf Hat,Frown
1546,0.35,2128,77.17,https://magiceden.io/item-details/nfgTyGay2XAbJRn3NNPhAuNrU3niimgXbdcnzUuxeGV,Pink,baseCub,Blue Apron,Snow Goggles,Bow,Kawaii
1568,0.4,3450,63.42,https://magiceden.io/item-details/JqCz1p4rNUXRD9uohTJV7CsBwoL9De9JytqAXXZATTR,Green,baseCub,Coconut Bra,Monocle,Bow,Scared
1576,0.25,3454,64.88,https://magiceden.io/item-details/7MLjJ4ZNjyAg5TxG6JhrwUQ2PrYf1sjvXptBHTD7fJPn,Orange,baseCub,Blue Uniform,Black Retro Sunglasses,Bucket Hat,Smirk
1582,0.25,3766,61.75,https://magiceden.io/item-details/2ZiDsHCzcxPEK88FkkdX8ruPHAFaMgoPV7CS1TprxXgj,Purple,baseCub,Rain Jacket,Brown,Cub Hat,Drooling
1586,0.3,2981,69.12,https://magiceden.io/item-details/9C9NxCWa5DEeM5QUhpRR1rRRcxXcbGni4XUYrMGWtdQK,Purple,baseCub,Zebra Print Jacket,Brown,Ninja Headband,Jaw Drop
1605,0.25,2831,71.12,https://magiceden.io/item-details/7quEaYKX2yJPbtMic4y7ZYH1dt8tyXeWk4krzxYcZJFk,Blue,baseCub,Choker,Blue,Bow,Tongue
1611,0.3,1676,82.2,https://magiceden.io/item-details/9BvdHqt4aZzfNGhjVs2fAYYZJh3Z54QaSBPrB697D6E1,Yellow,baseCub,Sweater,Red Retro Sunglasses,Ninja Headband,Happy
1623,0.4,2815,69.78,https://magiceden.io/item-details/4sJ6hdJ88x4RtpivSXgRwbfg2wTN2Jp3U6T5DQWa86tK,Green,baseCub,Banana Shirt,Squinting,Prop Hat,Scared
1634,0.2,2933,70.6,https://magiceden.io/item-details/AcBGNqHCozdTsdTYV8tP79TJVsAUPs1F2pVhYiRZvMkV,Pink,baseCub,Hawaiian Shirt,Blue,Top Hat,Tongue
1670,0.45,1895,78.5,https://magiceden.io/item-details/DiqS449fsd1WzZZkYKALkDRzaiwcUSMDgbn4edfwMjAu,Blue,baseCub,Water Kimono,Red Retro Sunglasses,Fireman Hat,Drooling
1699,0.5,1500,81.96,https://magiceden.io/item-details/EDd4gdZdpeof733xpaYmAUQh1axa3E9sZrQb3vSBTNLc,Green,baseCub,Tuxedo,Grumpy,Beanie,Vampire
1721,0.35,1205,86.42,https://magiceden.io/item-details/CNRCDkQ7ZLNkuUY6DhxgiW84Z36iRBKmp8baCnTzTPqm,Blue,baseCub,WAGMI Shirt,Shades,Leaf Crown,Jaw Drop
1786,0.5,451,92.47,https://magiceden.io/item-details/EtBE9EepBP3eYQsfQxWVRvwiRm6v3dm5kNAwpSBM3Py1,Orange,baseCub,Banana Shirt,Derpy,Red Trojan Helmet,Smirk
1796,0.33,3367,64.95,https://magiceden.io/item-details/F1Za1eKJ6YrCXH4a3zUTrM3ddiSe1WQPjKGH41GyJDNy,Blue,baseCub,Red Polo,Grumpy,Cowboy Hat,Frown
1797,0.24,2318,76.36,https://magiceden.io/item-details/uKGj9jtG7hjuNfpGccqVNiVrPUtBSJRp6ELZFjizRcD,Blue,baseCub,Hawaiian Shirt,Hero Mask,Cowboy Hat,Jaw Drop
1802,0.5,1201,84.96,https://magiceden.io/item-details/3jiuh6uuXLyyXf1abyimGRNJDed1t9LAdv2ZvmsZtjva,Pink,baseCub,Blue Sweatshirt,Brown,Banana,Vampire
1811,0.5,1344,83.52,https://magiceden.io/item-details/AHUXZLds8z8U4yJCaE5TjMrXYvvRLbusJbvNGrGpqGqt,Green,baseCub,Purple Polo,Cute,Prop Hat,Frown
1920,0.48,1278,84.38,https://magiceden.io/item-details/5sDKCRFvoZ7xwPJa3qM9tFt2yhwecdHTGx1kyxbaDp1P,Pink,baseCub,Cowboy Coat,Squinting,Halo,Frown
1932,0.45,858,88.89,https://magiceden.io/item-details/E8KXTSX82dZ8ceeoMLvRt1DdxyzjgDrzcqmPyvwMyreJ,Teal,baseCub,Zebra Print Jacket,Squinting,None,Frown
1967,1,2428,67.66,https://alpha.art/t/GoHhq88uCW9HPFKHNmQPkeLp8t24EYHGDRWkHHgqaNTJ,Blue,baseCub,Red Polo,Hero Mask,Bucket Hat,Kawaii
2002,0.3,1473,84.23,https://magiceden.io/item-details/G3fQ7LoepCu2arA3BaTHhb21kWyz42JRM5Xjz3aJrHen,Yellow,baseCub,Blue Uniform,Drippy Sunglasses,Top Hat,Kawaii
2011,0.21,3154,68.29,https://magiceden.io/item-details/5DoKX4yGjpdgmwEmsXcbHx2WAwpKjjMMBuEepPVYsbuu,Pink,baseCub,Hawaiian Shirt,Grumpy,Ice Cube,Whistle
2012,0.25,3119,68.24,https://magiceden.io/item-details/HVAruqW2LpKGF8jBiBwmt9KshmNUGFgja65x7cxjcKhx,Green,baseCub,Hawaiian Shirt,Cute,Beanie,Smirk
2032,0.2,3776,62.15,https://magiceden.io/item-details/7kHjWPB7rRNevFPh1gZPXiZtRaKqqEMGvXcAvtW4gvYB,Blue,baseCub,Hawaiian Shirt,Grumpy,Halo,Scared
2050,0.49,1566,81.4,https://magiceden.io/item-details/JCCcNAAhd1dcc7EjBw5keQ27eGxqXvLzVnCAyqrz4VQu,Orange,baseCub,Pink Apron,Hero Mask,Beanie,Serious
2054,0.5,1771,79.24,https://magiceden.io/item-details/7vH4GUrPfjUkiiEhPZkBmm2LkAv81pAt8ft7Xjcz4pNJ,Purple,baseCub,Blue Uniform,Grumpy,Fireman Hat,Vampire
2061,0.2,3735,62.57,https://magiceden.io/item-details/7iqUNVj8GZfWGSeWZG42ZxYULXqEYfFSnXsbKVXJNbrj,Purple,baseCub,Rain Jacket,Grumpy,Cowboy Hat,Smirk
2074,0.38,3956,58.55,https://magiceden.io/item-details/HwrTXTU4ULs7eqJde7t65bSXAws1A7RUpdw9Jnnwhdku,Green,baseCub,Blue Apron,Brown,Green Beret,Happy
2098,0.26,2877,70.56,https://magiceden.io/item-details/H4aGQoHDxZqXhDsxtMruAQPi5Ai4q6r145ZpAcgxi5mo,Orange,baseCub,Poncho,Mad,Cowboy Hat,Drooling
2122,0.29,3145,67.58,https://magiceden.io/item-details/5uKvbfKdDMS2eJJUoFdd8w2sdJaCBvqMDakrAJSkSqhK,Yellow,baseCub,Coconut Bra,Monocle,Top Hat,Happy
2183,0.3,3732,61.6,https://magiceden.io/item-details/7ziAo3B1D5v5gxwzpbo6nSFqnYQjjpYBZ11JjsZwueCY,Green,baseCub,Water Kimono,Grumpy,Bucket Hat,Smirk
2190,0.22,2382,75.92,https://magiceden.io/item-details/9P8YY9xJ7TS8XQYfyXfyzeTPVVzbF8kLcmEAe9MXugP3,Yellow,baseCub,Coconut Bra,Grumpy,Green Beret,Smirk
2198,0.35,946,89.01,https://magiceden.io/item-details/GGGeN9wgVioubNqAW5xoTyr4ESoVjADEjznNCqukjY2,Teal,baseCub,Blue Apron,Mad,Red Trojan Helmet,Kawaii
2283,0.5,2102,75.93,https://magiceden.io/item-details/2rRmGvTnpXz1yh3WgYnTz2yB4UiZW4jo2uBvhm44bdL9,Blue,baseCub,Tiger Print Jacket,Mad,Ice Cube,Smirk
2298,0.3,2674,72.2,https://magiceden.io/item-details/G5qmN9jVibUa46RY5dHPc3cFy1Siv1vWCXWy1SGjnA6H,Green,baseCub,Hawaiian Shirt,Eye Patch,Leaf Crown,Tongue
2319,0.3,2812,70.81,https://magiceden.io/item-details/3cCgP7JVdB5dHnwdgunM5bTY2eqrU6A9ubiYP7D7NSz7,Purple,baseCub,Skeleton Shirt,Mad,Fireman Hat,Whistle
2340,0.3,3115,67.78,https://magiceden.io/item-details/CEqz6vrpLAucmAVaHvqNrdzVHyBd983e5znfGpoPQqL5,Orange,baseCub,WAGMI Shirt,Grumpy,Banana,Happy
2356,0.26,3966,59.65,https://magiceden.io/item-details/H9Uka6Fa2KM33ZpcW6HMzmHZ5mJpWopLCCkJJT4dSEcg,Orange,baseCub,Blue Sweatshirt,Brown,Ice Cube,Smirk
2357,0.2,3734,62.58,https://magiceden.io/item-details/4qWhB3jqW8keZnzzqssP2bPCMKbRUcPS9pTPVJZnZyAY,Orange,baseCub,Hawaiian Shirt,Mad,Cowboy Hat,Drooling
2368,0.34,1580,82.76,https://magiceden.io/item-details/HysGTW4e5HZfgGsiXfJXLv1UPGh71vRvxvevs8sQ5y29,Yellow,baseCub,Pink Camo Jacket,Drippy Sunglasses,Bow,Tongue
2384,0.5,287,94.11,https://magiceden.io/item-details/3TMhT5E9JTbz2AYbY3u1GSNRqTnMpVgKydDuT8uqEjRm,Purple,baseCub,Pink Apron,Cute,Red Trojan Helmet,Drooling
2389,0.4,2410,73.84,https://magiceden.io/item-details/BoRD6PtrneQu2sSYMLQVVWJutTTwpGaeEkrga2XuqVd6,Green,baseCub,Zebra Print Jacket,Monocle,Prop Hat,Tongue
2410,0.25,1001,89.46,https://magiceden.io/item-details/33hs7RXNsMbL2CKQ7zW72mqbRrYGbjwRW2EdgwQTp3Kx,Teal,baseCub,Coconut Bra,Red,Rainbow Headband,Scared
2411,0.2,3974,60.17,https://magiceden.io/item-details/B4BpR7aAes6Yn9bKj9VgajRNd1P2ajCgcAV7deGbLabx,Purple,baseCub,Hawaiian Shirt,Brown,Cub Hat,Kawaii
2448,0.3,2444,74.5,https://magiceden.io/item-details/DTRzua9NL1HDFgpkjsgRsLgE6tLiBLf4DMivHBYPydq1,Purple,baseCub,Skeleton Shirt,Monocle,Rainbow Headband,Whistle
2459,0.3444,2614,72.35,https://magiceden.io/item-details/6QT41QdRLs4daVJcf8ZpNoXydoYoEor5wSvpVWd8sxy1,Purple,baseCub,Pink Apron,Mad,Detective Hat,Frown
2481,0.25,3447,64.95,https://magiceden.io/item-details/4x7LNcydVgReYW6v1WR7QL7WPnPtpxNjww81wPD2A2kZ,Orange,baseCub,Pink Apron,Brown,Clubhouse Hat,Serious
