id,price,moonRank,💎 score (%),storeURL,Background,Body,Ears,Eyes,Head,Mouth
2570,0.5,2750,65.19,https://magiceden.io/item-details/AE8aV3weBW8fCxNEoB4JeB7fNXM3rwrFS5DFn2GADTna,Red Gradient,Cyan,Nothing,Nothing,Nothing,Green NT Mask
2595,0.34,2099,74.65,https://magiceden.io/item-details/EL4XPH5aKdNk1DDuWXfpVZ3pEijhNZDhaXbXBL5xRQ5s,City,Blue,Nothing,Cyclowear,Nothing,Smile
2614,0.47,1727,77.84,https://magiceden.io/item-details/BzcmziU5MMbkvFBwV3rFZTy6PHpRuURgRnFaGV8C3nt,Blue Gradient,Brown,Nothing,Nothing,Bunny,Green NT Mask
2816,0.5,1031,85.95,https://magiceden.io/item-details/6wuduNp5x8xEii8YZy8weixVDKw3RnbT7Pbv49uXkCgB,Purple Gradient,Brown,Silver Earring,Nothing,Afro,Nothing
2921,0.65,2518,66.49,https://magiceden.io/item-details/8xAZiSjC1aNT7JiyaU7EjhJB8Ev479hM9WfHx8CP2bqT,Brown Gradient,Cyan,Nothing,Nothing,Saka,Nothing
2941,0.69,2357,68.03,https://magiceden.io/item-details/BAXBkk1fF97wChbsxrzamEnrnkMKxvC9wpUfDLycHYw1,Blue,Brown,Nothing,Nothing,Monkey Bun,Smile
2947,0.481,1896,75.69,https://magiceden.io/item-details/D7enBRYxEGnNG5ASZPXEndUpRL5AGEpvLud6uyNruYrK,Brown Gradient,Brown,Nothing,Nothing,Bunny,Jaws
2960,0.6,1151,83.5,https://magiceden.io/item-details/FLcbxpvW8y9aCUZ3Pa3Fk5wwYVNwTXZAZPnzR4mjoxBw,Red Gradient,Brown,Nothing,Angry Visor,Pan,Nothing
2967,0.69,2298,68.75,https://magiceden.io/item-details/GBEr4mmHy2QDq1dwsNMpyWfqKjK5cj9z8yBZpBcVt5Fr,Violet,Red,Nothing,Cyclowear,Nothing,Smile
3182,0.39,3308,59.55,https://magiceden.io/item-details/63JLqgH88XKg7y2ao4h2fdF1VZBTSUfLnPtZHjDkLYEh,Blue Gradient,Albino,Nothing,Nothing,Nothing,Nothing
3185,0.5,2226,71.52,https://magiceden.io/item-details/G3ftDFSLxETqkd35TyXvo9BJmPBcaNaSe7nznMshee6x,Purple Gradient,Cyan,Nothing,Virtual,Nothing,Smile
