id,price,moonRank,💎 score (%),storeURL,accessory 1,accessory 2,accessory 3,background,clothing,facial hair,head,helmet,type
1649,2.9,3144,65.53,https://magiceden.io/item-details/D82XJYwEaDaHfxKf9oXbdX9ECiRZrc9zC2Qg3DLZSvWz,No Accessory,No Accessory,No Accessory,Orange,Yellow Sari,No Beard,Blue Dupatta,No Helmet,Human
1663,5,2429,51.69,https://magiceden.io/item-details/GaYpAtdmL7Dgv1xoNFrMYUzXGfb5NbHY2mtv4LMkZhEf,Earring,No Accessory,No Accessory,Blue,Plain Black Tee,Beard,Rice,No Helmet,Human
1667,4,1476,71.23,https://magiceden.io/item-details/BPdZcQCW9ke83nCoFHEeuaF3kffESs1pBZmcX16bXrcr,Red Scouter,No Accessory,Cigarette,Blue,Red Hoodie,No Beard,Strawhat,No Helmet,Human
1676,3.49,3359,57.48,https://magiceden.io/item-details/WAwXVxwvxyfBv8BovMMfw3HJzpxhhuRC3zfqNfP59EG,No Accessory,No Accessory,Cigarette,Pink,Green Vardi,No Beard,Blue Bandana,No Helmet,Human
1693,3,1992,76.06,https://magiceden.io/item-details/7XenEK3PiHRjXuaK2dKyNspm54YrXKcEpmAsKYMaiwV9,No Accessory,Chain,No Accessory,Pink,Suit,No Beard,Green Bandana,No Helmet,Undead
1718,4.9,3325,43.72,https://magiceden.io/item-details/62QqA9UtjivhHUzFKkJ491CXQZUj33yzmBcBrBAfGFYC,No Accessory,No Accessory,No Accessory,Red,Red Track Suit,Beard,Green Bhangra,No Helmet,Human
1723,4.28,3271,50.46,https://magiceden.io/item-details/8bMhA76VKERDJCCtF5NTjHpXHBVcfzM9ZjuWsk5i4GrJ,No Accessory,No Accessory,No Accessory,Orange,Green Track Suit,Beard,Green Bhangra,No Helmet,Human
1747,3.4,523,86.76,https://magiceden.io/item-details/FgtimqDda9vZqSB7XGCLhSMxHHckZt3811cBTmEB5epa,Green Scouter,Diamond Chain,No Accessory,Blue,Blue Vardi,Beard,Guy Hair,No Helmet,Human
1772,5,216,73.84,https://magiceden.io/item-details/sztXuE8UvmWgjbKaLYiQNpsULKuQTFDVVyEZBaeKgs6,Yellow Scouter,Diamond Chain,Joint,Red,Green Hoodie,Beard,Green Bandana,No Helmet,Human
1808,3.8,466,83.34,https://magiceden.io/item-details/HmDFTwgCUSPesV433qLsYW91eDAxRSqejaGi8iAcyk4Z,No Accessory,No Accessory,No Accessory,Red,Blue Track Suit,No Beard,No Head,Vengeance Helmet,Human
1809,2.9,2167,75.31,https://magiceden.io/item-details/DuGxY9KtTqeDQAgerKou8cWn1V929vtRzU2xUKtnXUDp,Specs,No Accessory,No Accessory,Pink,Green Sari,No Beard,Black Bandana,No Helmet,Human
1829,4.69,270,76.4,https://magiceden.io/item-details/6LzDUarspy4vUU1HTHXmMAL6oi2CFBhTCribVur8h9Yv,No Accessory,Chain,Joint,Orange,Green Track Suit,Beard,Navy,No Helmet,Undead
1846,3.25,3738,56.08,https://magiceden.io/item-details/3rFo2hKajgMbxRDCygae9gjMmnErc3S1Hanvb7Zpu3Cz,Earring,No Accessory,No Accessory,Green,No Clothes,No Beard,Black Bandana,No Helmet,Human
1891,3,2275,73.23,https://magiceden.io/item-details/1u5sqxCgCT3ayv13EKBoHYYGVnHhdRVXyCrZVDtUcpx,Red Scouter,No Accessory,No Accessory,Blue,Blue Vardi,No Beard,Black Dupatta,No Helmet,Human
1910,4,2312,62.86,https://magiceden.io/item-details/FNychLQRHWFXGWBNeXXa3bjYU5WvZeS3z4ZdU17xs2xA,No Accessory,Chain,No Accessory,Pink,Green Sari,No Beard,Pig Tails,No Helmet,Human
1911,5,3639,39.57,https://magiceden.io/item-details/DiAVJEMTmuLBSTGwRj4YaVKMCKWBe5VwAnsNgaa6zD5y,No Accessory,Chain,No Accessory,Orange,No Clothes,No Beard,Yellow Bandana,No Helmet,Human
1918,3,3620,59.76,https://magiceden.io/item-details/ARhGvueEn3RGNiqudv1u5zEYZX4udcfQbZGJ54H66pFM,Red Scouter,No Accessory,No Accessory,Pink,Blue Vardi,No Beard,Green Bandana,No Helmet,Human
1932,4.2069,3116,52.74,https://magiceden.io/item-details/ESLPQYvBZVoTEUVpFLKAKMLPABf3maNdw3xYrm7RRFjw,Earring,No Accessory,No Accessory,Blue,Red Hoodie,No Beard,Airforce,No Helmet,Human
1942,3,3774,58.22,https://magiceden.io/item-details/DWkGooFxQq9NHpBvwo6eaX2Q1HuG1gPZvSwMTH8CoETP,No Accessory,No Accessory,No Accessory,Green,Green Track Suit,No Beard,Bun,No Helmet,Human
1950,4.05,3881,46.65,https://magiceden.io/item-details/9fCjajxqxyXQ9173KmsXcMJqUemcZjU16q4rdeNUxBpc,No Accessory,No Accessory,No Accessory,Pink,No Clothes,Beard,Red Bandana,No Helmet,Human
1971,3,3211,63.86,https://magiceden.io/item-details/72tKuKH3dphvfYKUq8hkcFxQTqTuBFgynD9Mu5F8wSq1,No Accessory,Chain,No Accessory,Pink,Red Hoodie,Beard,Green Bandana,No Helmet,Human
1976,3.45,3158,59.89,https://magiceden.io/item-details/7uX82VfdXdc7UYCrC8LNosoKw9NTdfeTUvhGEHrMtwFv,Green Scouter,No Accessory,No Accessory,Pink,Green Track Suit,No Beard,Guy Hair,No Helmet,Human
