id,price,moonRank,💎 score (%),storeURL,Background,Extra,Eyes,Face,Headwear,Outfit,Wetware
Sentinel 6353,0.1,7532,65.84,https://magiceden.io/item-details/SnTvH5qQsGpMmrxzeQCDwGMjSUub2sMyRi5CgnodMeQ,Convolutional Neural Abacus,Multiverse Navigator,Weary,Grimacing,Auxiliary Armature,Imprisoned Snake,Surrogate B
Sentinel 3568,0.1,7021,68.13,https://magiceden.io/item-details/snTAmh1wKRzv7TYjwcdkfme6ze3LLgC2GFvpScA1uJb,Rotary Decompression Chamber,Articulated Piercer,Weary,Masked,Neural Vessels,Mesh,Surrogate E
Sentinel 2293,0.1,3414,84.35,https://magiceden.io/item-details/snTUpcRNPtb8zH42WwQ4z4nioyxvjZQxqgb3yHfTiW6,Mesoglean Heat Exchanger,Dragonfly Drone,Veiled,Grimacing,Ballistic Bandana,Demonic Ritualist,Surrogate B
Sentinel 125,0.1,2415,88.84,https://magiceden.io/item-details/sNTb2DeqmPysVpygwhz4Sb54wdeM7h9adhrdzrAEjgb,Convolutional Neural Abacus,Mechanized Home Assistant,Liquid,Morose,Tribal Combatant,Exhaust,Surrogate C
Sentinel 1167,0.1,2578,88.11,https://magiceden.io/item-details/SntK9zaMVj94RzJfdZkvNKHEdS3hXrBWQ7F9nznzASi,Submerged Boiler Room,Articulated Piercer,Lecherous,Masked,Reinforced Circuitry,Chameleon,Surrogate D
Sentinel 5779,0.1,3185,85.38,https://magiceden.io/item-details/SnTXDC5txZWbKYSRgFxB9fWNprUDKNZvtUkrGyuhvLp,Diamondhand Harmonics,Dimensional Confectioner,Weary,Woeful,Tribal Combatant,Armored Cybernetics,Surrogate A
Sentinel 6285,0.11,3775,82.63,https://magiceden.io/item-details/snTxMabhzBQfCLPCxCRJE1Ey2YQXkUAELo9c5DdM2Mz,Rotary Decompression Chamber,Cognitive Augmentation Lampshades,Worshipful,Masked,Neural Vessels,Field Technician,Surrogate C
Sentinel 943,0.11,7002,68.12,https://magiceden.io/item-details/SNtNtqs3bo71Nuu5RrP1aPPVqLbdwNbZyngD3yPL4wm,Rotary Decompression Chamber,Aether Tree,Weary,Grimacing,JSON Mask,Azure Prototype,Surrogate E
Sentinel 7941,0.119,7263,66.86,https://magiceden.io/item-details/SNTbP8m8RB57uBRdSdFa5XxRQqFJMAFXtEHYBzxQYes,Rotary Decompression Chamber,Aether Tree,Impassive,Grimacing,Electric Valhalla,Cephalopoda,Surrogate C
Sentinel 58,0.12,1343,93.46,https://magiceden.io/item-details/sNtnzBHJtko63W7YmXTq7k2yMLb6veAn8RU2iotdNeC,Submerged Boiler Room,Dragonfly Drone,Worshipful,Troubled,Auxiliary Armature,Thermodynamic Exchanger,Surrogate B
Sentinel 4623,0.12,5169,76.26,https://magiceden.io/item-details/sNTCcuBfKPKZNoKiVgPy8idLtabGT3c4HAgWGDF7hsh,Submerged Boiler Room,Quadrupedal Assistant,Impassive,Grimacing,Aquiline Helm,Tribal Combatant,Surrogate A
Sentinel 8134,0.12,5691,73.91,https://magiceden.io/item-details/SntrnueRFPoRv47njWmVkawpXvsPr35LHschoc7Expx,Convolutional Neural Abacus,Aether Tree,Commanding,Morose,Nanolink Prototype,Nanovest,Surrogate D
Sentinel 8427,0.125,4372,79.79,https://magiceden.io/item-details/SntdicmZyVJvjjeZMLS2znrJ2FRHz9AABBxtb847wyk,Rotary Decompression Chamber,Aether Tree,Impassive,Masked,Armored Undercut,Kate Libby,Surrogate E
Sentinel 8775,0.125,2208,89.52,https://magiceden.io/item-details/snTf2xu6e7EgK2sLeZUg9GarWEmK6SHDrDCUmgkMqwz,Convolutional Neural Abacus,Tentacular Spacecake,Impassive,Masked,Aquiline Helm,Stitched Frame,Surrogate D
Sentinel 2687,0.125,6426,70.56,https://magiceden.io/item-details/sNTS2kkLdKK54b3fvjuGk5KTk1SWXD1hQnwAqX254Jk,Convolutional Neural Abacus,Aether Tree,Brooding,Lovestruck,Neon Order Braid,Cybernetic Rose,Surrogate D
Sentinel 2258,0.126,2385,88.72,https://magiceden.io/item-details/1337GLMKexZrtNkK5saG2HJQTJ3EdTpJUeUXxLijBW5W,Diamondhand Harmonics,Serpentine Attackware,Augmented,Grimacing,Fibermask,Ancestral,Surrogate D
