id,price,moonRank,💎 score (%),storeURL
1976,10,460,14.78,https://magiceden.io/item-details/7VgDZK146TfuumBzKzqpT3qxGT2stBJ7HwU3E7f2pj9h
2003,6.5,141,52.08,https://magiceden.io/item-details/FpimLhAzgLNS2c6PwaW84JacrhqZf57CfsYviCwHLXHi
2012,5,1254,59.04,https://magiceden.io/item-details/HWjd19uvnE6rqLqYHsB6Hy9G5Z3h5q9Tpw19upZZGSH3
2013,2.25,5388,56.68,https://magiceden.io/item-details/HHMDdhVdTr8TBhW5M6qPfdrXVRYoAzna4az8o9akFAF8
2066,1.9,1324,89.54,https://magiceden.io/item-details/7V6TiRUMF14hf38HaaDdDMd4tbzfNYeNZGPoh4dgEaaN
2074,2.28,4283,64.36,https://magiceden.io/item-details/2fKYrewzLeLubVMhfqKk29Lis51jjQgQi1QaZLor274d
2102,2.99,618,83.74,https://magiceden.io/item-details/9atLfvjzD1vWW5hkWai9feaVmenVpGfMXv1YFC3uJ8iy
2153,5,2980,46.57,https://magiceden.io/item-details/E3CcJ6aKL628DpqY1Rm6Fh97W8tavsxWbEkHyxBLc2D
2232,2.5,602,88.75,https://magiceden.io/item-details/Ar9vCtHmD9fn2Mome8BH4emCKPnA4wXVfg4twd45iacQ
2282,2.5,1086,85.25,https://magiceden.io/item-details/5YZMLJ8KSPkFYEiy968Xiuu48CoCVsAovaVtbUoVHNMv
2289,1.81,3893,71.88,https://magiceden.io/item-details/G9P37X3i1o5vnmoN5ZfMUXZDUGgSTD85ab3Dtbew7Vqs
2399,2.49,726,87.96,https://magiceden.io/item-details/GuUnHpVRhsq1Z5Bq1XBhMrPAMCEPHsSxL6mmUTpJHB4b
2412,2.15,2674,77.28,https://magiceden.io/item-details/97VysnbP9THKhDtrs7ECQseNrBmmspruBv8FB3kMfF5b
2429,2,3304,74.23,https://magiceden.io/item-details/3wxcysSXachsuZU1AbJepwNqxh7AK9a6Bjd9M6TcVaUH
2439,4.5,259,71.23,https://magiceden.io/item-details/8rAEJGgKoznBtgUWDYpC8yPfEawKPas2br52VCFSj9mN
2480,2.5,3413,68.44,https://magiceden.io/item-details/EwQ4vvgiivaVWZiCynFqwM2B3g5j4NPQf2xzeWnRmbJw
2488,5,748,62.7,https://magiceden.io/item-details/9SumBVueyFixC23bcEG4QYMtVGEQ51k4s7io1HUazxD3
2541,1.81,3856,72.14,https://magiceden.io/item-details/HM25Pg5tFs5yJ6rcNt8VPbYckzeLd5PrYMjCRTYuVvhS
2569,2.55,4565,59.62,https://magiceden.io/item-details/HbRCGhjKSZnaHp3CdSJXdk98t3wF9r23dcgY1Mbxvwby
2577,2.5,1927,79.18,https://magiceden.io/item-details/mSjmPbAVGuFnuR6a2iWYVKHo5M8Zfk8QjJX9PscCrKU
