id,price,moonRank,💎 score (%),storeURL,Background,Cloth,Eyes,Hair,Hat,Mouth,Necklace,Skin,Type
6007,69,9341,0,https://solanart.io/nft/E2MogSs5uioyG2hqnSh4fYWrGjH7F1MmJZ1t8ouXgXnE,Base Background,Base Cloth,Base Eyes,No Trait,No Trait,Steampunk Mask,Flower Necklace,Human,Aurorian
6017,199,50,0,https://magiceden.io/item-details/AN3gK9oWoojynX9bSankc8qxvnXCv8i8frRgKMUc8xrA,Lagoon,No Trait,No Trait,Clementine Hair,Raccoon Hat,Base Mouth,Aurory Necklace,Zombie,Aurorian
6038,60,2592,0,https://solanart.io/nft/CqhNo6BhG6xJzmt87qX5ajFTT3xsV3faGWxBYXanzmJc,Base Background,Black Hoodie,Viper Shades,No Trait,Gavroche Hat,Grin,Shark Necklace,Human,Aurorian
6098,47,6084,0,https://magiceden.io/item-details/9pC1U9qpQXuWZryRuqvZPRp68LC7MzX4NzTth1L7aRPw,Soft Blue,Base Cloth,Base Eyes,Brown Dreadlocks,No Trait,Bane Mask,No Trait,Human,Aurorian
6107,75,8395,0,https://magiceden.io/item-details/3ZzfA6oJSzmG1Fhkw4gHe14ScxYiveJuRxoEd8daqJnT,Base Background,Classy Outfit,Base Eyes,White Hair,No Trait,Base Mouth,No Trait,Human,Aurorian
6116,48,2528,0,https://magiceden.io/item-details/HxHMjqnUaQk9Eowmth1mbxq6bjE9rhQtUSx4QyEdcSEg,Gradient Blue,Polo,Base Eyes,No Trait,Crown,Bane Mask,No Trait,Human,Aurorian
6119,175,2301,0,https://magiceden.io/item-details/9EBHepLagKL99Y54DrB5pTgRDHuDqVGYuCD5eArSZa7t,Base Background,Leather Jacket,Cat Eyes Red,No Trait,Jotaro Cap,Base Mouth,Shark Necklace,Human,Aurorian
6167,79.5,5101,0,https://magiceden.io/item-details/BycKJTcU4QeRUPv2Bj7dZqyT4AUZWtMFvWxws8kis95n,Base Background,Bitebit Outfit,No Trait,No Trait,No Trait,Base Mouth,No Trait,Solana Blob,Aurorian
6187,130,9719,0,https://magiceden.io/item-details/E3ZXRhi7kbpBzFZKkREvZQNKVVeYbN7rFTS8Vn8BfMpi,Base Background,Base Cloth,Base Eyes,No Trait,Feather Hat,Base Mouth,No Trait,Human,Aurorian
6200,70,4885,0,https://solanart.io/nft/2hdNUTAacrXvEEdcELmL7fzNzfgF7b2p5meWi9oZTHc5,Blue,Base Cloth,Green Eyes,Playmobil,No Trait,Base Mouth,No Trait,Human,Aurorian
6213,65,8139,0,https://magiceden.io/item-details/Hzrz3yFqhqrMWmGjWxTMVHpSJZYbBGJKYWiddrtH7n8y,Base Background,Helios Outfit,Base Eyes,No Trait,No Trait,Base Mouth,Shark Necklace,Human,Aurorian
6279,60,5018,0,https://magiceden.io/item-details/4EW8e2AJZjC3GWtFo79hE8kpvUBYMEWSVEMDt1YbAeoz,Base Background,Pink Stripes,Red Eyes,White Hair,No Trait,Base Mouth,Shark Necklace,Human,Aurorian
6280,46,9549,0,https://solanart.io/nft/CkSBUSXTn4RNpw4uxoZhwTY3YPoUThNFEtN8xwHzBnh2,Base Background,Base Cloth,Red Eyes,No Trait,No Trait,Bane Mask,Aurory Necklace,Human,Aurorian
6349,249,4312,0,https://magiceden.io/item-details/3VPv62gic1wuj6xCPsLBJc27dYVArwvUTPRFVj3ppepR,Base Background,Dinobit Outfit,Cat Eyes Red,No Trait,No Trait,Plague Mask,No Trait,Human,Aurorian
