id,price,moonRank,💎 score (%),storeURL,Background,Body,Earrings,Eyes,Face,Hat,Head
993,1.5,293,90.03,https://magiceden.io/item-details/E8xHEzRoCwNynH1QRJUAoQ8e4q5wfyrQzCYR2dD9yWrS,Leather,MegaGoon,Gold,BlindfoldWhite,ShinRaShiForest,PlumberGreen,Blonde
1018,1.19,1251,85.43,https://magiceden.io/item-details/7LotTHMgwLioeNRfVBmQ8o4pWJurwj1ZrWzjH7QNrvK,Salmon,DeathAngel,Dagger,Steamboat,DingDong,ViperJade,Blonde
1033,1.45,1200,83.24,https://magiceden.io/item-details/Fw4xLgnH7ikdjkqdrYWwkDZV235A1AFkk46FXhvwhdFx,Pomegranate,StreetPirate,Bone,FeralEyes,BaconBoar,ThongRed,Clay
1038,1,3563,68.73,https://magiceden.io/item-details/Er214U5aXD7oqMZu4TYVVyGwcWm3Tf67FYP9TSKRRUEB,Pomegranate,StreetPirate,None,BlindfoldBlack,BaconBoar,ShellGreen,GrapeFlavored
1059,1.55,3566,63.21,https://magiceden.io/item-details/4hKMg3wmWwdr2tFePUarzXTVUQYtkoNnqT7J6g3acXGS,Blue,Hockey,None,CyberSmile,BaconBoar,Sunnyside,Clay
1066,1.1,4837,57.48,https://magiceden.io/item-details/F3GBEk5sqE5kEkLfiKg9Rgyz53kuazy2Y2wiRpv3Sj8k,Acid,DeathAngel,None,PissedOff,BaconBoar,Sunnyside,GrapeFlavored
1089,0.74,4150,66.61,https://magiceden.io/item-details/H5nbUVqwepAkBfkPvu8m9KHjwNYoTBu1Dzor2fwJwsBQ,Blue,LuchaLibre,None,BlindfoldBlack,DingDong,BeanieCream,CottonCandy
1270,1,1147,88.16,https://magiceden.io/item-details/McGpFiYfcmWguwLcpDKfkKaZfUKRvodEyj8XYUwa9ZU,Pomegranate,Wizzy,Gold,Tycoon,DingDong,BandanaBloodz,RedHead
1286,1,4791,58.85,https://magiceden.io/item-details/F7ykt3j87YLNhxP5wmYB6jBMmpeB8nyM7RPJhTS2eDTo,Cyan,Hockey,None,Unamused,GoodBoy,BandanaCrip,Clay
1313,1.1,2126,79.29,https://magiceden.io/item-details/HJcVSFScgstitu3qDVZBH8yGu8NDkPpag639NWe96xiY,GrannySmith,Thug,PocketMonster,PissedOff,GramGram,Gluttony,Clay
1379,1.4,4506,57.14,https://magiceden.io/item-details/F6VYUpmvfGqVwsKJd6WnJQYKtgUxWTmTspeBCezdTQLi,Pomegranate,Kong,None,FeralEyesRed,WickeyMouse,BandanaBloodz,Blonde
1398,0.74,2007,83.84,https://magiceden.io/item-details/boBroFC3JnhBJCDM2QhuA89vcJwbAEJWEX4WgrRsueD,Blue,Plug,Gold,CyberSmile,RuffyDuck,BandanaCrip,GrapeFlavored
1401,1.3,1467,82.59,https://magiceden.io/item-details/5Ainf6mWVvW1zQmsX9x8g3UVHMEpYcTw8Nn7rSjd4kTe,Leather,Paladin,None,CyberStyle,Panzer,Burger,Night
1408,0.7499,2962,76.06,https://magiceden.io/item-details/ECZStc38hu19dXQFYR5cm3qG7mTR7ir3UHo47dU7K3uZ,Blue,Zilla,None,Skii,GramGram,ImmortalBlade,CottonCandy
1451,1.5,514,88.25,https://magiceden.io/item-details/6iCNrqZojxQNjRDt81eeC5V7dMPHg1NnBrhQNdvhjAwm,Cyan,Wizzy,Gold,DemonLordBlue,ThugzBunny,SaiyanHair,BudGreen
1506,1.1,1964,80.59,https://magiceden.io/item-details/FmY8ZNepwPU2DoPmthUktKy5huCHroSACwAbVPFnTZUo,Pomegranate,Hockey,Dagger,FeralEyes,RuffyDuck,ShellGreen,GrapeFlavored
1544,1.5,2140,75.18,https://magiceden.io/item-details/GpuHfuZQitGkd4E7fcU6XW9C1ND2PzWh5i8T5FDUjcTi,Indigo,Hockey,None,Steamboat,BaconBoar,ThongRed,BudGreen
1683,1.5,3722,62.45,https://magiceden.io/item-details/C7Umnq1NnVZoiVER7bTy3A38UvGnmD3zXbqbM1pBMWYq,Pomegranate,Bat,None,CyberStyle,DingDong,AllSeeing,GrapeFlavored
1753,1,925,89.95,https://magiceden.io/item-details/3EzzXY4RNSVbwNjtRxq84KHMFeGCahajLKcqCU9Hiuj3,Cyan,LuchaLibre,EyeofZauronBlue,CuriousJorge,BaconBoar,None,RedHead
1809,1.1,3860,65.34,https://magiceden.io/item-details/24AEbYZTG7Ym94t8dGx6ik13ApxY3ifMeofu8fsDn5AL,Acid,Paladin,None,CuriousJorge,Baztard,Burger,RedHead
