id,price,moonRank,💎 score (%),storeURL,Background,Breed,Clothes,Eyes,Head,Mouth,Neck,Soul-O-Meter
946,1.7,6583,72.58,https://magiceden.io/item-details/7hnV2DoGFCBHg4g3xd8SV4Wgh7oDVa5bNVVAQYzzFFy6,Blue,Beagle,Black Overalls,Angry,Red Cap,White Drumsticks,None,Common
951,10.5,5634,0,https://solanart.io/nft/J13gWSb227amF1sBorws23gVQaFWFmks1AAKxXFAfYjg,Scooby Groovy Violet,Shiba,White Tank,Stoned Orange Eyes,Red Headband,Tongue Out,None,Cool
1056,2999,6734,0,https://solanart.io/nft/GNZWPFziGLQeT8NXvktkmw7Qn1BEn7n19zFqzqjMMqdC,Orange,Collie,Red Hawaiian Shirt,Cyborg,Black Bandana,Beer Can Boi,None,Cool
1127,2.49,7862,59.55,https://magiceden.io/item-details/GkxFHD6uEFeYFNggTdNvM7gPfXLJQUoTGrHceaRNn169,Yellow,Collie,White Soul Dogs Tee,Closed,Blue Bow,Tongue Out Side,None,Common
1177,10,2077,11.62,https://solanart.io/nft/5sWakUksTGu8rqjTKJgPb17NQ5Bfo2EMSLQUuvzcYD3R,Purple,Collie,Black Grateful Dogs,Bored,Red Bucket Hat,Tongue Out,Probation Tracker Collar,Groovy
1192,3,7279,56.79,https://magiceden.io/item-details/6E4i3zCrGb1ufvEaUxueHTZKbGizwHqGTV6bPecxEEJY,Pink,Retriever,Rebels Jersey,Drunk,Black Bandana,Muzzle,None,Common
1319,3.2,8670,49.21,https://magiceden.io/item-details/9a28Ymj7gcVY6kT4VvoceEzNQifFmfK1pdj7HoPc9G2c,Orange,Collie,White Soul Dogs Sweater,Closed,Cowboy Hat,Tongue Out,None,Common
1324,111,3500,0,https://solanart.io/nft/AM2cShXZ9Z7hJbzF2qC38gaSSm5mHqDcCZGSF1FRiJoG,Pink,Lab,Rebels Hoodie,Laser Eyes,None,Cigarette,Heart Collar,Cool
1356,3.8,4575,63.55,https://solanart.io/nft/Fc7yctoNJ32ZVDxCqy91N1HKada3SZmviV8QohWh4nNu,Green,Dalmatian,70's Vest,Cross,Yellow Cap,Silver Nose Ring,None,Cool
1465,6,819,56.7,https://solanart.io/nft/DWiaa9LCf678ftFNVm68ciaUVNFbGgZuJxdcKXAEBT1a,Pink,Shiba,Rebels Jersey,Drunk,Yellow Pimp Hat,Bubble Gum Boi,Doggy Bandana,Fly
1469,7.4,6595,19.41,https://solanart.io/nft/B3Jepmc7tK6XSEJRaEBuCCq8oYVFaAyyRvwdXZHtL5Cs,Purple,Collie,Rebels Jersey,Aviators,White Backward Cap,Tongue Out,Spiked Collar Necklace,Common
1525,10,8963,0,https://solanart.io/nft/3boqHbCqoPpCzkJDFPQXa9DWnW9YPg4LntZKJG5CFWmb,Green,Hound,70's Vest,Bored,Black Bandana,Cigarette,None,Common
1583,5000,8233,0,https://solanart.io/nft/HtQduzMxxKBSVmcR6Dx3jjD5oUfZwvZXNVjBxTXzjZw3,Yellow,Shiba,Rebels Hoodie,Stoned Blue Eyes,Yellow Cap,Tongue Out,White And Black Bandana,Common
1616,5,2269,60.85,https://solanart.io/nft/3xAyMcpWa1gAAUUrcuHtdqMrejZNPmJUtipJZMGqE6f8,Psychedelic,Hound,Blue Hawaiian Shirt,Sus Look,Pink Bow,Silver Nose Ring,None,Groovy
1683,2,4287,78.8,https://magiceden.io/item-details/4nwAoWcemonEVnC7gkCg2hAXpFZN5WmyqTNM1DG3V6zw,Pink,Shiba,Black Grateful Dogs,Drunk,Doctor Light,Cigarette,Junk Yard Chain,Cool
1771,1.6,8124,67.4,https://magiceden.io/item-details/6mPMCVW5P87n5YLJUUMbGt6NV6WHitYEPsFzwkyhTt8p,Pink,Lab,Tie Dye Tank,Monocle,Black Cap,Kiss,None,Common
1799,500,4300,0,https://solanart.io/nft/BE3oYVkAbFaN13KGzUmV1PrE7tyPKVBM3uAwjHLjiVeG,Blue,Shiba,Blue Hawaiian Shirt,Closed,None,Tongue Out Side,White And Black Bandana,Cool
1890,2.6,4221,73.06,https://magiceden.io/item-details/4RUx4m254nm7TKed7hUvSrJGcUpwwmFcQCGZx8WXHLgz,Blue,Beagle,Tie Dye Tank,Stoned Blue Eyes,Black Mullet,Open Mouth,Chain Link,Common
1948,3.5,8367,47.42,https://magiceden.io/item-details/9Cw97UQZywELbU46d6RdKeuFw8KajsQqfijbyXC8sVU6,Green,Retriever,Purple Tee,Lab Glasses,Black Bandana,Beer Can Boi,None,Common
2122,10.5,7626,0,https://solanart.io/nft/75uP5kRDcytoH4MS8wRhgHG9RFPFajQxaAeuJSdiG7yT,Green,Lab,White Hoodie,Stoned Blue Eyes,Brown Straw Hat,Cigar,None,Common
2177,5,7375,40.26,https://solanart.io/nft/5kmsSzrHiwJJBxQorNuSGA5EZD3LKt93a7LYLArnBdX3,Pink,Dalmatian,Blue Overalls,Angry,Yellow Cap,Open Mouth,Black Collar,Common
2235,2.5,7363,61.45,https://magiceden.io/item-details/7VCgw6dAbU6ms3wqbGtM95LRYHqoLQyRyc76dFmqSdP6,Red,Collie,Purple Tee,Pit Vipers,Black Soul Dogs Cap,Closed Mouth,None,Cool
2249,100,8146,0,https://solanart.io/nft/EPNANCBd7rCxif8y5Eo2ygytySUj4mS7nT5qBFXZkrDK,Psychedelic,Shiba,Plain White Tee,Drunk,Brown Straw Hat,Kiss,None,Common
2271,4999,1016,0,https://solanart.io/nft/BWH1EPmUyNyjX7UfdC7Zwsg2XgkGQZYwZNFdo4Y1YsCr,Blue,Retriever,Lab Coat,Circle Sunglasses,Black Rock Locks,Cigar,White And Black Bandana,Groovy
2293,15,2915,0,https://solanart.io/nft/Dfo8KUSGQGyfh9VWPiivPhGsWrGo3zFE9VRZ2997VC2,90s Pop,Beagle,White Soul Dogs Tee,Angry,Black Mohawk,Closed Mouth,Black Collar,Cool
2302,3,4452,68.13,https://magiceden.io/item-details/Hj9XFLEGBpF9xj6oaBTRPQs9EmLze98oSLR9BcJMBJzg,Low End Theory,Dalmatian,Purple Tee,Pilot Goggles,Black Backward Cap,Open Mouth,None,Cool
2312,2.75,5270,67.35,https://magiceden.io/item-details/3PKkkAqdcTcJXhbNoUes3aX3PHFgFbfEDXLHCyVJvbwZ,Scooby Groovy Violet,Retriever,Black Grateful Dogs,Angry,Black Bandana,Cigarette,Black Bowtie,Common
2348,50,4015,0,https://solanart.io/nft/Bpyp7dU9aqoQhSZSzgzmyMvTQqAxEVVvbRhckxEsnfrP,Pink,Collie,None,Bored,Red Cap,Open Mouth,Gold Guitar Pick Necklace,Groovy
2360,3.99,6094,55.53,https://solanart.io/nft/3WQzN2f4Wnq6nxx24xXH8yhHTw7ihsVSAXVJBREYXmuv,Red,Dalmatian,Checkered Tee,Happy,Black Hippie Headband,Tongue Out Side,None,Common
2441,2.2,9632,55.35,https://magiceden.io/item-details/J2y7xwTugpPgedF9hpyvN5DoAgCUUg1q5fVeKCMLq7r1,Red,Lab,Blue Hoodie,Happy,White Backward Cap,Kiss,None,Common
2444,150,2003,0,https://solanart.io/nft/5vyDSkwE7Mxb2TBsbiJiGo6UvueRaj1nuz1y59xZdg7H,Orange,Lab,Red Hawaiian Shirt,Pilot Goggles,White Backward Cap,Gold Drumsticks Boi,None,Fly
2449,2.5,6544,64.74,https://magiceden.io/item-details/8JLMHZEra9U1oQAmqSKHPLS38B92tsZumSrvkydVAuiK,Purple,Lab,Plain White Tee,Cypher Punk,Yellow Bow,Cigarette,None,Cool
2487,3.5,2031,72.85,https://magiceden.io/item-details/HAd5fvFToFjXeKCbDbHBZaobo2xy7Ao2MHa8w1oQ1Mqn,90s Pop,Hound,White Soul Dogs Tee,Aviators,Black Hippie Headband,Cigarette,Pink Bowtie,Cool
2520,3,2335,76.63,https://magiceden.io/item-details/ADoYseW9F299TR2yHEwyEh1HU2wjE7PVDAZnRR8nbwWo,Orange,Shiba,White Tank,BTC Glasses,Pink Hippie Headband,Tongue Out,White Bowtie,Groovy
2533,3.2,8744,48.91,https://magiceden.io/item-details/cHHTShAi4U9RYjR15Vy9HoVZvJZDiXSBXmAoG4Bgtug,Pink,Lab,Black Overalls,Closed,White Bucket Hat,Closed Mouth,None,Common
2613,10000,5691,0,https://solanart.io/nft/HLJvHRzbq9FtowMRPVbE8rVwQueVeRnJiCRH3sX2WyJE,Red,Collie,White Soul Dogs Tee,Bored,Green Mullet,Tongue Out,Spiked Collar Necklace,Common
2690,2,8160,63.26,https://magiceden.io/item-details/GJH1GHxJisZFVg1BznuE6fsDcZ9qHvHPnczpBmyfWos2,Pink,Collie,White Soul Dogs Sweater,Drunk,None,Open Mouth,Black Bowtie,Common
2719,1.799,8820,62.62,https://magiceden.io/item-details/276NmSYL9fR5XofhYALzZM6agEKfqLF476i6nMbDTVqP,Orange,Lab,None,Stoned Blue Eyes,Le Fez,Open Mouth,None,Common
2807,2,7644,65.33,https://magiceden.io/item-details/EeBwE7ev2sN6xFvfuCytuBFfGGRCAQ5F1Ctm1ZdM1nMQ,Orange,Lab,Black Overalls,Happy,Pink Hippie Headband,Silver Nose Ring,None,Common
2895,100,7042,0,https://solanart.io/nft/EdNFnbawswrWBr43tjiKcCGjw6NW9bdDmiZiHiSKuuku,Scooby Groovy OG,Lab,Black Grateful Dogs,Sus Look,Blue Hippie Headband,Tongue Out,None,Common
2903,2,5965,72.06,https://magiceden.io/item-details/7FTaxYHZ97u4a4jhLonKKAGJErJvRhtLwJJTQKd2nhw,All Dogs Go To Heaven,Hound,Plain White Tee,Happy,Native Pattern Bandana,Kiss,None,Cool
2992,2.37,1781,85.15,https://magiceden.io/item-details/DJc1cvApDgKoxadT2HBsPKVvBvsxdCcoHUt3oNHMzkSY,Orange,Retriever,Suited,Happy,White Bandana,Burger Boi,USA Bandana,Cool
3008,2,9348,58.49,https://magiceden.io/item-details/EjijpHUhCnSfovECBb4hY1vFapELf3JL42FqhMk5VYeH,Orange,Collie,Rebels Jersey,Happy,Blue Bow,Open Mouth,None,Common
3073,2,9105,59.46,https://magiceden.io/item-details/BnDHadPqQq8qGdEncrMzhNZF8nmLP3LMEnkgrfzaGJ3j,Green,Shiba,White Soul Dogs Tee,Drunk,Black Newsboy Cap,Closed Mouth,None,Common
3083,4.5,6507,48.76,https://solanart.io/nft/jWtandcjGfSCu8ntKBiHBT8C4Fs3Zy9TqYPyj1tDncw,Green,Hound,Black Grateful Dogs,Eye Patch,Black Rock Locks,Tongue Out Side,None,Common
