id,price,moonRank,💎 score (%),storeURL,Background,Belly,Body,Decoration,Eyes,Flair,Head,Mouth
2450,0.2,880,88.93,https://magiceden.io/item-details/EoQWEFU3PokRqjybStaMVQpmj7MpGQEZjB9XWTzaUM2a,Grey,Heart,Grim Pink,Orange Halo,In Love,Tear,Cat Purple,Bored
2475,0.3,321,94.64,https://magiceden.io/item-details/HkykuHse4AEKioU1ZeiknMwnhbshHpmjHbChxpWqMmzS,Green,Heart,Grim Pink,Colorful,Panic,Mouth Scribbles,Dog Pink,Happy
2532,0.25,659,91.08,https://magiceden.io/item-details/BBjvwHDKptdM5VFZ9iVxfG5h9CBbc3n3BwKnbgi5PiZn,Pink,Lightning,Grim Purple,None,Surprised,Eyes Scribbles,Dog Pink,Bored
2552,0.365,2135,72.2,https://magiceden.io/item-details/5xe8fbTYKf7f93oHY1vcPTKSwyJ2kfp4n767WZBGYR5X,Orange,Cell,Friendly Teal,None,Panic,Mouth Scribbles,Dog Purple,Sad
2576,0.25,717,90.38,https://magiceden.io/item-details/39Ciur6cwqEic2NtjoNSb5oUSdmHcJV28C8yfnCszbzm,Green,Cell,Shy Pink,None,Surprised,Mouth Scribbles,Cat Teal,Bored
2583,0.2,3320,59.61,https://magiceden.io/item-details/F1Rc33hTi1nvzz9yUCwNBtQBRZsK53w6x5Jt8fFZuXza,Teal,Cell,Grim Purple,None,In Love,None,Dog Pink,Happy
2608,0.3,3284,59.04,https://magiceden.io/item-details/824ELyXx2mWJgEFx54kQ8oE7PtRyHKfeNf3ingMK6mg7,Purple,Heart,Grim Teal,None,In Love,None,Bunny Purple,Cheeky
2610,0.369,1994,73.85,https://magiceden.io/item-details/FqaadLrg3EGYPuzcyq5Z6Hc1euVW3yNzF3t6cxF8hvrp,Purple,Lightning,Grim Purple,None,Excited,Stars,Fox Purple,Happy
2613,0.35,2462,68.42,https://magiceden.io/item-details/9LZgrCvivhEHgEKYihxUtaEJRwKXLN8M4g46YR3h34QN,Purple,House,Concerned Pink,None,In Love,None,Fox Purple,Cheeky
2657,0.4,1861,75.14,https://magiceden.io/item-details/CKn7dKgNdiiw6u5cKLTEKQ4ECbN2dbMtC8p6TuFNkkME,Green,Lightning,Concerned Teal,Pink Flair,Excited,None,Cat Pink,Surly
2667,0.15,294,96.47,https://magiceden.io/item-details/37CWTa8UUEDTyCzUQQKrhd1zQosmunMCkEE6qPkJCp1y,Pink,House,Friendly Pink,Scribbles,In Love,Stars,Bunny Teal,Bored
2675,0.35,53,97.36,https://magiceden.io/item-details/ALSLokxWu56gc6M1rgbY6qz6GMTGsnBjEEej2NiyjjpG,Purple,Cloud,Shy Purple,None,Spookyz Watery,Eyes Scribbles,Fox Purple,Joker
2688,0.25,3281,59.58,https://magiceden.io/item-details/59Auns7tvJXT8hecCz1B4K7MjZJPs1PfHnSafH5L2jep,Purple,Heart,Concerned Teal,None,In Love,None,Dog Purple,Bored
2703,0.3,1860,76.15,https://magiceden.io/item-details/HfprVFZE39juVc7E64EFGYm7guFo9Ti83iHAtLea961K,Green,Cell,Concerned Teal,None,Panic,Tornados,Cat Pink,Hungry
2735,0.2,3014,63.28,https://magiceden.io/item-details/AfkSWdscVvVc4Rv6PtNnZGsotEeM8viccAF2Nj7DaKYD,Orange,Cloud,Concerned Purple,None,Happy,None,Cat Teal,Bored
2743,0.16,3084,62.84,https://magiceden.io/item-details/91GM2iYynzeqJBRFZrg1EcyHjZisVPw8VGGszs1gh7gf,Orange,Heart,Concerned Teal,None,Panic,Mouth Scribbles,Bunny Purple,Bored
2768,0.24,1785,77.65,https://magiceden.io/item-details/HxHs17CQg8BtsS7ofd6BseLd9ch1Ckbmqn6xQULkdprS,Green,Heart,Grim Teal,Rain,Exhausted,None,Bunny Pink,Joker
2785,0.39,2341,69.47,https://magiceden.io/item-details/g5e7ricJcjJWhcckTSMPA2d54Yw2tf5yiMX4WQVzbkq,Grey,Heart,Grim Teal,None,Excited,None,Cat Pink,Joker
2788,0.35,3022,61.69,https://magiceden.io/item-details/APKeNJRnYhnPTnQKw5QrjGEqRS8Fiq4FFV5mwVqZCKrk,Teal,Heart,Concerned Purple,Pink Flair,Excited,None,Cat Pink,Cheeky
2818,0.3,2750,65.46,https://magiceden.io/item-details/3rC4RKXQEADdnQLXYiBeqotNT9qNFLb5NyBFkx4K3p4D,Teal,Cell,Concerned Purple,Pink Flair,Worried,None,Cat Purple,Cheeky
2842,0.4,1015,85.3,https://magiceden.io/item-details/HmnVAFgJ3yJXjPg45jfYhw24tiWTyACGwzog41iRMnG7,Grey,Leaf,Grim Purple,None,Happy,Cap,Fox Teal,Happy
2941,0.21,708,90.89,https://magiceden.io/item-details/96cMkdnxYr1zcXDevcEz6sdZiPJFEoEP4m2LkjYFppV4,Orange,Leaf,Shy Purple,Flames,Panic,None,Dog Pink,Surprised
3008,0.35,1101,84.77,https://magiceden.io/item-details/EtvgxGb67VG2fjvJdty2CSwUGs6qBTHumCdWsBPnvb75,Teal,House,Grim Purple,None,Panic,Tear,Bunny Purple,Speechless
3014,0.212,1079,86.42,https://magiceden.io/item-details/3zuCuCcDDoWEXS6utME2iEqdKLN6no6ZhSEJ99w8fFL7,Orange,Cell,Concerned Purple,Pink Flair,Spookyz Flaming,Stars,Cat Purple,Happy
3024,0.21,2020,75.13,https://magiceden.io/item-details/8WRjpFi4Z8C9Cfz9vYXHqzGB8TTP1PZANpbzrNA9BZU7,Orange,Cell,Concerned Pink,None,Worried,Tear,Bunny Teal,Hungry
3056,0.2,2101,74.26,https://magiceden.io/item-details/3CqFQ1kxvo9Y1CyiQfS66Zw6z46JQSmfEs5jxzwUwSdg,Teal,Cloud,Shy Pink,None,Exhausted,None,Dog Teal,Hungry
3076,0.2,2191,73.17,https://magiceden.io/item-details/4rhXYAFZ1kH47P9BwqMNG3hhrJjQqMYQ2ujuKKG8cwf1,Orange,Cell,Concerned Teal,None,Hurt,Cap,Cat Purple,Clueless
3121,0.23,1440,81.9,https://magiceden.io/item-details/7S5D7v1NyjwZAmzPZPNemDU6TSEVmzMPNLt8qs3g4jiW,Orange,Leaf,Concerned Purple,Pink Flair,Excited,Tear,Bunny Teal,Bored
3143,0.25,1316,83.19,https://magiceden.io/item-details/HDWYfytGDqiXWrQCQp5AbZyHS2JCPnoNm3wnta5nwMMR,Orange,Cell,Friendly Teal,Pink Flair,Happy,Stars,Bunny Pink,Surly
3215,0.4,2543,66.94,https://magiceden.io/item-details/H2ZufXd4uuSAw6skPe6wxzpBfMMqUnREG555tPNFwDzR,Purple,Heart,Grim Purple,Orange Halo,Happy,None,Dog Pink,Cheeky
3246,0.3,3025,62.15,https://magiceden.io/item-details/EUV9E329YHnKFeZ5R3MNqTrrJF1wazT9dLXkxL7uqz9p,Purple,Cell,Concerned Teal,None,Happy,None,Fox Purple,Bored
3265,0.27,2220,72.13,https://magiceden.io/item-details/Gx5Qjimexjr5Z48mKWfd3PnK6FF58Mb63PDZYsLs1BME,Green,Heart,Grim Teal,None,Hurt,Stars,Cat Pink,Hungry
3272,0.25,1667,78.97,https://magiceden.io/item-details/E3bGkqUpQPRiVgJjGGRymD1KRk2XiWHQNQuBTpCnpjhr,Orange,Leaf,Shy Purple,Pink Flair,Hurt,Cap,Bunny Pink,Happy
3273,0.25,1609,79.67,https://magiceden.io/item-details/5a7FAvt3ou1oWUhM4agSu9LE7WrRxBziyWnQWjnTMWZW,Green,Lightning,Grim Pink,None,Hurt,Stars,Bunny Pink,Cheeky
3274,0.3,2805,64.8,https://magiceden.io/item-details/HWLGHbvjyYL3RbgfDPfH87nqmL2bvDcafhkrJ8TAGJw7,Teal,Lightning,Shy Purple,Rain,Panic,None,Bunny Teal,Hungry
3275,0.35,1288,82.52,https://magiceden.io/item-details/3P3CFL82EuQGJvKxj9N8ykf19Ri4GiF9L2JcZrgdSFCv,Orange,Leaf,Grim Purple,Scribbles,Hurt,Stars,Dog Teal,Surly
3276,0.25,1965,75.39,https://magiceden.io/item-details/G3JhNTm1RSgjgwuMN9AG88Ro9s6XWPhafCEAb7YWHNq6,Teal,Cell,Concerned Teal,Scribbles,Exhausted,Stars,Cat Pink,Cheeky
3277,0.25,1673,78.9,https://magiceden.io/item-details/4FZUuDRGnqcV8e3C3m8BpJ7L5EmuMTewt4edVgincg6a,Teal,Leaf,Concerned Pink,Orange Halo,Exhausted,Stars,Bunny Teal,Sad
3278,0.25,1281,83.61,https://magiceden.io/item-details/F4M5dAqDRXXWzdJ1qbu25atEqaVogy5T6sVfvhCtB76m,Teal,Leaf,Concerned Purple,Scribbles,Happy,Eyes Scribbles,Bunny Teal,Bored
3279,0.25,2428,69.83,https://magiceden.io/item-details/A9dWfKudZYXnvYvsJNyer3EEz44k48vbNQ3QRvWT2WkL,Teal,Lightning,Grim Teal,Pink Flair,Happy,None,Dog Pink,Sad
