id,price,moonRank,💎 score (%),storeURL,Accessory,Aura,Back,Background Color,Body,Ears,Eyebrows,Eyes,Feet,Hair Color,Hair Type,Head,Legs,Mouth,Race,Racial Variant
3255,3.8,2551,78.25,https://magiceden.io/item-details/8cvWHq8MMuVUp2JUur8L9iLkYLVqMAakzeTAgjRpBWfL,,Yellow Leaves Aura,,#383838,,01,01,10,Black Skate Shoes,brown,37,,Black Leggings,02,catfolk,03
3335,3.5,821,88.2,https://magiceden.io/item-details/Abqc2gH7Q7A5PvjRs2dbyFau5d9DxsykmMU6tqi9cty1,,White Stars Aura,,#ffd864,,03,06,20,White Running Shoes,blonde,21,,Grass Skirt,01,orc,
3344,3.5,800,88.29,https://magiceden.io/item-details/DMdfcErKi78FQMe5Mev3UMwriy26Hxdao4L6C3kZ3iBm,,Red Hearts Aura,,#85e8a9,,01,05,19,Red Boots,blonde,36,,Plain White Miniskirt,03,orc,
3354,3.5,1864,84.01,https://magiceden.io/item-details/DpHcFEuQwgVXtQMH2jHLNFUTvZUd4Qy1kUCgsHhgvcmk,,Falling Money Aura,,#9641ff,,02,,16,Blue Flip Flops,brown,37,,Plain White Baggy Pants,02,elf,
3429,3.5,4200,74.62,https://magiceden.io/item-details/6FZwB4bSaSXpJabnpHmn1vrtNPKMnV4SFFGjxiaz9Lqj,,Bubbles Aura,,#2b6bb5,,01,10,28,Strappy Green Sandals,black,28,,Green Pants,03,lizard,03
3473,2.83,6375,72.58,https://magiceden.io/item-details/7Mv1qkNEUPawek1ZC2G8vUP5nM2jhamjZphzttsC3zrP,,Party C Aura,,#e2e2e2,,03,06,15,Blue Sneakers,red,14,,Blue Jeans,02,lizard,01
3501,3,4975,76.51,https://magiceden.io/item-details/EgpPBsvF44pcXzEZp89Jq7Z9DcJfjFFRr7oKEjvfQKJ3,,Party A Aura,,#ffd864,,02,07,16,Brown Boots,grey,11,,Black Pants,03,catfolk,05
3518,3,9635,57.78,https://magiceden.io/item-details/B88zHEb2kqpzU4qMimTgBk9NrCNSNxy9jCLxwzjMotWR,,Neon Circles Aura,,#61a8ff,,03,07,04,Beige Slippers,blonde,37,,Gray Pants,01,orc,
3525,3.7,6186,64.64,https://magiceden.io/item-details/B3aK1qYfPqFQ3FwVqfScBAkqf4vhaUERENQMpoFsSzmz,,Octopus Game A Aura,,#85e8a9,,02,20,19,Red Flip Flops,black,36,,Red Pencil Skirt,03,lizard,03
3613,3.5,NaN,0,https://magiceden.io/item-details/851n57kyF8UPfhw3y18xReZ4nVCjJAAV96ykwnLpWyts,,,,,,,,,,,,,,,,
3637,3.9,9292,50.16,https://magiceden.io/item-details/HzcYqENW2dJnrprZLmqXtqGvqy5837agE8Xqe8RpTHLU,,Red Leaves Aura,,#232234,,02,20,11,Pink Flip Flops,red,37,,Red Baggy Pants,01,catfolk,01
3760,2.98,1085,92.34,https://magiceden.io/item-details/Apdf1aEQTAgL5J4eEPcRfVWRnQoTv2DLzKyfotceMwzh,,Party A Aura,,#9641ff,,01,03,22,Pink Running Shoes,brown,26,,Long Gray Skirt,02,lizard,02
3876,3,9442,58.56,https://magiceden.io/item-details/9hb2DDQFkFuzrrKDne9fQf2cdfkzvSp7MkMdiLtiCQrP,,Pink Sparkles Aura,,#14c078,,02,11,15,Gray Sneakers,black,37,,Gray Pants,04,human,
3907,3.99,1801,79.36,https://magiceden.io/item-details/2uQJV1xohCUCkDD3JGoUTTXV1WD3AUAFrjkVpQ97C8g6,,Broken Glass Aura,,#232234,,03,,13,White and Gray Skate Shoes,blonde,14,,Blue Pants,01,orc,
3975,4.5,NaN,0,https://magiceden.io/item-details/VFtVBUWVVfPNq1KGwGtjHvA6iPgNDD9aaHTFeiC5ser,,,,,,,,,,,,,,,,
4107,2.9,7071,69.09,https://magiceden.io/item-details/F5q4nbNfj1gUSfx4xZF7S5Sj7DkUWecZknjekWpUorba,,Octopus Game A Aura,,#383838,,01,01,15,Black School Shoes,grey,37,,Black Jeans,03,catfolk,03
4114,3,NaN,0,https://magiceden.io/item-details/9tLYb2d9mneoJqS3TcXChtyodtZ3TqtZtvnTGUU3L6KP,,,,,,,,,,,,,,,,
