id,price,moonRank,💎 score (%),storeURL,Accessory,Aura,Back,Background Color,Body,Ears,Eyebrows,Eyes,Feet,Hair Color,Hair Type,Head,Legs,Mouth,Race,Racial Variant
7315,3.25,2607,83.52,https://magiceden.io/item-details/yfqJGEYYjhNkrFYdTNDyeYqncSLZeLCSbwLAwTRjTg2,,Moon Pajamas Aura,,#383838,,01,,32,Brown Flip Flops,red,22,,Blue Jeans,03,lizard,03
7341,3,2572,86.16,https://magiceden.io/item-details/EPJ68gUssgep7Uj81Ed2j3un6Ykz5joTFYXuVW5S5eJH,,Clovers with Pot of Gold Aura,,#ffd864,,01,03,19,Brown Flip Flops,blonde,28,,Green Plaid Pleated Skirt,03,catfolk,01
7346,2.9,9486,59.38,https://magiceden.io/item-details/CarEbwpHs3K761wjFbZApukyj54tkTrXtj2P5KQ384HA,,Orbs C Aura,,#215ae8,,02,06,04,Green Flip Flops,black,37,,Green Pants,03,human,
7402,3.49,7724,60.56,https://magiceden.io/item-details/HHk29mhkNvVGicz1pmqPvVkSYqiQkviafNaZuGCBZrUG,,Balloons C Aura,,#ff99ef,,03,20,25,Tall Brown Boots,brown,33,,Brown Pants,02,orc,
7411,3.25,4396,76.33,https://magiceden.io/item-details/9LtPYcpajeRMmDEdLmQsaeyr3kvoT23nMFNAozFZmMBF,,Moon Pajamas Aura,,#85e8a9,,02,19,30,White and Teal Skate Shoes,red,19,,Plain White Miniskirt,01,human,
7446,3.8,5875,64.89,https://magiceden.io/item-details/8jHmHcNwQXGf4BLsHegRiK9dqeEXWNyCz7dGwTep86sg,,Broken Glass Aura,,#ffaf2e,,03,01,03,Tall Blue Boots,brown,37,,Blue Jeans,03,lizard,01
7518,2.98,9424,58.83,https://magiceden.io/item-details/5v23Egk8WGcwdUzAfu42QfyavPqEwE3zhc36BQMTe16D,,Controllers Aura,,#ffd864,,03,14,13,Tall Blue Boots,grey,37,,Blue Checkered Leggings,01,orc,
7553,3.9,3477,73.53,https://magiceden.io/item-details/5FSNypY1nGrMpPF5ojQwSRNW5D23bgdHXgS9T3mPx41a,,Controllers Aura,,#ff8599,,02,10,25,Black Skate Shoes,blonde,30,,Flaming Black Leggings,03,lizard,03
7573,4,3765,71.37,https://magiceden.io/item-details/ButAopdQ8qng7hkWccUJ6RuB7hhjZ7QMU7xpeKotPFxo,,Red Hearts Aura,,#9641ff,,02,11,26,Beige Slippers,grey,35,,Gray Pants,03,catfolk,01
7627,4,2963,74.59,https://magiceden.io/item-details/3caqqv4GGsQrhxU5MpkV1bwuwYoTcRSKuUsFVvh3o1WP,,Neon Circles Aura,,#20cecb,,01,14,05,Brown Bear Slippers,brown,32,,Brown Cargo Shorts,01,lizard,03
7645,4,2149,77.86,https://magiceden.io/item-details/3czn7SFr5J2wawXQiJUmcF3Co59Bmd1gcLHnrQ5pYP5m,,Kaching Aura,,#9ca4a7,,02,13,20,Gold Heels,blonde,21,,Plain White Pleated Skirt,01,catfolk,01
7650,3,3470,82.56,https://magiceden.io/item-details/34J55hXizfScLRKA9LYqvn2d7wjPVTNiD4gBEtFAKV4N,,Yellow Leaves Aura,,#9641ff,,02,20,24,Tall Green Boots,grey,36,,Green Pants,03,orc,
7663,4,3045,74.26,https://magiceden.io/item-details/EA8vxCHAQRuZDadyXiSmBzrMXpKbb3No8wrCW3BYFBmi,,Bronze Blade Wings Aura,,#215ae8,,01,12,13,Tall Brown Boots,red,37,,Black Jeans,03,human,
7667,4,NaN,0,https://magiceden.io/item-details/GERzAb8n8YcDt77rKg5rxZN5bpN1HgrCjTUMP6M3hLLv,,,,,,,,,,,,,,,,
7675,3,5273,75.31,https://magiceden.io/item-details/69DmWnsUrmPW2QoHxbVDJq1Qt5DPbuk1iibQGEDA1caB,,White Broken Glass Aura,,#14c078,,01,06,04,Red Flip Flops,brown,32,,White Leggings,02,elf,
7676,3.5,1325,86.18,https://magiceden.io/item-details/CoPCAEBMdyvotCaS72otVhBLpE2gpH3yDUbwHwfaDQJk,,Sheep Pajamas Aura,,#ff8599,,01,13,29,Brown Boots,black,35,,Plain White Pencil Skirt,03,elf,
7678,3.5,5752,68.39,https://magiceden.io/item-details/5jMGLRs4U1DorfZPL39ds89uuJH13qnSC1ENMZn6zAtX,,Yellow Sparkles Aura,,#383838,,02,13,14,Tall White Boots,brown,14,,Yellow Baggy Pants,01,catfolk,03
7771,4.4,NaN,0,https://magiceden.io/item-details/3QEa8ECFhtFLQ1aJR19SWpnFHBfivYD26EWG1mgHWVKe,,,,,,,,,,,,,,,,
8128,4,NaN,0,https://magiceden.io/item-details/bysqvmbc2nnAZSfmJxHU4B3rq1sMPPjLA4mombxX9qx,,,,,,,,,,,,,,,,
8155,4,1825,79.17,https://magiceden.io/item-details/AxmaXrSufkvQy4iwdwiTJctXMuJB26K15df4ULCasHZb,,Blue Rain Aura,,#ff99ef,,01,20,29,Blue Sneakers,grey,22,,Red Baggy Pants,03,elf,
8167,2.65,4527,81.81,https://magiceden.io/item-details/8GbYjzokkkfAdh2SYbRtS5So5nDfd1ryY7uJGHzL5Ykt,,Pink Hearts Aura,,#85e8a9,,03,20,14,Pink Flip Flops,red,11,,White Leggings,03,catfolk,04
8176,3,9764,57.26,https://magiceden.io/item-details/G1YM4auJoBP7fWk7gRJPbRTqpcmT5fukvRXrwZwkV499,,AA Gun C Aura,,#215ae8,,02,20,09,Strappy Brown Sandals,grey,37,,Brown Pants,02,human,
8257,3.5,6799,64.18,https://magiceden.io/item-details/25gZ4HjXqSAgbLEhU3BXZkHtDPmHnZA81fjpFDAvjESw,,Clovers A Aura,,#9641ff,,02,20,04,Green Sneakers,black,14,,Khaki Cargo Shorts,02,elf,
8293,2.99,2649,85.96,https://magiceden.io/item-details/6rq15DpWpYDHEjZticjHcvQCdsMkxmD35MWFNKVt5jjq,,Shiba Aura,,#215ae8,,01,03,24,Brown School Shoes,brown,36,,Brown Pants,02,lizard,02
8342,3.33,4361,75.68,https://magiceden.io/item-details/3CTWjbYk2M8DcUiptpZLbRmSk5rSmjdfEimugPv9pEHa,,Blue Sparkles Aura,,#20cecb,,02,06,24,White Boots with Polka Dots,black,36,,Blue Pants,01,catfolk,01
8347,3,9203,59.52,https://magiceden.io/item-details/8LJyUcnsRGhwXA8E2KVDu9qpq5QrRDuaHtcA1bercfGx,,Purple Sparkles Aura,,#8ce647,,01,19,12,Beige Slippers,black,04,,Gray Pants,02,orc,
8444,3.1,4595,77.04,https://magiceden.io/item-details/4yDHyMQ7RYt9L2RkoRCnxcEo7brMsLpMvBu5bRMrhYfg,,Red Hearts Aura,,#9ca4a7,,03,20,19,Red-Soled Heels,brown,33,,Black Jeans,02,elf,
8590,4.2,NaN,0,https://magiceden.io/item-details/CD41G5fWDPRtdT3X3bN33hoK2dnQ5Xrm5MJoNMr6V1dQ,,,,,,,,,,,,,,,,
8627,3,NaN,0,https://alpha.art/t/HEvNwNNTPhHn19FRmxJuBSUdVmtnGpedPZjYo8qvcdKZ,,,,,,,,,,,,,,,,
8649,3.5,NaN,0,https://magiceden.io/item-details/BuBcMi3ypqgea2UU4rSbzb4EANvrsGC1pmbfNUVUMeQ9,,,,,,,,,,,,,,,,
8661,4,NaN,0,https://magiceden.io/item-details/3sUgbrCGn8LToWqBtXtdWE6w7iB9fG97KKkHa7JNA1Ka,,,,,,,,,,,,,,,,
8665,4,NaN,0,https://magiceden.io/item-details/EhaK3FXp2T6kGDR1EE1xBVg1Mtx9H3Vu2gwJgnC92Z4n,,,,,,,,,,,,,,,,
8702,3.8,NaN,0,https://magiceden.io/item-details/DDDPA6QRNvzYKNMXw34CnhgN2WJVzTuGGdb3xkaZfoaT,,,,,,,,,,,,,,,,
8748,4.2069,NaN,0,https://magiceden.io/item-details/DrGCPx8aetXA2EmCD8goy4E6J73TLqckSYGvSuP4H6Nd,,,,,,,,,,,,,,,,
8765,3.19,NaN,0,https://magiceden.io/item-details/FYivkF8MNvCYedA3vP5SJhcGgWsUCYz99SQSEvyUBAwH,,,,,,,,,,,,,,,,
8769,3.4,NaN,0,https://magiceden.io/item-details/FD3fyfmBC56cCrzystqEdzYyqfiMt2BehykQuVz3EjfG,,,,,,,,,,,,,,,,
8842,3.1,NaN,0,https://magiceden.io/item-details/FnjaLmXXtfvoEPijtfrkZdMsJnEW54tmox21RZJ5fukj,,,,,,,,,,,,,,,,
8861,3,NaN,0,https://magiceden.io/item-details/2sL2Q6TqZHgesAyWWGpBCx5S7SWgckHP1gLXNKWnQ2iz,,,,,,,,,,,,,,,,
8888,2.65,NaN,0,https://magiceden.io/item-details/7xExxVkdczD8f4mn5nHzb1XDCSE1JRmzaEvTyQz2qJp5,,,,,,,,,,,,,,,,
8912,3.39,NaN,0,https://magiceden.io/item-details/2EeX7NRaG2VUHsH8Hr8wojYymPuriP7jZ2zD26UVvjeV,,,,,,,,,,,,,,,,
8914,3,NaN,0,https://magiceden.io/item-details/FM3MpTKPqWGpbCH3eLSutKnpXY32gkUyrwxGZN82849j,,,,,,,,,,,,,,,,
8927,4,NaN,0,https://magiceden.io/item-details/B4EqDA5DJh6HzdQxEoB9NbBRqn3ZxSX6XjzHJhmSyNa9,,,,,,,,,,,,,,,,
8997,3.5,NaN,0,https://magiceden.io/item-details/DE23ofdYiVwUEmd2cmdmE1yTQUxtRWuckJWMg2WyQjN1,,,,,,,,,,,,,,,,
9008,3,NaN,0,https://magiceden.io/item-details/Ft4LCkjpNUt9qwhkruxCEQZy9s2QDRrNGHN7dcoxcMMC,,,,,,,,,,,,,,,,
9026,3,NaN,0,https://magiceden.io/item-details/J8ERWj8hfYbYmZdgtFJysnzBgNEqJFdASx6vVYMYMnyR,,,,,,,,,,,,,,,,
9081,3,NaN,0,https://magiceden.io/item-details/9XifBjBHyAMtiLBxsbxfQaw1xjSSiAwF74Sk4r84Sr76,,,,,,,,,,,,,,,,
9142,3,NaN,0,https://magiceden.io/item-details/7o5ipB5Nw3hmMk2bcTptaw1d7FUwhBqtnqwc87D3521e,,,,,,,,,,,,,,,,
9186,2.88,NaN,0,https://magiceden.io/item-details/AhrEWnAoRbraXBHjmwqbYve3tdsU4G84VvKEyFtkcSMX,,,,,,,,,,,,,,,,
9261,2.98,NaN,0,https://magiceden.io/item-details/39PZMEYVrsH4D1VsqXbQQcBX8p7MKMGPgvrfLpYMf7op,,,,,,,,,,,,,,,,
9379,2.91,NaN,0,https://magiceden.io/item-details/AtuG6CW1EyN2jWwFXndLAn39kCFUoDzPk4oQQyzitpWB,,,,,,,,,,,,,,,,
9453,2.945,NaN,0,https://magiceden.io/item-details/Ado6j5fQ5h33czmifo7zPvdNkVxHJqV2imhxpw8MAnAX,,,,,,,,,,,,,,,,
9458,3.5,NaN,0,https://magiceden.io/item-details/FPbv35efvRoX2wnWE1N46PAWPuYD1cQJcu7zfhv41Bw5,,,,,,,,,,,,,,,,
9503,3.5,NaN,0,https://magiceden.io/item-details/8ZRrYLkxHAM816n2K36Ye9PGHAzrqi31xYZNzDQjWmB4,,,,,,,,,,,,,,,,
9542,4,NaN,0,https://magiceden.io/item-details/5AZ7oUprZdHoPeMqnFDEUbcqArb77vpKjM26HNN2xxfL,,,,,,,,,,,,,,,,
9570,3,NaN,0,https://magiceden.io/item-details/6HirYABeUf5SsTLoUyVTJhw1VrKmTcQxN2WGyMvYT45S,,,,,,,,,,,,,,,,
9612,4,NaN,0,https://magiceden.io/item-details/4DZmZ7TtEUGw8Kt9dN26de31avNBJAAstregMxZ2iS9K,,,,,,,,,,,,,,,,
9634,3,NaN,0,https://magiceden.io/item-details/EX2W2y9iHq2ehvNear5TAEgcnfX6ZwXhU6nvQz28rbp,,,,,,,,,,,,,,,,
9642,3.89,NaN,0,https://magiceden.io/item-details/DgqjnAx1oJzErMQ7pxtUKsLQTzV6XTvgy4QnVXp3DAtf,,,,,,,,,,,,,,,,
9648,3,NaN,0,https://magiceden.io/item-details/B8XZcuxmiFDeerJEjpdDxRXZPLsQ7n4qWc62e7v8t6Xw,,,,,,,,,,,,,,,,
9669,4.5,NaN,0,https://magiceden.io/item-details/6BbgTimM4BH1jZ8G7213dnufwKq35U7sPvf7A9gzzTMh,,,,,,,,,,,,,,,,
9784,3.5,NaN,0,https://magiceden.io/item-details/G5kyukVLp7yhWXmzwHzp7UpKYzfAsMcu35KzkknFSgct,,,,,,,,,,,,,,,,
9815,3.8,NaN,0,https://magiceden.io/item-details/GJ3noYUdFdQ2c47xHJHKBcRmqptw1Tj7tW9XDfUoVJKR,,,,,,,,,,,,,,,,
9957,3.5,NaN,0,https://magiceden.io/item-details/Db6E8R7yEkDVbv8GJGYxsRFa5ZZ3gPm1moVPQgqbEY2W,,,,,,,,,,,,,,,,
