id,price,moonRank,💎 score (%),storeURL,Accessories,Background,Body,Cap,Earring,Eyes,Hat,Mouth,Shirt,Type
2448,0.87,2244,78.88,https://magiceden.io/item-details/5XSW4NAGVFvWtHcJiGTjcCghMPiHJKQwnRBmCrEtrwH5,None,Pink,Trippy,Solana,None,Normal,Santa Cap,Frown,Blue Jersey,Dark
2462,1.1,1679,81.72,https://magiceden.io/item-details/3uLMG65xjatgmSbRWEoFm9thcVVo2FXNZEZ6xHwGYBGj,None,Flowstate,Normal,Eyes,Lightning Bolt,Normal,None,Angry,Black Suit,Dark
2524,0.99,3083,70.05,https://magiceden.io/item-details/59Ti7WnR7WrDAhR96AyP4d3zAVNFTzW9SK9qrcTguA6t,None,Pink,Robot,Blue,Ring,Big Eyes,None,Monster,None,Dark
2736,1.4,3501,62.14,https://magiceden.io/item-details/3daUqVDhcVf2M9Z3hvgM8GF7AsJkSBDaEWbDh5xpquXE,None,Flowstate,Normal,Red,None,Dead,Smoke Ring,Frown,Blue Jersey,Light
2805,0.84,2984,72.45,https://magiceden.io/item-details/5JNPAQYgFNoGMUjtxGHc5zGAiCGXFWecBEToxr2Mg5kU,None,Blue,Trippy,Golden,None,Normal,Beanie,Smile,Black Suit,Light
2816,1.3,4000,58.6,https://magiceden.io/item-details/ED2oKjdEefXRjScbDgUYbf7RAWacBiT91h2VmBE7gv13,None,Green,Zombie,Red,None,Cool Glasses,None,One Tooth,Yellow Hoodie,Dark
2841,1,3627,65,https://magiceden.io/item-details/9BejohbjxMJY6VGbATFJn1mVHf6kUmVq4Q9ESeJJEqp8,None,Pink,Golden,Red,None,Hearts,Smoke Ring,Sown,None,Light
3046,1.3,3560,62.61,https://magiceden.io/item-details/ENAULH6dSWNhoYrjxrG6MCTtfRkGkwNAH52T4KsZYdfr,Peace Necklace,Blue,Normal,Blue,None,Empty,None,Goatee,None,Dark
3120,1.18,3610,63.35,https://magiceden.io/item-details/9EKDJVHrPYxY4e8t2VPPRMMRSt1L6WsHtzAxRct4udSK,None,Pink,Normal,Red,None,Cool Glasses,Santa Cap,Overbite,Robe,Light
3181,0.84,4137,61.96,https://magiceden.io/item-details/Geh3S3B8WnCnfDP1AZRZsZLRptEe2xg4kSBHkUfv2BFY,None,Blue,Golden,Red,None,Big Eyes,None,Sown,Black Suit,Light
3271,1.25,1325,83.44,https://magiceden.io/item-details/5y6chQ59VsXQAy7TbWeyRg8CiDbxLyBsCGhn4mdDF9Qt,Fannypack,Blue,Zombie,Blue,None,Melting,Beanie,Joint,Green Turtleneck,Dark
3371,1.25,523,90.74,https://magiceden.io/item-details/DikY1pJp8DdgqtCdTR4vX4nnVGprjKHP6YgpMdbTvVAm,Skull Pendent,Earthbound,Normal,Golden,None,Cool Glasses,Smoke Ring,Sown,Weed Shirt,Light
3391,1.25,2345,74.16,https://magiceden.io/item-details/F7xeEkfrnupBzxe8Xr5Yr8SEFdt1q1cZoASQ38X3yfJs,None,Pearlescent,Normal,Blue,None,Fire,Blue Aura,Normal,Blue Hoodie,Dark
3441,0.99,3711,64.33,https://magiceden.io/item-details/6b43zxGffUzHEtEgefaNo1emm81NrLcmSb7b2RKJerwp,None,Blue,Robot,Red,None,Cool Glasses,None,Frown,Gunter Garb,Dark
3473,0.85,4216,61.14,https://magiceden.io/item-details/J4N5Dp6RBWHj2n9aRePLxhPZh9t3corWcMDLSRYdU7eN,None,Orange,Blue,Red,None,Normal,Top Hat,Normal,White Tank,Dark
3537,1.25,3121,67.1,https://magiceden.io/item-details/6XL4k5uGVWBX5qnXFVnyrywqQsTDnFkwAraJgv7cVN9r,None,Flowstate,Zombie,Golden,None,Holes,None,Sown,Black Suit,Dark
3543,1.234,4333,56.23,https://magiceden.io/item-details/Ee1pTZdFnMjRV2iE8CUbRDKwb4nU6uzZUTYxUcJQn5Hc,None,Green,Normal,Red,None,Cool Glasses,Beanie,Smile,None,Light
3657,1.4,1190,83.17,https://magiceden.io/item-details/D2uDPm78jrLzQDh5YfAUBtnRDMgxj3B8G7yqZzWBxiid,None,Blue,Blue,Solana,Weed,Dazed Glasses,Beanie,Frown,Blue Hoodie,Dark
3701,0.81,2427,77.82,https://magiceden.io/item-details/A8JgZLhY3moWmCCcwga3fF8US1sZ14n5wLSSrfm7FesN,Weed Necklace,Pink,Normal,Golden,None,Holes,None,Smile,Simp Shirt,Light
3725,0.85,3935,63.69,https://magiceden.io/item-details/C7KocJ1F2rv5epnFCKoJ7adG8aNA9zKPX8qwzCLAcr7,None,Blue,Blue,Red,None,Cool Glasses,Halo,Normal,None,Light
3739,1.2,2744,71.03,https://magiceden.io/item-details/H5GyhRDy2yUSGdT2hn8X89f5GQcfzpkWnKq34HmaiHjh,None,Green,Solana,Red,None,Empty,Goggles,Angry,Green Turtleneck,Light
3755,0.85,3483,67.81,https://magiceden.io/item-details/24XE2wSgNwvQkJxFTxyG9DxLMPHn6i6yzf8jAA6QLzXz,None,Earthbound,Golden,Blue,None,Holes,Top Hat,Frown,None,Dark
3775,0.99,4396,58.1,https://magiceden.io/item-details/8pit9UmRW2tbyT47DPEg3kE9aUHfHEU9DHDWWWeGi4Ke,None,Earthbound,Blue,Red,None,Empty,None,Monster,None,Light
3871,1,3482,66.32,https://magiceden.io/item-details/DAyGxBDt4wxuHUoqHT5enTeWsxPP2ybeRZuqjXMvsfM1,None,Blue,Solana,Eyes,None,Zombie,None,Frown,Black Suit,Dark
3888,1.22,2255,75.28,https://magiceden.io/item-details/J7hDky8W4tipLNxPFsdG5uW58XP6h4tbQZq8ZqAkUyoL,None,Blue,Eyes,Red,Weed,Normal,None,Underbite,Navy Sweater,Light
4150,1.395,3572,61.55,https://magiceden.io/item-details/9Hghr4UnbLdrT5ZJQX4UJwPqrUE433uKRHWG5tG1N1cN,None,Flowstate,Normal,Blue,Ring,Normal,None,Smile,Gray Hoodie,Dark
4322,1.39,2982,66.97,https://magiceden.io/item-details/2H8UyGikpm3Ehw9ecssyUa3XCmhmvpm2KgoaNy6bm9sw,None,Green,Solana,Red,Mushroom,Trippy,None,Normal,Blue Jersey,Light
4361,1.29,189,93.38,https://magiceden.io/item-details/445FkY9BcABSHKs39xfmG1rXFyzQq2fv51ghWNpe47hM,Skull Pendent,Orange,Blue,Golden,Mushroom,Melting,Santa Cap,Joint,Designer,Dark
