id,price,moonRank,💎 score (%),storeURL,Face,Feet,Generation,Hat,Outfit,Pants,Rank,Skin,Type
06443,0.07,4099,82.9,https://solanart.io/nft/A7zPq2G8SDge8gk33Z3vxc71UzqDBQtNkzBHtjGEjJB3,Nerdy,Green,Gen 0,Zoro,Normal,Black,,Tanned,Robber
06799,0.04,8417,65.77,https://solanart.io/nft/9GkhcqQeTJAJoPHQ7jfdS4xBFUfjD8eVQ7wZ9oDsgyPj,Spy,Sandals,Gen 0,Fedora,Ripped,Black,,Tanned,Robber
06881,4,1058,55.88,https://solanart.io/nft/9ZDrSVFDKRvjysARXXiwyS6xJY6C33QKhT8pwA6ft6gZ,Clown Mask,Green,Gen 0,Fedora,Bloody,Jeans,,Pale White,Robber
07173,2.5,6758,47.86,https://solanart.io/nft/4HqHkyYT2ieetQkoaaQEJz422cKfm7ba4g584WNLxBy4,Show Off,Black,Gen 0,Wooly,Turtleneck,Chinos,,Pale White,Robber
07490,2.96,8543,36.06,https://solanart.io/nft/7ytzXNPq6oKEsPNLLoELU5AFd4v5eBwyQgHz6viDngkf,Balaklava,Black,Gen 0,Wooly,Normal,Black,,White,Robber
07586,0.0275,5616,77.2,https://magiceden.io/item-details/DP7nXy4AY1V5DZawrp17YNjSvfFzMZvfTnbWYqju2Nbj,Covid,Orange,Gen 0,Fedora,Normal,Ripped Jeans,,Black,Robber
08405,1,4379,72.47,https://solanart.io/nft/BaStRTpcL2aFy3RuJYvBbh7eYJpZsTSNM1RAEp5dCyv5,Coolio,Black,Gen 0,Fedora,Normal,Shorts,,Orange Tanned,Robber
08926,0.6,2663,83.4,https://solanart.io/nft/GZUrtDXJPD9hGhggzqiXpJuYFfnJQzGavoexPUmYonnv,Bandana,Green,Gen 0,Pirate,Normal,Black,,Yellow,Robber
08992,0.04,4197,82.8,https://solanart.io/nft/6rVKJxL4QPZ6MoJsreoU2KdtnL82CC8S3ifrk5fi5BfZ,Nerdy,Black,Gen 0,Zoro,Normal,Bloody Jeans,,Tanned,Robber
09437,8,7214,0,https://solanart.io/nft/21AuPtfRQTwM2D8vrD2xwaWdCtW7t2PPSQaJ78BfwJMv,3D,Black,Gen 0,Wooly,Damaged,Chinos,,Orange Tanned,Robber
09733,0.42,2185,87.13,https://solanart.io/nft/EMPLvjfra1cngzxaVEXXXePeG4zhfxbRiLq1YxjCSHYs,Nerdy,Orange,Gen 0,Peaky,Ripped,Bloody Jeans,,Dark Brown,Robber
09831,0.169,8471,64.26,https://solanart.io/nft/DnEhXdqQCzTr4skBKgL43mn2Ff7oNq6HDg88Vr5yLrFj,Zoro,Black,Gen 0,Fedora,Ripped,Black,,Tanned,Robber
10673,0.0175,NaN,0,https://magiceden.io/item-details/5sTvbpkxKAG6sn8i6BbMHLUn8MhBoJY9maBK8fd4e7wX,,,,,,,,,
10786,0.15,NaN,0,https://solanart.io/nft/2FEg8guVGfLCryF516v9YsZVrUkzGNzQgwFg4FzxRVRo,,,,,,,,,
10927,0.0275,NaN,0,https://magiceden.io/item-details/YdSLJpZRG1sV4r64hEpUEbUTab3BNT383J43CcAAdcP,,,,,,,,,
11341,0.0178,NaN,0,https://magiceden.io/item-details/AFQoRz2thVq8abeuUhK9UWCLUGVj4MYyP5BQtxhjJjb7,,,,,,,,,
11773,0.017,NaN,0,https://magiceden.io/item-details/5V67ZUbCMMVjLZNJ3j76E78EtbcH7gLBFyJeRFnhMJMj,,,,,,,,,
12460,0.0177,NaN,0,https://magiceden.io/item-details/8vc5xkHEeB46kTW5QYFKEexhVxy6fBYWzJ99MiQ7RCHR,,,,,,,,,
12622,0.019,NaN,0,https://magiceden.io/item-details/FhjVGXd5Xcj7P2MQqoi1wp5bgeJMETfhesjETppo3UZz,,,,,,,,,
13153,0.0275,NaN,0,https://magiceden.io/item-details/CZiwfdTDspbtcYey4gfxbbPwcdKoP1YZfSUZY6QrVhxc,,,,,,,,,
13156,0.07,NaN,0,https://solanart.io/nft/CNdCqno3Mh6NyRX1uGrvSmWoDBYkZRRKG9KfhqtFfuhY,,,,,,,,,
13900,0.14,NaN,0,https://solanart.io/nft/DYkUeZr2CNvnDMcEBnZsJLVMedQzgjaEe6zupmPYB5ZL,,,,,,,,,
