id,price,moonRank,💎 score (%),storeURL,Arm,Background,Eyewear,Fur,Headwear,Mouth,Neck,Outfit
296,0.69,1027,87.32,https://magiceden.io/item-details/8Hgodmci1btfcEUoeL4s9NaU6B4EyzsmNtTw6gt3fnZP,Red Yarn Ball,Night Sky,Wink,Gold,Army Hat,Blushing,,Tuxedo
311,0.13,4101,72.04,https://magiceden.io/item-details/41Wmg1iFhvmnuVfbxEfBLrkv4LhVfh3tEH6CSFjjbuc5,,Halo Blue,Golden Sunglasses,Ice,,Bubblegum,,Box
356,1.3999,3794,61.43,https://alpha.art/t/FWfE8YYsrvkph9dKkhDv3K3XZ5bzQE2p7N7xGKRxYhDE,,Halo Black,Eyes Closed,Gray,Turban,Tongue Out,,Box
359,0.29999999,5773,58.98,https://magiceden.io/item-details/7qSu8ZVFUM5NzTsa2YAm7BrAZQzmEYE8s9bbAGUdC97s,,Halo Yellow,Eyes Clown Happy,Gray,,Blushing,,
390,0.55,2218,80.63,https://magiceden.io/item-details/2kYW41MvWsjDvGGPtvCFE722SMNyrKKYQBpaxUBr3XH3,,Gradient Sunset,Eyes Normal,Rainbow,Pirate Hat,Blushing,Red Collar,
401,0.6,146,94.21,https://magiceden.io/item-details/AhoD7LhHUDvNeQzbynAfn9X3JQTZZfst26JCf581RDVk,Noodle Bowl,Halo Green,Ski Goggles,Gray,Fishing Hat,Golden Mustache,Blue Bow Tie,
415,3,4414,41.21,https://alpha.art/t/BpVVDBw9VcD85NtzSSSooL9hyqn5n9y7V2jKDNveuxF8,,Halo Emerald,Black Sunglasses,Rainbow,Box Hat,Blushing,,Tuxedo
434,4,5441,24.24,https://alpha.art/t/3YjYJWPcLjxNc7a3GApkfjvKFvdQjEvJrJaZh5ExxcSE,Red Balloon,Halo Blue,Eyes Normal,Ginger,,Tongue Out,,Hawaiian Shirt
460,1.5,4072,58.54,https://alpha.art/t/B8ofAA1uqeffcETJFXRgVFyGddqqVx7yLh6czqx8JGdc,,Halo Blue,Wink,Kittachu,,Blushing,Big Bow Tie,
468,2.3,3573,53.93,https://alpha.art/t/DFxKoCUTBv4eis7GFtSwam3UPeZJFqhoE1QFRK7kz3H7,Flask,Gradient Sunrise,Eyes Clown Normal,Ginger,,Tongue Out,,Box
485,0.5,3784,70.49,https://magiceden.io/item-details/8qDBneMuaBXWJBxyLJVdbuJAyL5EFEKjTERxg1gq1ASa,Blue Balloon,Halo Purple,Eyes Happy,Ginger,Clown Wig,Smiling,,Box
499,0.4,2831,77.97,https://magiceden.io/item-details/ByHSMpCs7AbpEx3vQwJG39N8MBSB1iZe3ArbPcxh1UK3,Sake Jug,Halo Emerald,Wink,Ice,,Tongue Out,,Sailor
510,0.315,3166,76.54,https://magiceden.io/item-details/9T95dksf6mjrYqR1Gc7YC7fZSnWPDad9EJw7nwFJY1WD,Ice Cream,Halo Yellow,Eyes Normal,Black,Wizard Hat,Blushing,,
520,0.88,1869,79.7,https://magiceden.io/item-details/6PVQZAR4BDYeFeHkUHTfJWc97aCRAnZw3Vd3bFizV2sA,,Halo Yellow,Eyepatch,Ginger,Cop Hat,Surprised,,Astronaut
531,12,2717,0,https://alpha.art/t/FGr1P1P2o2M2Z2pJpzPXPK8nPSorLUpUsgs72VTNHsF3,,Gradient Solana,Eyepatch,Rainbow,Monopoly Hat,Smiling,,Purple Gold Jersey
533,0.19,4169,70.98,https://magiceden.io/item-details/FepmYiggRo36yhm5pFq4cviibkXaePR3Q6wHcaG1P4Aq,,Halo Ice,Round Glasses,Rainbow,Cowboy Hat,White Mustache,,
548,0.5,769,90.98,https://magiceden.io/item-details/Ej6AMqf5moYEKV2MRQGnFoy66QPxaCPvrr3zq82AfwiL,Red Balloon,Halo Zombie,Eyes Happy,Ice,Cap,Surprised,Red Bow Tie,
574,0.97,2716,73.05,https://alpha.art/t/5ky6L5BvJ3SBmLSoyBLXRqcWf1y5jjBkXTDmj8GC6622,Magic Wand,Halo Yellow,Wink,Ginger,Box Hat,Smiling,,Tuxedo
604,0.98,5363,54.97,https://alpha.art/t/DzBRW2Ux4CfUKjEuxHDSXycZVianvkHxqFJmsaSYAEgY,,Halo Purple,Wink,Zombie,,Blushing,,Hoodie
611,0.2,2863,79.75,https://magiceden.io/item-details/5zptrfeXZLj62wsCfnBHg5gGiQLqHsWTADMa6CeRG36y,,Gradient Chartreuse,Round Glasses,Rainbow,Black Headband,Smiling,,SuperHero
629,0.38,4713,65.38,https://magiceden.io/item-details/B4QDmAL6DjPhS9mwFvYAcQd4yquhSrU74F6gpvvhV8ki,,Halo Black,Eyes Normal,Ice,Astronaut Helmet,Blushing,,
647,0.34,576,93.89,https://magiceden.io/item-details/8S2GS6ssmXznoEjwtSameLGovzTSpNtLriYWesmgChG,Flower,Halo Orange,Troll Sunglasses,Ginger,,Party Blower,Egyptian Neckwear,
