id,price,moonRank,💎 score (%),storeURL,Arm,Background,Eyewear,Fur,Headwear,Mouth,Neck,Outfit
2503,0.25,2060,84.71,https://magiceden.io/item-details/Hryh7VVKvedBnw5DzfVDSdV6XQx1vYiN8yMUDbrs7c45,Four-Leaf Clover,Halo Blue,Eyes Clown Normal,White,Black Headband,Tongue Out,,Box
2520,0.88,4449,62.18,https://magiceden.io/item-details/4o1eWy6RfrMq2tGZFeoP1zDUsiQseaAsYGJDMqYKaq3L,,Halo Purple,Eyes Clown Normal,Black,Backwards Cap,White Mustache,,
2524,4.8,5888,13.2,https://alpha.art/t/wGFb3pGRs7X8CjKkHxpp4yqSab9J79yi6bA2iS7WkGb,,Halo Blue,Eyes Normal,Black,,Smiling,,
2525,0.33,2137,83.38,https://magiceden.io/item-details/6sPqs4w7QgRukXYYa5tZTBjqVyiRRuEkBCtWi9HuBCdF,Four-Leaf Clover,Halo Pink,Eyes Normal,Black,Rasta Hat,Tongue Out,,SuperHero
2530,0.25,2835,79.44,https://magiceden.io/item-details/3vUMu9K1P24C7LiU7vrHEdQ1b7PnaRQi7M1WHqoa8bKS,Blue Yarn Ball,Halo Green,Eyes Happy,Black,,Brown Mustache,,Leather Jacket
2541,0.38,3456,73.92,https://magiceden.io/item-details/HwhieuyqT24haVXuEZjAaP6MMiskr2CudfwisRP5LvCu,Red Yarn Ball,Gradient Solana,Wink,Gold,,Surprised,,Hoodie
2548,10,2267,0,https://alpha.art/t/ZGLhuLXBDvJkpottaQ8mVx7pwTJZsvfBPFBPitVGQwU,Four-Leaf Clover,Halo Green,Golden Sunglasses,Rainbow,,Smiling,Blue Bow Tie,
2600,0.3,1052,91.05,https://magiceden.io/item-details/DwpoWqPp3BdVaKfd5FjVnCGKTMdTFdw3ry47wgAzq8L5,Bong,Halo Black,Eyes Blue,Black,Turban,Tongue Out,,Box
2604,0.5,1632,85.11,https://magiceden.io/item-details/4buxNBbhJoA2mLnZSDZXw37r2WCRaftbghaxDtCuHBNH,Four-Leaf Clover,Halo Blue,Eyes Clown Happy,Solana,,White Mustache,,Clown
2612,1.5,2013,72.52,https://alpha.art/t/GnyQpyaLVYT9LYpboGkEfVNZPs4U4zJrJ9ymUJCiRwcy,Spatula,Halo Red,Eyes Happy,Gray,,Party Blower,,Astronaut
2617,0.29,586,94.32,https://magiceden.io/item-details/EEiygmFJC7mHSZ2uqDSpjqr36jRWMiEE5Cehze43rtxF,Red Balloon,Halo Yellow,Eyes Happy,Ginger,Santa Hat,Smiling,Blue Bow Tie,The Mask
2634,0.5,207,94.79,https://magiceden.io/item-details/8rWK57u8XJb478BbEzPbwDTmkbQy9p6ZuyX6WoJKwNtP,Ice Cream,Halo Black,Eyes Happy,Gray,Clown Wig,Big Smile,Blue Bow Tie,Hawaiian Shirt
2656,0.4,2157,82.55,https://magiceden.io/item-details/5sFAXNRtxQmJZL6bc1M3kP6Su4XHHJvUz8vCjH5g9eG6,Blue Yarn Ball,Halo Red,Wink,Gray,Black Headband,Tongue Out,,Clown
2716,2,267,79.39,https://alpha.art/t/41nKxgvHdjneawGKiaHLbd61znQHPQkWpD4TMBLkzzdW,Sake Jug,Gradient Solana,Black Sunglasses,Black,Black Headband,Brown Mustache,,Clown
2721,10,1028,0,https://alpha.art/t/FyzLW7qzMXiAZWBpm5DfzFRsgDcvUGkEETmL5zHTsizs,Ice Cream,Halo Purple,Wink,Skeleton,Cop Hat,Surprised,,
2726,0.15,2562,82.3,https://magiceden.io/item-details/GSZUaVXYUnUcdUxsAE6L7efnUr5jn4ABge8zDPijbB4r,Giant Rice Bowl,Halo Emerald,Ski Goggles,Black,Bunny Ears,Tongue Out,,
2740,0.35,3910,71.14,https://magiceden.io/item-details/HgxoKUoZYhAEZ64ZfMc65EuyiJ5r32Dy294A2VWxLRA7,Martini,Halo Red,Wink,Rainbow,,White Mustache,,Clown
2776,0.78,118,92.6,https://magiceden.io/item-details/GxUpCyavgBp9fmmZTJdSbeq6dbPD7xsGWUfbCeqBi8tk,Flask,Halo Orange,Black Sunglasses,Gray,Bunny Ears,White Mustache,Golden Bow Tie,Tuxedo
2793,4.88,1647,41.21,https://alpha.art/t/EVdx7SyrUvA4m2kqY3UFvkE13oZzpaDphjY7ZxbdEuke,,Gradient Aurora,Troll Sunglasses,Gold,Cap,Smiling,,Purple Gold Jersey
2801,0.8,151,92.17,https://magiceden.io/item-details/HGpoh7KeRD39GEgH78y3CdUdqFk4zoWNuwAT6vbsT2Dt,Coconut Drink,Gradient Solana,Black Sunglasses,Gray,Cap,Smiling,Big Bow Tie,Hawaiian Shirt
2834,1,1480,81.15,https://alpha.art/t/7gcfsbRvR5ibG1ozE5NTqGsNpxF57Zjid3RCsmnQwqQK,Four-Leaf Clover,Halo Purple,Round Sunglasses,Red,,Blushing,Tie,
2845,0.8,2471,76.41,https://magiceden.io/item-details/DhzTGcVGr1RsVbFQEDUwen4HteRJkdCi6xZP4LT2NEdw,,Halo Zombie,Wink,Ginger,Box Hat,Blushing,Red Bow,
2882,0.5,467,93.03,https://magiceden.io/item-details/7k5Avoo1d2ekqMyC2Xr9EznhyQmFbbwinTbgHnoGziWV,Gift,Halo Purple,Wink,Solana,Mohawk Pink,Surprised,,Box
2955,0.5,1072,88.92,https://magiceden.io/item-details/5Mgt9WLLRjUwTkhQbma3uyMevETXjTKp31wKgZMSaxwi,Golden Balloon,Halo Gum,Eyes Normal,White,Monopoly Hat,Smiling,Tie,
3052,0.5,3254,74.09,https://magiceden.io/item-details/9C4uxhyxS9gmWFkAzBYL8QRPQnhZeEgCRr6nBiJmTybH,,Halo Black,Wink,Ginger,Backwards Cap,Tongue Out,Red Bow Tie,
3083,0.77,1353,84.31,https://magiceden.io/item-details/E7HFzzmF4JxFgSZgMHNJX4h69avVymg4VGGfnVUr8PYZ,Basketball,Halo Orange,Eyes Clown Happy,Ginger,Monopoly Hat,Tongue Out,,Purple Gold Jersey
3111,0.14,2102,85.52,https://magiceden.io/item-details/7AGsYYxgLg7giZnhCggbrtTQvxqRPAe7kmj9euhW4ZCx,Gift,Gradient Aurora,Eyes Normal,Silver,Turban,Blushing,,
3142,2,4044,53.73,https://magiceden.io/item-details/9ogHrapdMy4r7x3Upya7psVK2Ru3CF1YU4wTMz2FTDfz,,Gradient Sunset,Ski Goggles,Kittachu,Clown Wig,Smiling,,
3148,0.3,840,92.49,https://magiceden.io/item-details/AAPE5ZAGj13k5qBBUv6hXuL5Yq1wh4QvGGbirfoyzMRP,Red Yarn Ball,Halo Ice,Eyes Normal,Ice,Clown Wig,Surprised,Gold Necklace,
3180,0.7,1673,82.83,https://magiceden.io/item-details/DyzFEiGPpGxfbMEL7Truu6rqrjohkKTXmSXyZpai8BoG,Red Balloon,Gradient Solana,Rasta Sunglasses,Ginger,,White Mustache,Gold Necklace,
3209,9,4550,0,https://alpha.art/t/86ffPs46DH7MMCwRQkom16Pqj1W7ocqeGqMZGVPvNHfY,Cane,Halo Orange,Eyes Happy,White,,Smiling,,Hoodie
3213,0.35,1872,84.98,https://magiceden.io/item-details/9wSNHPwop6LXDFRW1JmXpwLkg8kMH652agsNZyvMuKs4,Bag Of Cash,Halo Gum,Rasta Sunglasses,Ice,Clown Wig,Tongue Out,,
3214,0.499,4779,63.74,https://magiceden.io/item-details/8K4wMKfvc4vLw9a8pRZ3gT3NztzT692oyxVQSF3aBBhH,,Halo Green,Wink,Ginger,Clown Wig,Smiling,,Sailor
3238,0.6,2759,76.46,https://magiceden.io/item-details/4WidAPWiMD64HkAw6XidKuT4aQSQjUMKF3QuSeJVV4kk,,Halo Red,Black Sunglasses,Rainbow,Clown Wig,Blushing,,Skitt Game Player
3252,5.2,3691,24.13,https://alpha.art/t/GGk9JrmUMt7FSAyQUnS9BQm4F36QvAmTF11WKFTocZh,,Halo Ice,Eyes Laser,White,Turban,Surprised,,
3286,0.45,1330,87.66,https://magiceden.io/item-details/2ZXzPjW65kGXuh6JBjnyJ5NT5hpg5Du9SEaHk4PSjvuZ,Basketball,Halo Blue,Eyes Happy,Black,Sailor Hat,Big Smile,,Tuxedo
3287,0.2,408,96.43,https://magiceden.io/item-details/Ghst7v84HWZMtNb2JwyzWR8qsW9pqFp4snBjF4pK6VCm,Blue Yarn Ball,Night Sky,Eyes Closed,Zombie,,Smiling,Blue Bow Tie,The Mask
3292,0.489,4217,67.66,https://magiceden.io/item-details/HGMdfAreFCRpypf9rTPJhKAPxjooFC2ftUFsxU9aVKjw,,Halo Green,Troll Sunglasses,Black,Bread Head,Smiling,,Sailor
3334,1.2,1813,76.88,https://alpha.art/t/5E2JCoY5WEHJSGxN66LUmmwqN4fhtrrWaHss7nR6iX6C,Black Wrist Band,Halo Green,Wink,Rainbow,Rasta Hat,Golden Mustache,,
3349,0.55,3878,69.35,https://magiceden.io/item-details/571X4NjoiE3xLxg7hk2dA2XRmZwvUFK6vHhke8Rteiii,,Halo Purple,Black Sunglasses,Rainbow,Monopoly Hat,White Mustache,,Hoodie
3356,0.29,1966,84.94,https://magiceden.io/item-details/67vRN4cyBVGq8J9RnJAcqyvXH5cTaCum8T4Fg5GiNiqB,Umbrella,Gradient Solana,Eyes Normal,White,Sailor Hat,Tongue Out,,Box
3358,0.45,411,93.91,https://magiceden.io/item-details/BDFSEVw4hHvVK8sy2fGKgsJSUMxqGFTyapFQ4PYW3uaT,Martini,Halo Blue,Rasta Sunglasses,Gray,Santa Hat,Bubblegum,Red Bow Tie,
3404,3.93,5455,24.84,https://alpha.art/t/9NtdPj1mG2ou1QMpFDYv1QshVkyz3Sfe4Pj1NVTbbbBm,,Halo Zombie,Eyes Normal,Red,,Surprised,,Sailor
3410,2.3,5339,41.93,https://alpha.art/t/BbPD4rD3xFnf8yTZSzmHFk4Cve4HMcdf8VbLL4Dnmv2J,Cane,Halo Green,Eyes Normal,White,,Surprised,,
3422,0.15,5658,61.26,https://magiceden.io/item-details/6hWeitzuRQ2X3kpkRhwoB4QMqy6yTd1px11ant3QKDq1,,Gradient Sunset,Eyes Happy,White,,Surprised,,Hoodie
3437,1,4838,58.33,https://alpha.art/t/5fdTANdsTgfz5k7eZ4DmkK89uJVQh9fDLwhRH3rhScBX,,Acid Bright,Eyes Happy,Rainbow,,Tongue Out,,Clown
3438,0.5,1777,84.13,https://magiceden.io/item-details/Mf9TA7Lk2QLYzWVb3e32raTG5bvAzbNKhjaBaE1Mu65,Red Balloon,Halo Zombie,Wink,Gray,,Big Smile,Bandana,
3467,0.64,1229,86.45,https://magiceden.io/item-details/EiWCVy6Y9F78HGUVHUbxFzPXhC3CKbgS1PSG6cUxg61i,Noodle Bowl,Halo Purple,Eyes Normal,Black,Santa Hat,Smiling,Tie,
3503,0.8,625,88.95,https://magiceden.io/item-details/7SDPWa6zWWKAw65U7tYUJ4YroBdAzGoXfKrzLFtYHJCG,Pirate Hook,Gradient Sunset,Eyes Normal,Rainbow,Mohawk Pink,Surprised,,SuperHero
3514,0.29,462,95.16,https://magiceden.io/item-details/55o5RzFy8bHqZCKK5TsrVPb1Gq7YL8DKmdq318AQjrXd,Black Wrist Band,Halo Orange,Troll Sunglasses,White,,Golden Mustache,Egyptian Necklace,
3518,0.75,726,88.77,https://magiceden.io/item-details/tFrpzBPLBhtXhPLLwFAxmcnzbm2krxXQJf2g1iSMEuw,Martini,Night Sky,Round Sunglasses,Ice,Turban,Big Smile,,
3534,0.2,4876,66.07,https://magiceden.io/item-details/3wdzo86uYXWwGm6iFarRW9H8fhHZmTtNbSb3zF73NK1B,,Halo Emerald,Eyes Closed,Solana,,Tongue Out,,Box
3542,0.55,4641,64.17,https://magiceden.io/item-details/4QHuaskak3PvDw3RDYmFHW3xqrUvQ2yebCWB6fEytZNc,,Halo Orange,Eyes Happy,Ginger,Fishing Hat,Smiling,,Box
3560,0.8,724,88.28,https://magiceden.io/item-details/AmPVDN76ptvMWE6R8k1j6Sf5WJk71mqNTGbocQntUVoQ,Ice Cream,Halo Blue,Wink,Rainbow,Mohawk Green,Tongue Out,,Astronaut
3576,30,3678,0,https://alpha.art/t/Bjzy5NCcEEo1oMd6tNGFZA5g4JHG1DgEn3vWRVMCg21r,Sake Jug,Halo Ice,Ski Goggles,Red,,Surprised,,
3580,66,3229,0,https://alpha.art/t/Ev84roMjtVFYgQMRFvTaVPJ9WAyPW954xgVgQSe2Qe9K,,Halo Pink,Round Sunglasses,Ginger,Bunny Ears,Smiling,,Purple Gold Jersey
3622,0.7,5254,58.51,https://magiceden.io/item-details/BgbiXXc1MAVXLDh4haXNo6cKf2hQB5XgUyUkDHEB2ws7,,Gradient Solana,Eyes Normal,Rainbow,,Brown Mustache,,Hoodie
3634,0.8,2288,77.66,https://magiceden.io/item-details/HzzS7nLAMSpgXbmEfgPe2UkbYbHeTmQEJtkLHUwtrfjz,Red Balloon,Halo Red,Eyes Normal,Red,,Surprised,Red Bow Tie,Tuxedo
3653,0.2,5027,65.05,https://magiceden.io/item-details/6D3bxDkhQEAvtq7pWHa2p7dJnc6KBYQt1Afhgd8rZsyP,,Gradient Solana,Eyes Happy,Ginger,Monopoly Hat,Tongue Out,,Box
3656,0.4,3646,72.43,https://magiceden.io/item-details/DJVekfbyzAtnRVwg7unKhe7MMmd1u8GwnyqzgUneL5i,,Gradient Aurora,Eyes Happy,White,,White Mustache,Egyptian Neckwear,
3660,0.3,3683,73.18,https://magiceden.io/item-details/CKmPyNXHV4LSpaJsxraPc2QQi9DhcjJNCUK4xLU8UeLS,,Gradient Aurora,Black Sunglasses,Rainbow,Cap McKitten,Smiling,,Box
3683,33,1377,0,https://alpha.art/t/2KLhmatdoGfXxeacC1Q23aWDD2sexXSi3F7mdj6AZHSU,Flask,Halo Black,Eyes Normal,White,The Mask Hat,Blushing,,Clown
3705,0.68,1471,84.41,https://magiceden.io/item-details/7feqCSSfum2Z6Uey2g1qqQUUWJu5Yfit5CaMEQLDgg2f,Basketball,Halo Blue,Wink,Ginger,Black Headband,Big Smile,,Hawaiian Shirt
3717,0.25,3313,76.19,https://magiceden.io/item-details/7te8vmVD1BD1pXs7u9QWJvKs12BB3Fdnj7cddjwGYSCG,Blue Yarn Ball,Gradient Chartreuse,Wink,Ginger,,Blushing,,Skitt Game Player
3730,0.15,4442,69.52,https://magiceden.io/item-details/4Nd5LzY4mBmyMd4ozKYHAyjtKNtzUpniyrrpJdPugFgR,,Gradient Peach,Eyes Normal,White,Cap,Brown Mustache,,
3733,0.67,1795,82.31,https://magiceden.io/item-details/DsRCTYyscfgrC9Br3udSfK3E2RALZUwEaDwK5uW4rUVj,Asian Coin Purse,Halo Zombie,Eyes Normal,White,Box Hat,Tongue Out,,The Mask
3739,0.3,1857,85.58,https://magiceden.io/item-details/HAiB9bTy6bxM4jZsSTHMPLmcTXoxcLPsGY5yQqzZnt3L,,Halo Orange,Round Sunglasses,White,Bread Head,Big Smile,,Sailor
3751,0.8,3156,71.76,https://magiceden.io/item-details/EWVF4ZiH2QxzHvVwDnvAKuBb6QcQf9hsGEAuc5MEjmTD,Pirate Hook,Halo Orange,Round Glasses,White,,White Mustache,,Tuxedo
3752,0.478,5784,57.13,https://magiceden.io/item-details/3SVstHW7t5wSyP4PNiuv31wGKFg5rGxuMcKbNVMA7NYB,Martini,Halo Green,Eyes Normal,Black,,Tongue Out,,
3767,0.45,212,95.26,https://magiceden.io/item-details/4nZ6QQ8rsjPSbLWgbfq9U5pAGnzY7Ef5j7YkAKt96Kzd,,Halo Pink,Eyes Clown Happy,Silver,Rasta Hat,Brown Mustache,Big Bow Tie,Hawaiian Shirt
3811,0.38,854,91.6,https://magiceden.io/item-details/DfdPjkWNZCoLkZ86UBz6nZ2cFp4pj29BW3sYUFsqe6aS,Blue Yarn Ball,Halo Ice,Troll Sunglasses,Zombie,Pirate Hat,Surprised,,Tuxedo
3836,0.4798,4915,63.01,https://magiceden.io/item-details/BVWik4LAeKdAzzLA3bk6Xd8GpNyj5GCoVkxSz65fZLZ6,,Halo Purple,Round Glasses,Zombie,,Blushing,,Box
3846,0.5,5190,60.94,https://alpha.art/t/FM8M5Qtwb7k2YPtAVUWRJkXhtzxkDqmDDt6GyPEzJ5tr,,Halo Gum,Eyes Clown Normal,Rainbow,,Tongue Out,,The Mask
3860,0.35,5726,58.8,https://magiceden.io/item-details/HEAwWdyX1Bn2LLXNfB5RUGQiDzKKngmsjycDPy2DzQYP,,Halo Green,Eyes Normal,Silver,,Smiling,,Hoodie
3902,9.99,4342,0,https://alpha.art/t/E7ECsVDY1gD3xAp1qfK3qMxR51Lm6cTFGKdjKZKg1REk,,Halo Orange,Eyes Normal,White,Mohawk Solana,Smiling,,Box
3910,0.14,5486,62.53,https://magiceden.io/item-details/7uAB7zSrr3ySvSD5vbqzYgWVWxsG2UPn6AWF8uohe9RG,,Gradient Aurora,Eyes Happy,Rainbow,,Smiling,,Sailor
3995,0.88,5059,58.03,https://magiceden.io/item-details/GcLu8Y1g3zHwJJEeTB6DL1FBoJXwLAVSRDnw5jBqBH4t,,Halo Red,Eyepatch,Rainbow,,Blushing,,Hoodie
4014,3,2617,53.42,https://alpha.art/t/CPrsQJXU2PsX9kurymanr64VfCL1ZcZijMi5cAFtD3Vg,Flask,Halo Zombie,Wink,Black,Rainbow Hat,Tongue Out,,Hawaiian Shirt
4032,0.38,2212,82.37,https://magiceden.io/item-details/3GdHGGNHGg1VFFB1FZQqjGiCty7ZyN9wMpXkFpCBfgj8,Flower,Halo Ice,Troll Sunglasses,Gold,,Tongue Out,,Clown
4062,1.2,2370,73.1,https://alpha.art/t/E6d6vH3KhaLzQffBxkSbfbBeg95W5fq39qNNi4ZN6BYT,,Halo Ice,Eyes Laser,Gray,Box Hat,Surprised,,Sailor
4105,0.5,1788,84.05,https://magiceden.io/item-details/ATMdQuv6hUmiPy8R9VYWXEgHuB6PA1XaYTfmUJyhf7Le,,Halo Zombie,Eyes Closed,Gray,Box Hat,Bubblegum,Blue Bow Tie,
4112,0.88,3837,66.33,https://magiceden.io/item-details/CeD6CNK9LkXTCTQPKiQrSJaDCHRLLW7ht4hM4BTTzBNf,,Halo Emerald,Round Glasses,Ginger,Turban,Blushing,,Box
4135,0.15,3666,74.8,https://magiceden.io/item-details/8awB3E7hMGdAYNAfoJW5RxoDJHH63jfnopLYAuBmtYPk,,Halo Pink,Troll Sunglasses,Gray,Box Hat,Bubblegum,,Hawaiian Shirt
4139,0.5,2364,80.14,https://magiceden.io/item-details/CZpDmAVdQg8rbZCYXBeUMmnTbcF6qKwSWSDtZDfqyiUq,Spatula,Halo Blue,Ski Goggles,Rainbow,,Surprised,,SuperHero
4157,0.489,4731,64.17,https://magiceden.io/item-details/6xNEuwKUHNjD7324UVAuBec8sfrvsRkyG7dkJnr9hA1n,Noodle Bowl,Halo Green,Rasta Sunglasses,Rainbow,,Blushing,,
4161,0.18,5097,64.77,https://magiceden.io/item-details/58Da6CGLBdUYWZ78zUtnGoiU4PAttEjVSmktiwbXNxWh,Coconut Drink,Halo Yellow,Eyes Happy,Rainbow,,Smiling,,
4164,0.38,1101,89.92,https://magiceden.io/item-details/CamEFKorDewca4DM7CVtk6b8RjbUaWvuUakUSsqsLfh9,Magic Wand,Halo Zombie,Eyes Clown Normal,White,,Tongue Out,Egyptian Necklace,
4176,0.3,2808,79.12,https://magiceden.io/item-details/EqmaANwvDbqwpmQQ68YeVnVvDjQ6jcrX1KrwzzJMvxas,Noodle Bowl,Gradient Peach,Eyes Happy,Red,Box Hat,Smiling,,Hawaiian Shirt
4219,0.3,5623,60,https://magiceden.io/item-details/sAAma7qS99pbdNefCq8zyHxHHtt8e49CWmHsrCe2KH4,,Halo Blue,Wink,Gray,Bread Head,Surprised,,
4350,0.15,4936,66.17,https://magiceden.io/item-details/2nr294X6TjmieGpEy4gehJCjsHuEFu2WD2cuU6muCTff,Black Wrist Band,Halo Gum,Rasta Sunglasses,Black,,Tongue Out,,
4380,0.66,2788,75.66,https://magiceden.io/item-details/38kSdhgb3SyKVuqsHR32gztY46KQN8ysQzfQTqReo1VU,Ice Cream,Halo Zombie,Eyes Normal,Rainbow,Cap,Blushing,,
4385,2,459,78.08,https://alpha.art/t/BPxb8qBpGfZxjEmWExWkJQg7TS3A625Sy9SbuN5kEtE2,Red Yarn Ball,Halo Pink,Wink,Silver,Pirate Hat,Smiling,Red Bow,
4386,0.5,2588,78.62,https://magiceden.io/item-details/uGQc3GX6uo3D5yiBLhtushx5DiLA8Fnn7M5wTZJZn6Y,,Gradient Solana,Eyes Laser,White,Fishing Hat,Tongue Out,,Tuxedo
4416,0.38,2193,82.5,https://magiceden.io/item-details/8x2NsP3oFrYz9QRP3yjFx1JSYK92eP95jeGtUvEoSh6o,,Halo Purple,Eyes Normal,Gold,Birthday Hat,White Mustache,,SuperHero
4435,0.15,5357,63.31,https://magiceden.io/item-details/HmKrwpfGcHLcxZoZN53Gq6cVr4hidLzsKaj7qnHJAfaL,Red Balloon,Halo Red,Wink,White,,Bubblegum,,
4446,4.46,1452,46.74,https://alpha.art/t/3YWbHKTTTj5MHkVDJd8u3PHmPsVcSrU34n9bQrJbPLf5,Cocktail,Halo Emerald,Eyes Closed,Ice,,White Mustache,,SuperHero
4467,0.487,1118,88.73,https://magiceden.io/item-details/4VxNDY1Mj5uyfPg6niPM4NvReAjcFSnvfLc72ftqNR7G,Noodle Bowl,Halo Yellow,Eyes Normal,Zombie,Cap McKitten,Smiling,,SuperHero
4499,0.499,3970,69.24,https://magiceden.io/item-details/4RLA4ypwE4Gg8fmFHjKDZK4JW4yGsp4MZdPwYgJADxWt,Four-Leaf Clover,Gradient Aurora,Troll Sunglasses,White,,Brown Mustache,,
4573,0.2,5142,64.27,https://magiceden.io/item-details/H4fHNgNnuboVUQw4U2RE6Aru7j9BXTsdMiQJ39fQmbLq,,Gradient Sunset,Eyes Closed,Red,,Blushing,,Hoodie
4601,0.75,3111,72.57,https://magiceden.io/item-details/3hSg2bPKHW6mzJQHZwZW49xMcKqC6J3TnfLhEw2mw3JU,,Halo Pink,Round Glasses,Silver,Cap,Big Smile,,
4645,0.81,3750,67.62,https://magiceden.io/item-details/B2sjnn5q3GviPrYTgycgpC7AoQKvR7SB24K1n3ksoTuT,,Halo Yellow,Troll Sunglasses,Gray,,Smiling,Red Bow Tie,Hawaiian Shirt
4648,0.2999,3316,75.67,https://magiceden.io/item-details/DGheEGun9AU8TnkNf6LstnfHMH1XTPaY6uojnAfDHDji,Red Balloon,Halo Yellow,Black Sunglasses,White,Monopoly Hat,Smiling,,Hawaiian Shirt
4649,0.6,522,91.65,https://magiceden.io/item-details/LiPJaqzJV18qZHoFFpw6tKdJKt437uk4JQYFkxAUJzT,Golden Balloon,Halo Orange,Eyes Happy,Black,Box Hat,Smiling,Red Bow Tie,Hawaiian Shirt
4654,0.6,5158,60.16,https://magiceden.io/item-details/Fc3kjYDwoJqRmhGXHKz3HARH58Xf2Gzwv8qqoGkf53Ds,,Halo Emerald,Black Sunglasses,Black,,Surprised,,Astronaut
4732,0.35,5335,61.46,https://magiceden.io/item-details/8wY5fj6XJdNVSeBQzwMJg7i51rDViXJKV5pHT27RRCUL,,Gradient Solana,Round Sunglasses,Gray,,Smiling,,Tuxedo
4736,6,1637,30.08,https://alpha.art/t/GpdwSjTyp9YLwFZU3HKUkcrET8hrYPRiQN6LWzCJBg5Z,Giant Rice Bowl,Halo Purple,Eyes Clown Normal,Solana,Rainbow Hat,Tongue Out,,
4783,0.5,5251,60.53,https://magiceden.io/item-details/CKAxia84Qc8etnXSREaK3oEoZNbH6h7cNn441FeYd83t,,Halo Blue,Ski Goggles,White,,Tongue Out,,Sailor
4839,0.5,2221,81.11,https://magiceden.io/item-details/4717NH6aSjaxZm4ieXwTqYumEKmbD1rCteaAjJzVgjFx,Four-Leaf Clover,Halo Zombie,Eyes Happy,Zombie,Box Hat,Smiling,,Hawaiian Shirt
4856,0.6,705,90.41,https://magiceden.io/item-details/13Qxss7PJA9budqj57jRDjxCwAuqpas3vRxUaN2DMM3g,Basketball,Gradient Sunset,Eyepatch,Black,,White Mustache,Blue Bow Tie,Hawaiian Shirt
4868,3.99,2080,47.17,https://alpha.art/t/9F4tzcxSwgnHW5p2hPhTgko6weBnkg7nK9NVaJAZ4UJw,,Halo Red,Eyes Normal,Black,Mohawk Green,Tongue Out,Bandana,
4875,0.5,4246,67.35,https://magiceden.io/item-details/EfPm9fusGQHEMwB6mAcEaDwkysLtVXYzkiUMqqR5ifKY,Noodle Bowl,Halo Green,Wink,Red,,White Mustache,,Hoodie
4931,0.8,1711,81.58,https://magiceden.io/item-details/Ci6cfv9BUsHApFPxcscVZhgqqBt8cvXsYzPvVHgWoqUj,Blue Balloon,Halo Black,Wink,Silver,Army Hat,Blushing,,The Mask
4933,0.55,618,91.5,https://magiceden.io/item-details/J5rC81ENoNLPgiMkBWG5hSLuzNze41GZbFesTEVuQhzV,Flower,Halo Emerald,Eyes Normal,Black,Halo,Brown Mustache,,Sailor
4940,5,2906,31.46,https://alpha.art/t/9HBUdS17wzA9XuES42NJbKXmVXu6kMvrRPHbp6PKYZQU,Trophy,Halo Red,Troll Sunglasses,Ginger,,White Mustache,,Box
4985,0.88,4458,62.11,https://magiceden.io/item-details/HWGVzCEJbQ4ezFxmmLEkKCHRQPc4twe9FVHfdpW4W2wb,,Halo Red,Eyes Normal,Gray,Monopoly Hat,Bubblegum,,Hoodie
5009,0.5,3096,75.17,https://magiceden.io/item-details/C1JRpBfTAuVG1BxdqZFRyNhYUZQuaPMCbh6AGUm5wdy4,,Halo Yellow,Eyes Clown Normal,Ice,Army Hat,Brown Mustache,,
5025,0.5,1856,83.59,https://magiceden.io/item-details/8xTSffaf3eHpmP9hW3JSyXUCVfrdPcMgx6rhRTfFi4pz,Bong,Halo Orange,Eyes Happy,Ginger,Clown Wig,Tongue Out,,Sailor
5041,2,2797,62.2,https://alpha.art/t/BBZfYydfWP38wm3d1hEdfEN2gMMMM1bg36EoSa2kBhWc,,Halo Purple,Eyes Normal,Gray,Turban,Surprised,Big Bow Tie,
5073,0.35,5438,60.76,https://magiceden.io/item-details/7m7d44FJVJzZP47PsopWgrZsUSScHGvJEFTmeNsKuSzk,,Halo Black,Eyes Normal,White,Santa Hat,Surprised,,
5074,0.38,1596,86.56,https://magiceden.io/item-details/GVCcnBPJtKy7zQ1DxfNXYynttYmMatLwY5pBZ76g2RqS,,Halo Black,Eyes Laser,Black,Bread Head,Big Smile,,Sailor
5098,0.82,2674,74.83,https://alpha.art/t/DCVYPPirwMSVeZvu9JDfE5CiUTysY622rt6KUzW3TWUT,,Halo Ice,Eyes Clown Normal,Black,Rainbow Hat,Tongue Out,Tie,
5181,0.99,4166,63,https://alpha.art/t/GyD2qH1eaLBTrYX93hux1ZcdnijX17dhNchjzbpZzbYE,Red Balloon,Halo Ice,Eyes Clown Normal,Gray,Bunny Ears,Tongue Out,,
5212,0.8,5770,54,https://magiceden.io/item-details/9EySAFLuAztm8wyZXHbaa1GUvfBZRMaqoGipPinf7set,,Halo Yellow,Eyes Clown Happy,Ginger,,Blushing,,
5223,0.5,3817,70.27,https://magiceden.io/item-details/F1K7zK4ioPVP8WKho1fTBVZUK7yr1GhvRujyvTVvr8rw,,Gradient Sunrise,Eyes Normal,Silver,Fishing Hat,Blushing,,Hawaiian Shirt
5245,0.5,2997,75.84,https://magiceden.io/item-details/CJPBBGHhjDtfmzR2YjTGVBhqv9kVPJRFXCZ8VhAhniam,Basketball,Halo Purple,Troll Sunglasses,Kittachu,,Tongue Out,,Tuxedo
5248,0.5,1908,83.24,https://magiceden.io/item-details/F9HrTn9k5K8KZ5j1wGj4aYExpQTxLj5sdLGZrnaXhMHs,Red Yarn Ball,Gradient Peach,Eyes Clown Happy,Black,,Smiling,Red Collar,
