id,price,moonRank,💎 score (%),storeURL,accessories,division,extra,eyes,hair,mouth,outfit,skin
2387,2,236,81.27,https://magiceden.io/item-details/AnV1Gw9YJgkdD5ydRfmfonryPSNfRedvbW8KXKPLnyqs,blue neon bars,portside,charge swords,implant,short black and grey,cyber fangs,rider,default
2394,1.5,2224,68.34,https://magiceden.io/item-details/FZR5tuKwGFnUFbe5wCuqY8p6bX2pQLfX8hMPEipUKKsM,red neon bars,industrial,none,neon green,mohawk,side grin,brawler,primal
2397,3,90,72.59,https://magiceden.io/item-details/977ihxw7b6RTvLB4GZsjcrCJgRuRCk5vsr2zSAHy1UZD,green neon bars,night,coil swords,candy,mohawk,smoking,bruiser,toxic
2436,0.75,3189,67.14,https://magiceden.io/item-details/BTHSnJyiTju2crmYnAEhBYyGSE1VLx9pFV8KFdyuWouk,red neon bars,night,none,black,black bob,default,guardian,gunmetal
2447,1,4330,54.35,https://solanart.io/nft/CCRDqyPjr7H3fJCTYgUbWZqs5jdsF8y6n2EdYDZ5LuHt,none,portside,none,black,middle part black,default,guardian,default
2453,1,3728,59.78,https://solanart.io/nft/Cttdzf9CtBmSEFCJExTBwLBSgwTTyguoM9UHrN58ysdj,none,portside,double black katana,neon green,middle part black,side grin,saiba t shirt,default
2457,0.98,1362,81.32,https://magiceden.io/item-details/6nTnqJ92nMcL4aQs7o9D1umEtmugR8zR7W2KxKuU7cVE,kunai,dregs,none,emerald green,short black and grey,side grin,tech jacket,purple tattoos
2467,2,299,80.7,https://magiceden.io/item-details/8JNHdh1rLadqSatGdVGxuXCPNRDi9A5FtpNezs85N4aY,studs,industrial,black katana,augmented shades,short purple fade,default,punk,bionic
2488,0.5,591,93.07,https://magiceden.io/item-details/UF8fzFrT2hg5Vik29kKN3qHoyFymyPPh9v3xsmLSQRd,kunai,portside,emerald blade,neon red,middle part black and white,side grin,saiba hoodie,cyan
2492,2.5,2703,54.02,https://magiceden.io/item-details/4E9tBBeriLPAZf53Hy3wsJ2E6ucqsg2aEQABo64WT4rc,green neon bars,night,double black katana,neon red,short firey red,default,saiba t shirt,scars
2501,0.69,4396,56.85,https://solanart.io/nft/iKJqP5MtGeHJt4AS5yeAWXhVUNsAEUhEL47zCVCr98s,none,portside,none,neon green,blue spikey short,default,rider,crimson
2502,1,2748,68.62,https://magiceden.io/item-details/9FE5S486LnKLhLhac48pUdMA6uAcV1J5gh4vKJHnTEqz,none,dregs,none,black and yellow,white slicked back,cyber fangs,rider,green tattoos
2524,0.8,2138,76.12,https://solanart.io/nft/2A3pd3iTAW34hCNoCWT84tvTXmC2iHAYn62d1A6sqfWF,red neon bars,night,black katana,night vision,middle part black,default,rider,crimson
2539,0.69,2678,72.35,https://magiceden.io/item-details/6eCDxrXkQwXnAeLDeevM5qTNm5RefeZaGDW17dJSUdzp,none,night,double neon katanas,neon blue,short white fade,cyber vampire,saiba t shirt,crimson
