id,price,moonRank,💎 score (%),storeURL,Background,Edition,Eyes,Head,Mouth,Outfit,Skin
1437,9,849,53.62,https://magiceden.io/item-details/2mCHnqWeJLPZoKHxPwtP9UT6fAogptoYKHwP94KPC4kg,Green,,Solana,Bowler Light,Stache,Tank Top Pink,Natural
1468,12,455,25.65,https://magiceden.io/item-details/ER1iJWu6jekcKLp6xZdi1zNS2GQy2DewTus5ia8Avse1,Persimmon,,Scar,Astronaut,Fangs,Shirt Red,Natural
1561,5.5,6116,61.46,https://magiceden.io/item-details/v6QqaseXXwVXS8jw8knngDh1QWDTeVv8hF9etd6XxbN,Yellow,,Wink,Cap Blue,Grin,Sweater Red,Natural
1618,6.9,4992,53.25,https://magiceden.io/item-details/3ym4rrHQazxYyiGKQFQ1gaPiPvwsF7txSnvc4vEfgPrK,Pink,,Mutated,Bucket Hat Ivory,Grin,Shirt Flannel Red,Natural
1629,7.99,1587,59.92,https://magiceden.io/item-details/9Xpdds1nyWZmtsTQYa3coZZi6CnjK7GDFSJpH7qDVeLw,Blue,,Standard,Captain,Closed,Hoodie Pink,Natural
1635,11,3952,17.62,https://magiceden.io/item-details/GAgqt1VMja6X8thDnuziBSSPWurBoMHi4fMXAW2LM19S,Emerald,,Jaded,Valet,Smirk,Shirt Flannel Green,Natural
1637,7,1545,70.03,https://magiceden.io/item-details/5JPYsPpPrn8L4wzkiesLsHiKwUU8SR3pFvPBAwuewcNF,Champagne,,Synth,Valet,Grin,Sweater Red,Natural
1686,12,652,24.64,https://magiceden.io/item-details/AjAPTqabwXCgy1uJ9gBumyavsRZZvadwBPVWQo53eNC8,Persimmon,,Solana,COPE,Drool,Scarf Purple,Natural
1802,5.3,7716,55.21,https://magiceden.io/item-details/C1TeSJrAkzCiVifyaZNig3rp54qU7ju8fwyChVbHkmSu,Sky,,Jaded,None,Fangs,Shirt Flannel Yellow,Natural
1839,6,6774,53.06,https://magiceden.io/item-details/DvGkKTNhW8bUm2hcpunswe88UacJFNrHKLpCLPjU77CY,Green,,Jaded,Bucket Hat Green,Blep,Hoodie Green,Natural
1993,5.5,7126,56.25,https://magiceden.io/item-details/D9yicFyJHBU5b1zF5LfYfwDkFdxRqZawcWd11zykW6qC,Emerald,,Standard,Cap Pink,Closed,Turtleneck Blue,Natural
1994,7,1437,70.59,https://magiceden.io/item-details/GMeiiL4JgoK4VaULwJAXg46FWqbQUX9BTbPGC5271C1X,Pink,,Sleepy,Safari,Smile,Hoodie Light,Natural
2073,5,7034,61.72,https://magiceden.io/item-details/7yoLNEwgdGrHMhTTxuC4j6FDfBmLLSF1KHYTgikgtNaX,Straw,,Standard,Bowler Light,Smile,Scarf Red,Natural
2178,4.94,4490,75.44,https://magiceden.io/item-details/DUkJbqD1NdiVcjZar1eGdDkciDAmxSgGuD6pciXW3CQ1,Amaranth,,Shades,Bowler Light,Drool,Shirt Blue,Natural
2193,8.5,3102,47,https://magiceden.io/item-details/6aoBoCvNx77XMsJsUqimK7Nb4q4zAyhENG61KCUqP5Qz,Pink,,Scar,Bucket Hat Blue,Grin,Shirt Flannel Green,Natural
2231,4.92,5478,70.55,https://magiceden.io/item-details/3EDp3uZW7BRNFQijY5TAnRrWVDV2wHh7NBqxPB7pR6rp,Green,,Eye Patch,Headband White,Fangs,Scarf Red,Natural
2235,9.69,1123,45.31,https://magiceden.io/item-details/43ncuub7WAVTZuMJLksMpcJ5UU6mZWPVxnANFCzgp51W,Straw,,Angry,Viking Dark,Smile,Scarf Red,Natural
2302,7,4192,56.38,https://magiceden.io/item-details/9JGDAWCrbgXf3LfkybJm5u77m5nayAjwmH62TCkbsZ29,Rose,,Shades,Headband White,Smile,Sweater Green,Natural
2398,9.8,3789,30.46,https://magiceden.io/item-details/CcSGUk7Kp8HcfhTicWPSRSDe3BUHtMjbBSWRi1K7dVDs,Amaranth,,Shades,Backwards Cap Blue,Smirk,Shirt Red,Natural
2429,5,4421,75.2,https://magiceden.io/item-details/HuMqdBBD2jpbYvG57LYvYiA7HFdohfrYiQ5doAvaQiFY,Sky,,Scar,Headband White,Drool,Shirt Blue,Natural
2573,10.69,222,39.96,https://magiceden.io/item-details/8YBPLgdXP1CjaWCq2GCHwRjPcYPYtq2xLsWqWSt3cFft,Green,,Solana,Viking Dark,Fangs,Turtleneck Blue,Natural
2590,12,2282,16.23,https://magiceden.io/item-details/CHFtJwVmQah9sMGrrWrGU7ZFDe3FB19j7woMut2A3Kok,Orange,,Synth,Headset,Closed,Shirt Flannel Yellow,Natural
2593,8,4711,43.7,https://magiceden.io/item-details/5uKQmDbB1XkpwouwPhKoQk2NTRfJqy3kXJqmLpw1A8Gm,Emerald,,Angry,Cap Blue,Smile,Shirt Blue,Natural
2604,5.3,4472,71.94,https://magiceden.io/item-details/6ZrsGeqUhkodjkxtpFDTusdnsc7LMmqEZk2ZDCFHhsi4,Violet,,Sleepy,Bucket Hat Green,Blep,Shirt Blue,Natural
2612,5,6257,65.73,https://magiceden.io/item-details/GynJkwv3JwohHRwvCQcX7tbVPthZWrRty5S6n9h5EaDW,Sky,,Standard,Sportsband,Smirk,Scarf Striped,Natural
2668,8,5505,39.61,https://magiceden.io/item-details/6REfjUsBDEeBKBchTDbDTpeTRCbcKKiVZ8Aw5PQqk9ax,Yellow,,Blank,Bowler Light,Smirk,Tank Top Pink,Natural
2672,4.8,4901,74.72,https://magiceden.io/item-details/5QhEQi45SiDrmQpYLRQ7m5JeRKHVotufkf5Rcx1jcRiz,Amaranth,,Synth,Bucket Hat Ivory,Grin,Shirt Flannel Yellow,Natural
2695,8.2,6245,33.79,https://magiceden.io/item-details/AkugHc3A5xkzSTcqBruZSvj2jeKMQdx1rrJdH5LkuVXd,Orange,,Wink,Backwards Cap Camo,Grin,Shirt Red,Natural
2809,11,4475,14.92,https://magiceden.io/item-details/9gZ2kjqMw93QDpkUHMdg2DVkgYifsJzqUZouFXcszBg4,Blue,,Thug,Backwards Cap Pink,Smile,Hoodie Pink,Natural
2930,5.2,3326,78.85,https://magiceden.io/item-details/8cZR3uMD5io8pU7VSNVBiPSoZkrGvnnggh8nKoTEa9Qa,Alabaster,,Synth,Bowler Dark,Smug,Tank Top Purple,Natural
2976,5,1928,88.06,https://magiceden.io/item-details/27iBM1iTUPBsvk2yqDBtsxaouWCihUyoHFRnB28tWPrn,Orange,,Angry,Bucket Hat Green,Stache,Tank Top Dark,Natural
3018,7,5332,50.5,https://magiceden.io/item-details/8A1hrh9s8jGXx2hivqszNNoLX5QujGPJsKAdwcAM9XyQ,Straw,,Jaded,None,Beard,Shirt School,Natural
3043,10,4538,24.6,https://magiceden.io/item-details/m8uowSC8GZaPsbx8tNZeoo3skVZWtsqXx8BDQtyPkxr,Mint,,Sleepy,Bowler Light,Smug,Shirt Flannel Red,Natural
3046,8,6803,32.91,https://magiceden.io/item-details/C18KiAByDhqGxEjDp2xjvHcWEK4XoH14rQiebhHji7G,Mint,,Standard,Bucket Hat Ivory,Blep,Shirt Blue,Natural
