id,price,moonRank,💎 score (%),storeURL,Arsenal Back,Arsenal Front,Background,Base,Decoration,Elite,Eyes,Headwear,Nose,Outerwear,Outfit
3328,17.99,2310,60.81,https://solanart.io/nft/8nzfsZHaKmkuKfiiknbM2EuNZEn7X2CdNFsqHrnLi2h1,None,None,Blue,Red - Oooh,Face Tattoo,,Closed,Explorer's Hat,Piercing (Barbell),None,Collared Shirt (White)
3482,17,6001,55.87,https://magiceden.io/item-details/CFC9iSdgund8UtvjqRUi8GdA1ashHmsrDRPt6znFKuiu,None,None,Red,Green - Oooh,Freckles,,Eyeballs,Horns (Small),Default,None,Turtleneck (Blue)
3679,18.9,3853,45.51,https://magiceden.io/item-details/3SJZCPHeNkcp2Sfx7B21Qis5o3p6YMitLEyYJjzGJ6Su,None,None,Aqua,Green - Gold Tooth,None,,Feminine,Ball Cap (Skull),Mustache,Gas Mask,Turtleneck (Red)
3847,16.5,8854,49.4,https://magiceden.io/item-details/GtqxCnF6e8F7gS3xs8R1aK5DdvfPH74LsGAMc7gioyRj,None,None,Fuschia,Gray - Side Open,None,,Angry,Candle,Heart,None,Basic Tee (Blue)
3921,30,1684,0,https://solanart.io/nft/Drw49JZJYwMw4ehtz6yndniNaAQcKMGZPFgBg9E1WLmT,None,None,Sky Blue,Red - Open-minded,Piercing (Left),,Feminine,Crystal,Heart,Surgical Mask,Basic Tee (Yellow)
3976,80,4528,0,https://solanart.io/nft/D34z5bAEffn9ygGQav2PvhoT2D9A9W81xsLGXUYie87e,None,None,Bone,Blue - Sewn,Piercing (Left),,Eyebrow Raise,Viking's Helmet,Default,None,Reaper Cloak
3984,18,9808,30.56,https://magiceden.io/item-details/GmE7d8oWbTq2SKogqoQRmqW7QgfVjtTWxawdvLAYokd7,None,None,Deep Gray,Purple - Oooh,None,,Closed,Flat Bill Cap (Coffin),Heart,None,None
4063,15.5,8559,60.59,https://magiceden.io/item-details/HRSNGYATY1HNcoAdghsTKCZYGEXJ3MUdzMWSnQPAf2bj,None,None,Pink,Red - Cracked,None,,Closed,Cowboy Hat,Piercing (Barbell),None,None
4128,16.69,8097,50.54,https://magiceden.io/item-details/GqVkZf9FGSQu4W74amT1Hs5HRMoWt7cfLQaCod7kuba5,None,None,Green,Blue - Open-minded,None,,Eyeballs,Star,Mustache,None,Hoodie (Red)
4155,16.5,5782,61.75,https://magiceden.io/item-details/3fyyQgnrVWndz8GSWXLni56rMJgW37sdQXyMy5HN4myt,None,None,Green,Gray - Open,None,,Third Eye Open,Sailor's Cap,Heart,None,Silver Armor
4167,18,2689,59.19,https://magiceden.io/item-details/EhAf2G8wiq16b9BqMiUeXzCf8N6nKzq48udv7jsnjmfr,Herald's Halo,None,Fuschia,Black - Toothy,None,,Scope Technology,Ornamental Circlet,Default,None,Basic Tee (Yellow)
4470,18,2896,58.36,https://magiceden.io/item-details/EHrkhyWcdjcBUpo7yx3N3nrLUoUjyYo48GR3nakmmiAT,None,None,Bone,Blue - Oooh,Sigils,,Default,Punk Hair,Mustache,None,Basic Tee (Blue)
