id,price,moonRank,💎 score (%),storeURL,Accessory,Background,Ears,Extra,Eyes,Headwear,Horns,Jewelry,Outfit,Skin,Tattoos
52,5,1629,58.21,https://magiceden.io/item-details/J2hN5ZuXbTLKMkPCo52PJb2Kt5WpCM35FqBjjfiiKX3A,None,Mint,Safety Pin (Silver),None,Normal,Dad Hat (Cream),None,None,T-Shirt (Grey | Hype Print),Blue Rubber,Pain
58,3.69,5148,45.84,https://magiceden.io/item-details/3au9VECrczgE7BYg7cEYYumS3bQRBLm37vZATD8fR5uE,None,Cream,None,None,Happy,None,Small,None,Windbreaker (Black),Blue Rubber,None
65,3.2585,1614,75.73,https://magiceden.io/item-details/87msDSqYHkTdrReCkz3DxUSbWT99dhN9h38FNWHpt59a,None,Blue,Cross (Silver),None,Retro Half Frame (Black),Oversized Beanie (Red),None,None,T-Shirt (Blue),Mint,None
73,5.5,3499,39.67,https://magiceden.io/item-details/97x847eJbBRwaTYfYPnzrvsHpQ5V2wTuUsTbhQhZSk9U,None,White,Big Hoops (Single | Rose Gold),None,None,None,Small,None,Windbreaker (Camo Green),Gold,Pain
77,4.7,5457,33.5,https://magiceden.io/item-details/WSCvx79hBQxXSaHZTboh3ZSH3Xs3msy7PG7K53XKBQ6,None,Black,None,None,Small Round (Black | Silver),None,Curved,None,T-Shirt (White | Hype Print),White,None
110,2.5,5066,58.33,https://magiceden.io/item-details/FSNyYG2JBz5vGhanmmpaC9pxS7xsAxrCKpojGbCtEeKh,None,Mint,None,None,None,None,Curved,None,T-Shirt (Yellow),Red Gem Stone,None
125,3.5,2328,68.15,https://magiceden.io/item-details/BxdrpRWWVfkeNaqc1FhQtdz7PMQJyVE8wREhTEN8SPUQ,None,White,Big Hoops (Double | Silver),None,Small Round (Black | Silver),Five Panel Cap (Pink),None,None,T-Shirt (Grey | Hype Print),Grey,Pain
153,4,224,78.38,https://magiceden.io/item-details/HN7VXZ6W9van5ud3S8eiaX6WkEf6R95fTNU6SjtWgcAj,None,Blue,None,None,Small Round (Black | Gold),Boonie (Pink),None,T-Shirt Necklace USB (Gold),T-Shirt (Black | Lion Print),Mint Gem Stone,Pain
167,2.7,4365,61.4,https://magiceden.io/item-details/8ftx2NFCS6FfxSRZfZpQL2gWnHBSMAv1VXVY6AkWMZZ7,None,Cream,None,None,Retro Half Frame (Yellow),None,Big,None,Hoodie (Red Drip Metal Print),Blue Rubber,None
176,3,1559,78.72,https://magiceden.io/item-details/FeKqjV8KbpVXtSXeFQ5LGChM9DZDeYrh234yAEghxVka,None,White,Diamond Hoops (Single | Rose Gold),None,X,Oversized Beanie (Yellow),None,None,Snowboard Puffer (Mint),Rose Gold,None
186,4,3933,51.53,https://magiceden.io/item-details/9P1FtqjFJ8ibBAK3PKSXAw6UarGK9xRjRaQhmY5qBTtg,None,White,Diamond Hoops (Double | Gold),None,Happy,None,Swirl,None,Hoodie (Black Drip Lightning Print),Blue,None
194,2.4,2264,79.61,https://magiceden.io/item-details/8u3irq52s9TfAWCzcNJPcKikBs3FhsuroPkHQc4K8hyp,None,Cream,Big Hoops (Single | Rose Gold),None,Small Round (Black | Gold),Snapback Backwards (Black),None,None,Puffer Jacket (Monster Print),Purple,None
220,3.5,5081,48.22,https://magiceden.io/item-details/DC8fzzdJtKXHAZBeva2DerfiWtM6Qhy4v44Zou46skYj,None,Black,None,None,Small Round (Black | Grey),None,Curved,None,T-Shirt (Black | Lion Print),Mint,None
231,4.99,4842,35.05,https://magiceden.io/item-details/DHJoKkKxvAjosTfpZeBV6Yh1HpNyT8QtQMd6fGEXaFTf,None,Blue,None,None,Shutters (Black),None,Small,None,T-Shirt (Yellow),Black,None
234,3,4061,60.6,https://solanart.io/nft/1hHNm7acKx31om5tdwzUKC8aTVM2LE2DVB833kCdzBx,None,Black,None,None,None,Visor Cap (Silver),None,None,Lumberjack Shirt (White),Cream,None
245,3.49,2070,70.12,https://magiceden.io/item-details/CiRYgjfBHJcEFQf8o2yXFhDHDrRU6UtHFGb1ojBQmFUP,None,White,Big Hoops (Single | Silver),Angel Wings (Black),Ski Goggles (White | Gold),None,Small,None,Polo Shirt (Black | Red),White,None
252,2.1,4663,65.25,https://magiceden.io/item-details/GGBY7t7xrxXv4HXwnLxUmdjeGkDpSZJmUwqah7ziNkh5,None,White,Big Hoops (Single | Gold),None,Aviator (Black),None,Small,None,Hoodie (Pink Drip Lightning Print),Black,None
264,3.456789,4446,53.25,https://magiceden.io/item-details/7TDSYaCCAexwbBZpc12rsCtiaUwwRBHNXnUe3swBQ1Lc,None,Black,None,None,Happy,Fur Hat (Cream),None,None,Hoodie (Blue Drip Lightning Print),Orange,None
270,4.5,2537,56.64,https://magiceden.io/item-details/91mXnHw1jjzyfgaF9C15ft9us8VJKPcKxG4SmXzfr1cw,None,Red,None,None,Small Round (Black | Rose Gold),Five Panel Cap (Black),None,None,Puffer Jacket (Black),Pink,None
273,3.4,3888,57.86,https://magiceden.io/item-details/2fS7gmKBapeBVCQmrP89V9xcRe1yuUAGJ6WMDTkHhNHi,None,White,Lock (Gold),None,Retro Half Frame (Blue),None,Small,None,Puffer Jacket (Leaves Print),Red,None
292,3.2,4105,58.29,https://magiceden.io/item-details/DtkYVHDs5oWbyU3fvpgyVDwQaSLERVbMajjqnHAQ6QdK,None,Black,Top Hoops (Double | Silver),None,None,None,Small,None,T-Shirt with Pullover (Orange),Red Gem Stone,None
322,2,5008,63.75,https://magiceden.io/item-details/6PSGtfB5N6pzM9nGvVcs9PvWpnNwyVPjKZoxKPnCiPxi,None,White,None,None,None,Visor Cap (Blue),None,None,T-Shirt (Orange),Black,None
333,5,4260,39.16,https://magiceden.io/item-details/BsekC4XhMMKKccx7KryR6uSaHujjDNKKGmVEDBLDNNsW,None,Black,Feather (Silver),None,Beachrunner (Clear),None,Small,None,T-Shirt (White | Rose Print),White,Pain
336,4.3,2338,60.08,https://magiceden.io/item-details/AbwhKjyuwKhjnqjPxyQETRncAY5eCwxh9jttuytueavZ,None,Mint,Cross (Gold),None,Normal,Snapback Backwards (White),None,None,Puffer Jacket (Pink | Blue Flower Print),Cream,None
337,5,5170,32.58,https://magiceden.io/item-details/6F1p2oU69qbBPUMbiRBzfq11CNusRpF2HfY7bdwktmzT,None,Black,Diamond Hoops (Double | Silver),None,None,None,Small,None,Hoodie (Red Drip Lightning Print),Black,None
345,2.5,5241,57.06,https://magiceden.io/item-details/F4xhFk2PfV7sMV6fkwaYQ6mUCZ6FDPLdTZLvWFFUDPnj,None,Cream,None,None,Small Round (Black | Gold),None,Big,None,Puffer Jacket (Black | White Flower Print),White,None
347,5.5,828,59.01,https://magiceden.io/item-details/323kTncDPGr5Da1uXcpVL5P77XZVd6Xf2qD1yTqw5Q9i,None,Blue,None,Feather Wings (Gold),None,Oversized Beanie (Pink),None,None,Tactical Vest (Pink),Yellow Gem Stone,None
349,3.5,4436,52.89,https://magiceden.io/item-details/3xyZgAUxritiBZpwXLmgxjMSUFMyV45v23CsDfdnvg7B,None,Cream,None,Feather Wings (Black),Happy,None,Big,None,Windbreaker (Purple),White,None
366,10,855,13.81,https://solanart.io/nft/HArdwrpn8PKkdk2oB7iK73UJ6SLKaxRhQAVcYpQMxpFh,One Arm Backpack (Purple),Blue,None,None,Small Round (Black | Gold),Gatsby Hat (Mint),None,None,T-Shirt (White | Lion Print),Black,None
371,3,2631,70.96,https://magiceden.io/item-details/BBJxuPkjPmZbc2xTBt4rXLMHRnWaezRpFyyzNsnXbwSB,None,Cream,Cross (Gold),None,Vintage Rimless (Black),Dad Hat (White),None,None,T-Shirt (Mint),Black,None
373,3.5,4854,49.86,https://magiceden.io/item-details/7bGcwnF9oxzMx5vA7Z8bDXiJ6XdmBh8Loynf5gyv9WiY,None,Red,None,None,Happy,None,Big,None,Hoodie (Grey Drip Lightning Print),White,Pain
374,3.3,1742,74.39,https://magiceden.io/item-details/GReAjiwcPfHsMCL3hkt2AjpC3CgQxouy79MwmTZ8FTy2,None,Red,None,None,Normal,Fur Hat (Red),None,None,Puffer Vest (Black),Purple,Pain
395,5,2565,51.43,https://magiceden.io/item-details/9WsSSeLLtTUdubDezWfTbNqrYY4xDR8b45jcH71ctzaV,None,White,Cross (Silver),None,Retro Round (Black),None,Small,None,Windbreaker (Blue),Yellow,None
396,6,4176,29.77,https://magiceden.io/item-details/3kC6z39A6n8iaZta79yBDdNye7rLmaxNJpGGf2XvHZBB,None,Mint,None,None,Retro Round (White),None,Big,None,T-Shirt (White),White,Pain
404,3.2,1958,73.83,https://magiceden.io/item-details/FdWLGCyVF7VmfHNotyHXfwioogpuvP17Sb3H1W68fbKj,None,Black,Big Hoops (Double | Silver),Angel Wings (White),Normal,Five Panel Cap (Mint),None,None,T-Shirt (Blue),Black,None
416,4.5,1995,60.56,https://magiceden.io/item-details/8kUqp8SerN2W5HSEK2MMYaNrQzUXhXdLrNXYgAJ619JC,None,Cream,Big Hoops (Double | Gold),None,Happy,Boonie (Pink),None,None,Retro Track Suite (Red),White,None
425,5,2523,51.74,https://magiceden.io/item-details/ECREZL7AMWuxY3dq6pp9cimH7EFax2P4ok9YBRkVUmEQ,None,Mint,Big Hoops (Double | Rose Gold),None,X,Snapback Backwards (Pink),None,None,Puffer Jacket (Luchador Print),White,None
427,3,3166,67.08,https://magiceden.io/item-details/ECUnPsTUzdb11BZq8JGrL7RasWUaBNAQJytHsBeCF75o,None,White,Safety Pin (Silver),None,Retro Half Frame (Yellow),None,Small,None,T-Shirt (White | Palm Tree Print),Gold,Pain
429,5.6,2002,49.51,https://magiceden.io/item-details/2MnY1mLvvJufF3UQ3TJAEcfm9UrU7iwCriMcHGf8b9ep,None,Red,None,None,X,Oversized Beanie (Yellow),None,None,Snowboard Puffer (Mint),Silver,None
462,5,5155,32.69,https://magiceden.io/item-details/5L1Ja3GUMtBxakw9LY5zzEhfybojYgLDXFwbiz8VnQz5,None,White,None,None,X,None,Small,None,Puffer Jacket with Fur (Cream),Gold,None
463,3.5,2460,67.19,https://magiceden.io/item-details/EJyyUYDtEagiy2WFG52BprJ7UrZjrwBa3gyi7oYPE6gQ,None,Mint,Big Hoops (Double | Gold),None,Vintage Rimless (Red),Oversized Beanie (Pink),None,None,T-Shirt (Grey | Rose Print),Black,None
487,3.69,2318,66.32,https://magiceden.io/item-details/F96TzrmP33c6wPjqnPAzNtQKfkiNcLY9ReRoEz6hmwsc,None,Black,None,Dragon Wings (Black),Viper Shades (Black),None,Curved,None,Puffer Jacket (Purple),Blue,None
504,4.5,4430,42.93,https://magiceden.io/item-details/EV1deRcePRJhKjCA4Ch862zBXZibQMbahrpFLxEpCKBo,None,Red,None,None,None,Oversized Beanie (Blue),None,None,Hoodie (Orange),White,None
534,3,3177,67,https://magiceden.io/item-details/Dm4gWFxrzuFMyh9uLfps7PzaonhR9GyAzYxdTUq1K8un,None,Cream,None,None,Swirl,Five Panel Cap (Red),None,None,Hoodie (Yellow),Black Marble,None
537,3.44,1612,73.93,https://magiceden.io/item-details/6F1deJWD4fzd7eQqL9SgZuMuyC339S9UqhWLcCY7MV2W,None,Cream,Lock (Gold),None,None,Snapback Backwards (Yellow),None,None,Tactical Vest (Black),Black,Pain
549,3,3424,65.22,https://magiceden.io/item-details/4TMSpZUMRvdWHsrKJYVDkgjwy3eVi5GQKtkC8WNTtc7b,None,Blue,Top Hoops (Double | Silver),None,None,None,Curved,None,Puffer Jacket (Pink),Silver,None
570,2.49,4143,65.11,https://magiceden.io/item-details/4CE39jcQMMHJwKtK2qrXmKugp5UkQ7iAD7rn5RkkLYYj,None,Yellow,None,None,None,Dad Hat (Blue),None,None,Puffer Jacket with Fur (Red),Black,None
572,4.2,1211,69.23,https://magiceden.io/item-details/8sWNPH3JHE2yJzFzeTNpkwtotVu5NkdaKau5aDuP6SL8,None,Mint,Top Hoops (Double | Rose Gold),Feather Wings (Red),Heart (Black | Gold),None,Small,None,Lumberjack Shirt (Purple),Black,None
578,2.7,2592,74.24,https://magiceden.io/item-details/DCoLK8bS3cKivwamhw24SGrpBzPgZMjrEkUExpan9SE1,None,Cream,Big Hoops (Single | Rose Gold),None,Happy,Five Panel Cap (Yellow),None,None,T-Shirt (Black),Red,Pain
586,6,2521,41.75,https://magiceden.io/item-details/CrJGjcB18ZcZzB5dYNEx5xsAVYNENkeAY3UcxCk8huR6,None,Mint,None,Feather Wings (Gold),Beachrunner (Clear),None,Small,None,Puffer Vest (Purple),Grey,None
588,2.5,4697,61,https://magiceden.io/item-details/GWqM1Ws4K6XJkH6JVQNbffS3JJj2XbdxLCiSJGbsTmYt,None,Black,Top Hoops (Single | Rose Gold),None,Vintage Rimless (Blue),None,Small,None,T-Shirt (Mint),Black,None
589,10,713,14.84,https://solanart.io/nft/F7DkcmoYhjGxqzQRATQJsQrkdtMEZk7SHeR3KwsiqypX,None,Pink,Lock (Silver),Angel Wings (White),Normal,Fur Hat (White),None,None,Puffer Jacket (Luchador Print),White,None
598,3.5,4230,54.38,https://magiceden.io/item-details/AKYgDsZXQk4oHTau9cCt5svGSWZXFtzvuGarnFi98Jub,None,Black,Lock (Gold),None,None,Five Panel Cap (Purple),None,None,Puffer Jacket (White),White,None
626,5,3209,46.77,https://magiceden.io/item-details/A4zqrq27LdB3xB8UhQQcdCcKj8vNF1MX5VmVroAxJStP,None,Mint,None,None,Small Round (Black | Silver),Dad Hat (Cream),None,None,Polo Shirt (White | Cream),Bronze,None
633,4.99,3491,44.83,https://magiceden.io/item-details/5rJBCpm4aRhT4ckbkMS1z713gAZsMaegCQsf7jiZV7Wa,None,Mint,None,None,Small Round (Black | Silver),Five Panel Cap (Blue),None,None,Zip Hoodie Open (Camo Purple),White,None
652,6,3195,36.87,https://magiceden.io/item-details/J5sLpebFSQQyfTeHbFcewJ1x3vpQSBjNxatR82eM1okr,None,Blue,Lock (Gold),None,X,Oversized Beanie (Red),None,None,Hoodie (Pink),White,None
654,6,4014,30.94,https://magiceden.io/item-details/Ee8dxfGTttHaWvvRY2Ya94hnVj5PRk7twpi6ZKbvimKn,None,Black,None,None,Happy,Beanie (Orange),None,None,T-Shirt with Tactical Vest (White | Gold),Purple,None
674,5,320,67.68,https://magiceden.io/item-details/AbAPioaddHbyNwboBeJQSoz3U5rLqCbt7uYsccbBxGXi,Waist Bag (White),Cream,Cross (Gold),None,Heart (White | Gold),None,Big,None,T-Shirt (Purple),Blue,None
680,2.59,1745,81.47,https://magiceden.io/item-details/5Jb7ycmbtZVpMe15XXYaNQpxuCC8aBpdS7PejfHUvMDD,None,Orange,Diamond Hoops (Single | Rose Gold),None,Beachrunner (Grey),None,Swirl,None,Oversized Hoodie (Red),Yellow,None
710,3.2,1209,79.25,https://magiceden.io/item-details/6bTqbddX7sFZTZqZbtteGwBm2dyuGCh7fwfwaFqvfVoe,None,White,Big Hoops (Single | Gold),Dragon Wings (Black),Happy,Visor Cap (Yellow),None,None,T-Shirt (White),Yellow,None
730,3.9,1840,67.68,https://magiceden.io/item-details/2j7B2Q6HiGgZ8cHSxkiNwHD2bePLwjM1ABsgktT6X8Fa,None,Red,None,Dragon Wings (Black),Happy,Fur Hat (Red),None,None,Puffer Jacket (Tape Print),White,None
734,5,1948,55.9,https://magiceden.io/item-details/7HtGb7oHePDtySy3AFGw3FLPqjNeN8s6d4Wv83hvXSC1,None,White,Cross (Silver),None,Square Frame (Black | Silver),Dad Hat (Yellow),None,None,T-Shirt (Orange),White,None
748,4.2,1766,65.22,https://magiceden.io/item-details/P8uHYoMmQjRAkknwEsxpcCGrUsG8pwYH3p2wD1gx3J5,None,Blue,Big Hoops (Single | Silver),None,None,Five Panel Cap (Cream),None,None,Hoodie (Purple Drip Metal Print),Black,Cross
749,5,1872,56.45,https://magiceden.io/item-details/8xu9mD2mbJcA3RWBRU6szZenbqXPoPKg1hS1rYRc83tg,None,Mint,None,Feather Wings (White),Normal,Five Panel Cap (Mint),None,None,Puffer Jacket (Yellow),Yellow,None
792,4,4978,43.97,https://magiceden.io/item-details/6J8zP8JjfmagF47MsWjV4ckRypdjWbiLL3FXNJoknR7o,None,White,None,None,Small Round (Black | Grey),None,Curved,None,Hoodie (White Drip Metal Print),Orange,None
801,5,3630,43.72,https://magiceden.io/item-details/CtE2MvaUd4ckCM4t69AkUMKr9HZNH9zdeiRFcMq1p9cx,None,Black,None,None,X,Visor Cap (Mint),None,None,Zip Hoodie Open (Camo Yellow),White,None
803,5.35,476,63.05,https://magiceden.io/item-details/5JgTMNFjqRtgpCUWeWQXX23nuDk4ccdWgVHdTbqG1sp2,None,Orange,Feather (Silver),Feather Wings (Black),Happy,Visor Cap (Black),None,None,Oversized T-Shirt (Mint),Purple,Pain
815,3.5,2595,66.22,https://magiceden.io/item-details/7ypAEFs43FZ4t9fdMc9gTbXyP31516PXn2hXjg2Lrx3j,None,Black,Safety Pin (Silver),None,Beachrunner (Clear),Dad Hat (Mint),None,None,T-Shirt (Purple),Grey,None
820,4.999,2086,54.91,https://magiceden.io/item-details/3PiQD5rfPfziTUXnfSF4fJSLX2nSvZXzppinjRUfRA91,None,Cream,Cross (Gold),None,Ski Goggles (White),None,Curved,None,T-Shirt (Black | Lion Print),Yellow Gem Stone,None
833,4,3760,52.78,https://magiceden.io/item-details/4K7pYcEWSBWpBi7jKQRP75oz7tLwRpr47vChs4AUG8bY,None,White,Diamond Hoops (Single | Rose Gold),None,Square Allover (Gold),None,Small,None,T-Shirt Pink,Blue,None
851,4.7,2233,56.84,https://magiceden.io/item-details/68QFRtDJc3JATjuVdPLV1oih9JLKH8wvtv42ms14QEij,None,White,Diamond Hoops (Double | Rose Gold),None,Small Round (Black | Rose Gold),Beanie (Mint),None,None,Oversized T-Shirt (Pink),Black,None
868,4.5,3260,51.4,https://magiceden.io/item-details/AM1QpuuSwMSMSGkPLhdLrJbmBUifQoL4Mzj28uWe56pp,None,Cream,Top Hoops (Single | Silver),None,Happy,None,Small,Oversized Hoodie Necklace USB (Silver),Hoodie (Grey),Black,None
876,6,868,53.72,https://magiceden.io/item-details/f8BU42EZ8pxc9dSFu3ZQU51k8wDa1iURqp2NfS641W7,None,Black,Top Hoops (Double | Silver),None,None,Boonie (Pink),None,None,Trenchcoat (White),Purple,Pain
917,2.45,3333,71.37,https://magiceden.io/item-details/12LmQoDRh6yoYgnFMnsTaitn6NxksdMNpZoUZPb7kaEt,None,White,None,None,Normal,Dad Hat (Yellow),None,None,Hoodie (Grey Drip Lightning Print),Red,Pain
938,5.1111,3194,45.77,https://magiceden.io/item-details/FyrGwkfi3gw99do952tC6GS87CPrkVKV2buUGnjixySf,None,Pink,Diamond Hoops (Single | Rose Gold),None,Retro Half Frame (Yellow),None,Big,None,Hoodie (Purple Drip Metal Print),White,None
948,4,2693,60.51,https://magiceden.io/item-details/AP3zs2d89FzgyvF4Zw4gBmN4ykk1AkYvPh3YegTRcbjB,None,Blue,None,None,Happy,Dad Hat (Red),None,None,Leather Jacket (White),Mint,None
974,4,2772,59.93,https://magiceden.io/item-details/4auLcr2v7pqBPx8bpoB8RXAqnzfboPwQjEUe4nAZRuJ2,None,White,Diamond Hoops (Single | Silver),None,Square Frame (Black | Silver),None,Small,None,Hoodie (Yellow Drip Lightning Print),Red,None
1022,3.5,323,82.66,https://magiceden.io/item-details/FqSkAsmuzFKAAMxiyjQekTAaLJFsGKWLP2nHb3inyyms,None,White,None,Angel Wings (Black),Happy,Snapback Backwards (Purple),None,Oversized Hoodie Necklace USB (Gold),Hoodie (Cream),Blue Gem Stone,None
1034,3,4840,54.97,https://magiceden.io/item-details/2jkiEbCQ1WBFCDHx9ost5bFWscKN9FAr1YrKSsGtd3D9,None,White,None,None,Ski Goggles (Gradient Light),None,Small,None,Tactical Vest (Mint),Black,None
1058,3.99,4132,50.19,https://magiceden.io/item-details/7CyLNmMNWojaV8Yq4hvKjf6yMzFd1SMAf9nNUD9eLo7c,None,Black,Feather (Silver),None,Small Round (Black | Grey),None,Small,None,Puffer Jacket (Yellow | Blue Flower Print),Red,None
1071,4,1892,66.3,https://magiceden.io/item-details/GuXxSNMixVYYrerwCBdLUSTUfgBh777SW7iyFEWirPGC,None,Cream,Top Hoops (Double | Silver),None,Small Round (Black | Grey),Beanie (Orange),None,None,Puffer Jacket (Neon Print),Grey,None
1076,5.2,3298,44.13,https://magiceden.io/item-details/CaEDsELE3B4rWiCDQvgM36cXUbiMCbj1xtKzE8rahGge,None,Cream,None,None,Happy,Visor Cap (Silver),None,None,Windbreaker (White),Cream,None
1096,4.15,1526,67.45,https://magiceden.io/item-details/AygppPe76XnnJxTsc8Z1WpwFx2qt7z419s5U93Xf9e3m,None,White,None,None,Normal,Boonie (Black),None,Oversized Hoodie Necklace Chain (Skull),Hoodie (Cream Drip Metal Print),Grey,None
1104,5.5,748,59.59,https://magiceden.io/item-details/7RUnMB8hhH3dC9k4RnJUHRR1hVsHkP3zN8DACoW2HFF8,None,Red,None,None,Happy,Fur Hat (Mint),None,Oversized Hoodie Necklace Chain (Gold),Hoodie (Red),Blue Gem Stone,None
1106,4,4990,43.88,https://magiceden.io/item-details/7N4BxKTzDaUA1i9Q8Mgoi4Cr4HA4Ho6kiPgetGkJsUsQ,None,Orange,None,Angel Wings (Black),Happy,None,Small,None,Hoodie (Red),Black,None
1114,3.5,5376,46.09,https://magiceden.io/item-details/4mA1nYnwitDeRiAj514se8oz6KArQJWjPkgJtXTn4nhx,None,Black,Big Hoops (Single | Gold),None,None,None,Small,None,Oversized T-Shirt (Purple),White,None
1127,5,5182,32.49,https://magiceden.io/item-details/BFPDbfrnWgJF5B9NK7UQbBEL1BnsCacAdXD941m2iApZ,None,Mint,None,None,Heart (Black | Silver),None,Small,None,Puffer Jacket (Purple),Black,None
1149,3,1949,75.89,https://magiceden.io/item-details/J3fhChYtwyFDTfx3JAeSNE41uoq4Q6fKxjZq131gZx1y,None,Cream,Feather (Gold),None,Retro Half Frame (Mint),Oversized Beanie (Purple),None,None,Zip Hoodie Open (Camo Red),White,None
1151,2.99999,4273,59.07,https://magiceden.io/item-details/HSoBaXbJXsNnUPkUMXSgoMYD5ksT1ipCLt7wd51KSjHV,None,Black,Big Hoops (Double | Silver),None,None,Oversized Beanie (Purple),None,None,Hoodie (Red),White,None
1161,6,1428,49.66,https://magiceden.io/item-details/6ZVtYpKBTcVxrTCN7ZbcSbLdsbcaxSV3QXZUmMVW2MQC,None,Cream,Big Hoops (Single | Gold),Dragon Wings (Black),None,Beanie (White),None,None,T-Shirt with Oversized Jersey (Pink),White,None
1176,4.5,5418,35.78,https://magiceden.io/item-details/GRnaicXreZsQBAf4db4BFfqPZus19LYU9yN4h7oc1LwR,None,Black,None,None,X,None,Small,None,Puffer Jacket (Paint Print),Pink,None
1180,3.98,1329,70.58,https://magiceden.io/item-details/8iJRPm5WaGqithPcJaSdY5irK2SPMEWwwTzL712pab7o,None,Black,None,None,None,Visor Cap (Gold),None,Puffer Jacket Necklace Crystal (Blue),Puffer Jacket (Mint),Cream,None
1191,4,4459,47.72,https://magiceden.io/item-details/HkZEd35ZGVXmeJ5gHZKDUKrCaipK97Dbz4VpJfsoh78u,None,Blue,None,None,Small Round (Black | Grey),None,Curved,None,T-Shirt (Grey | Hype Print),Gold,None
1193,4.95,872,64.19,https://magiceden.io/item-details/GtuXeVY4oKAJLUfvXZLX5QHZo59yTXEeq4Wzo1bNbt1D,None,Orange,Big Hoops (Double | Gold),None,Square Frame (White | Silver),Boonie (White),None,None,Lumberjack Shirt (Yellow),Black,None
1197,2.7,5226,55.17,https://magiceden.io/item-details/EXBRpTtYbwan7Yzpug3n9zgzmgo6Hya87rG44mJZurmS,None,Black,None,None,None,None,Small,None,T-Shirt (White | Rose Print),Bronze,Pain
1204,4.99,508,66.42,https://magiceden.io/item-details/3ToqJCZs1AeTzL7xfnCkePmP1iKRSGNnzF6v8sVicmYa,None,Black,None,Angel Wings (Black),Normal,Five Panel Cap (Purple),None,Oversized Hoodie Necklace Chain (Silver),Hoodie (Pink Drip Lightning Print),Purple Gem Stone,None
1211,4.85,2791,51.3,https://magiceden.io/item-details/CHXA1G5enyzkJwgNrn4PJEA1JbFN8Gk9gkeY2inv7RVM,None,White,Diamond Hoops (Single | Rose Gold),None,Viper Shades (Blue),None,Big,None,T-Shirt (Grey | Rose Print),Grey,None
1214,4,2356,62.95,https://magiceden.io/item-details/EBgZQFxRnf55GSuZHrEyy8QBLM5uPb22kAYJ8UM3KFnx,None,Blue,None,Dragon Wings (White),Ski Goggles (Black | Silver),None,Small,None,Windbreaker (Orange),White,None
1231,6,2582,41.31,https://magiceden.io/item-details/4Kwkq2gcEYrvoYvUmFEEp99DZ8fZd6jAn34xC4WrsPaV,None,White,Lock (Gold),Feather Wings (White),Normal,None,Small,None,Puffer Jacket with Fur (Black),Purple,None
1243,4.35,1765,63.72,https://magiceden.io/item-details/9msx3vWUrBDgrth2F7ZYVPKgsQgQWG8dDN4rQm4z8Vf3,None,White,Big Hoops (Single | Silver),None,Square Allover (Silver),Dad Hat (Purple),None,None,Oversized Hoodie (Cream),Grey,None
1254,5,2096,54.83,https://magiceden.io/item-details/62C2zhcZB6aik77edf8rka9NETQtYdUmdXmXRMAdHKEH,None,White,None,None,Retro Half Frame (Mint),Dad Hat (Purple),None,None,Puffer Jacket with Fur (Red),Silver,Pain
1260,6,4156,29.92,https://magiceden.io/item-details/Am6yJDU2ZPuMi3apu4Q1HnqJm6FYpt89uZkSVN9prZbq,None,Cream,Top Hoops (Single | Silver),None,Square Frame (White | Gold),None,Small,None,T-Shirt (Yellow),White,None
1266,6,2885,39.12,https://magiceden.io/item-details/DP6J4oQ3ojXf264vMYh3LBSJKza3eSXH5Y5QKxcKqNoQ,None,White,Top Hoops (Single | Silver),None,None,Visor Cap (White),None,None,Hoodie (Blue Drip Metal Print),Purple,None
1269,6,3616,33.83,https://magiceden.io/item-details/6xUcoNx4Y5VAAqZ8Ky8thWjSJ8XEninzdAZybhz7FnBL,None,Cream,None,None,Small Round (Black | Gold),Boonie (Pink),None,None,T-Shirt with Oversized Jersey (Orange),Black,None
1279,2.9,683,86.06,https://magiceden.io/item-details/Ay8r6tPZRFbqn83A5AJkpVwqpacDyMQPPSzReLDRLPiY,None,White,Big Hoops (Single | Silver),Dragon Wings (Black),Small Round (Black | Silver),Beanie (Red),None,None,Oversized T-Shirt (White),Rose Gold,None
1295,2.5,5178,57.52,https://magiceden.io/item-details/HVirK6EZTTyho5TNxCCcaWMWTQXUb1iRZwbsDvwhi7v4,None,Pink,None,None,None,None,Small,None,Lumberjack Shirt (Red),Grey,None
1300,2.5,1335,85.34,https://magiceden.io/item-details/93edt1cdRvHn8wnPoD2Aj2nkYN5faeHQtnMFVhy1vUNP,None,Purple,Top Hoops (Double | Gold),None,X,None,Big,None,Puffer Jacket (Red),Cream,Cross
1313,4.2,4657,44.29,https://magiceden.io/item-details/CjnmQsiumSDQ2xdst3m9f8g1eDDwZrheEQWTMEXKvo5M,None,Black,None,None,Normal,Five Panel Cap (Pink),None,None,Leather Jacket (Purple),White,None
1314,2.5,3850,67.13,https://magiceden.io/item-details/T5rumz71bHLM9ypqC9opASKP5dc9MAiFS4RSiAdvNvQ,None,Black,None,None,Vintage Rimless (Clear),None,Small,Oversized Hoodie Necklace Chain (Gold),Hoodie (Blue Drip Metal Print),Black,None
1315,3.1,1823,75.8,https://magiceden.io/item-details/CCXtLUSUQAyjG38SoHFo49JKReM1awx1hMfLfwYBgfmi,None,White,Big Hoops (Double | Rose Gold),Angel Wings (Black),Vintage Rimless (Purple),None,Big,None,Oversized Hoodie (Orange),White,None
