id,price,moonRank,💎 score (%),storeURL,Accessory,Background,Ears,Extra,Eyes,Headwear,Horns,Jewelry,Outfit,Skin,Tattoos
4867,4,4645,46.38,https://magiceden.io/item-details/9A1mqFmaTHoGb3Gt9oQ696CnuPNyDykS5F5p3wxCoJgo,None,Cream,None,None,None,Fedora (Black),None,None,Denim Jacket (Pink),White,None
4899,2,5431,60.69,https://magiceden.io/item-details/HUSomah7mSniFZ7LKZZnG7kwTd5cN4KWoJt2h9aev9ao,None,White,None,None,None,None,Small,None,T-Shirt (Yellow),Bronze,None
4940,5.55,2384,47.24,https://magiceden.io/item-details/EjyxazU5ek6K92kTxBwA8zd4LV4P1toC5u4Rg7YPFvLx,None,Black,Big Hoops (Single | Rose Gold),None,None,Oversized Beanie (Red),None,None,Puffer Jacket (Purple),Bronze,Pain
4944,3,3340,65.82,https://magiceden.io/item-details/8WbsLgssxafSaNdyicL7N7dMSWHo9JE9QxZqBrdTXVnM,None,Orange,Top Hoops (Single | Rose Gold),None,Happy,Oversized Beanie (Cream),None,None,Oversized Hoodie (Pink),Black,None
4951,5,2994,48.33,https://magiceden.io/item-details/67ngYbGEMvi6VJCdnFAUjCyt1ZuHYUNQB7spg3d5gYMe,None,Black,None,None,Aviator (White),Snapback Backwards (Cream),None,None,Oversized Hoodie (Pink),Yellow,None
4963,6.5,1624,43.24,https://solanart.io/nft/5xnTbs6biLxjuqgnMHnMh71VCW3do43VWhJvUwFfhHAQ,None,Blue,None,None,Retro Half Frame (Black),Oversized Beanie (Pink),None,None,Snowboard Puffer (Red),Concrete,None
4965,4.4,939,69.2,https://magiceden.io/item-details/8VdzpXwbkkCbt98VPdfMWoSjGtD3wuEVMvLYLncrWRiL,None,Cream,None,Feather Wings (White),Retro Half Frame (Black),Gatsby Hat (Yellow),None,None,T-Shirt Pink,Gold,None
4968,3,1855,76.57,https://magiceden.io/item-details/Hn92N7buoaJvM8CKCGVr9dLMTCvyrXLUNnfkVspBmVQk,None,Yellow,Top Hoops (Double | Rose Gold),None,Retro Half Frame (Black),Oversized Beanie (Purple),None,None,T-Shirt (Grey | Palm Tree Print),White,None
4972,4,5321,41.48,https://magiceden.io/item-details/2mfWaW7WfEVa5dbdqewJd15rqXLMndRzg6QZTVGyiDi5,None,White,None,None,Happy,Oversized Beanie (Blue),None,None,T-Shirt (Blue | Rose Print),Black,None
4981,3.777,1685,70.03,https://magiceden.io/item-details/25uf9jFoB51qtJffctgoaNJiSuu4vh7wkvcPXHBaTDUf,None,White,None,Feather Wings (Black),Normal,None,Small,T-Shirt Necklace Chain (Silver),T-Shirt (Orange),Grey,Pain
4982,4,2477,62.07,https://magiceden.io/item-details/HehwMro3LePUfkESQvCRrZDDqmfL42jk3AX7r6geTsUo,None,Cream,Diamond Hoops (Single | Rose Gold),None,Normal,Dad Hat (Black),None,None,T-Shirt with Tactical Vest (White),Red,None
4992,3,570,85.87,https://magiceden.io/item-details/GaohoEaBtyXcMg9UYqywkngg3tTWEbYbBsVHE1kcsGU,None,Cream,Diamond Hoops (Single | Rose Gold),None,Swirl,None,Swirl,Puffer Jacket Necklace Crystal (Blue),Puffer Jacket (Orange),Black,Pain
5003,5,277,67.99,https://magiceden.io/item-details/C8CqR3rzcY6N2MxKiCFHWasDC5VJfvEwoUcCLdGmXqkg,None,Orange,Feather (Gold),Feather Wings (White),Happy,Snapback Backwards (Blue),None,None,Hoodie (Black Drip Lightning Print),Orange,Cross
5003,5,277,67.99,https://solanart.io/nft/C8CqR3rzcY6N2MxKiCFHWasDC5VJfvEwoUcCLdGmXqkg,None,Orange,Feather (Gold),Feather Wings (White),Happy,Snapback Backwards (Blue),None,None,Hoodie (Black Drip Lightning Print),Orange,Cross
5005,5,1820,56.83,https://magiceden.io/item-details/EQQ1QYVagsVK33PQfDtLwMvydwqgmSfqovhk5mP6YiDa,Backpack (Yellow),Pink,None,None,Happy,None,Big,None,Oversized T-Shirt (Black),Grey,None
5006,5.5,1662,52.97,https://magiceden.io/item-details/447214f4dVURCKbQM3Wg12diuZMLa2xuBtGarEygstsB,None,Orange,Big Hoops (Double | Rose Gold),None,None,Snapback Backwards (Pink),None,None,T-Shirt with Tactical Vest (White),Purple,None
5011,6,2114,44.7,https://magiceden.io/item-details/2qcaMcvtEnh8nDwGC19RmTbovAYVo7QwTM2tc99S8p7Y,None,Black,None,Dragon Wings (Silver),Square Frame (Black | Gold),None,Swirl,None,Oversized T-Shirt (Red),White,None
5014,3.9,2215,64.97,https://magiceden.io/item-details/AzVAWDoorSdQTZoYrfAN4R7UYQxRkzSf5TLU3p2VWN1u,None,Cream,None,Angel Wings (Gold),None,Five Panel Cap (Mint),None,None,Puffer Jacket (Neon Print),Black,None
5015,5,2336,53.09,https://magiceden.io/item-details/2bR9MWrEbhVNt6GssipKc5tg5rTEYthLDX5H4SfAHVHM,None,Orange,Top Hoops (Single | Rose Gold),None,Retro Round (Gold),None,Small,None,T-Shirt with Oversized Jersey (Yellow),Pink,None
5017,5,1267,60.83,https://magiceden.io/item-details/az5e1WHccLfeyLtrypRJWJ2QbgF1kCX8raSLmhjsZLP,None,Blue,Lock (Gold),None,Beachrunner (Grey),Oversized Beanie (Mint),None,None,Hoodie (Yellow Drip Lightning Print),Blue Rubber,None
5043,2.8,2944,70.69,https://magiceden.io/item-details/BzyooaRwTdpUdSJVZbBMUZqv9RJRqTVQrPv9rsFqTDoC,None,Cream,Big Hoops (Double | Gold),Angel Wings (Black),Beachrunner (Grey),None,Small,None,T-Shirt (Grey | Palm Tree Print),Black,None
5044,6,2023,45.36,https://magiceden.io/item-details/61hRbYpZEVbVwkxDaoG1SQXnXo8geH2tES46ozXyzWH7,None,Mint,Diamond Hoops (Double | Gold),None,Beachrunner (Clear),Oversized Beanie (Pink),None,None,Oversized Hoodie (Cream),Black,None
5081,3.5,1114,76.94,https://magiceden.io/item-details/62WTkhdKse5bwK6rNjMa8XfRAPEYefAnULuJ153VFwRr,None,Mint,Big Hoops (Double | Silver),None,Square Allover (Gold),Dad Hat (Red),None,None,T-Shirt with Pullover (Blue),Black,None
5082,4,2486,62.01,https://magiceden.io/item-details/2vd5Zii9TYZj9SdvBN1tPsSiM3j5ak93S9uRy6gthNxy,None,Orange,None,Dragon Wings (Gold),Small Round (Black | Silver),None,Small,None,T-Shirt with Oversized Jersey (Yellow),Orange,None
5083,6,4794,25.3,https://magiceden.io/item-details/F2td5haCHC7ffCKoVVM8S9ghdNjBWHzyqza7ePooxXjT,None,White,None,None,Happy,Gatsby Hat (Red),None,None,Puffer Jacket (Yellow | Blue Flower Print),Black,None
