id,price,moonRank,💎 score (%),storeURL,Back,Background,Body,Body Color,Chest,Head,Metal,Topper,Visor
1145,1.25,1096,79.29,https://magiceden.io/item-details/HvM1LnsPXYHhENVg39zwxbQuZWhCk7oerVV7fmi4kmYD,Cryo Charger,Sage,T3,Red,Vent Pack,Obliterator,Steel,Extensions,Black
1148,1.4,1407,74.04,https://magiceden.io/item-details/6fUF1iAuWEB59i6nSzakykh1GZEwncE7cxjg9yra9vmX,Cryo Array,White,Issue,Magenta,Jolt Pack,Entry,Steel,Extensions,Black
1163,1.33,1014,79.48,https://magiceden.io/item-details/Baneq4vR6zorSWbd4puzw52bs6im9iL2QYmNCa8gug8U,None,Cryo,Workforce,Black,Grid,Miner,Copper,Duel Antennas,Black
1179,0.742,2718,64.82,https://magiceden.io/item-details/MD1ZDvfaouagKyFU4uPfAmiPDi3CzcgyjoqKYwVxZHu,Drip,Blue,Quadrid,Yellow,Vent Pack,Miner,Steel,None,Black
1226,0.62,2306,71.01,https://magiceden.io/item-details/GgfaZbBntzxkDQA1LoW2W9HXgiVEbmgfcLLB5ysZphAq,Staff,Orange,Breach,Teal,Pump,Flattop,Steel,Dish,Black
1229,1.4,2950,55.45,https://magiceden.io/item-details/CrhEGBn8qYUDBWq9PB8tg8U42Jp2e3n16vkbAmmjNcH8,Staff,Blue,Issue,Blue,Facet,Boxy,Copper,Intake,Black
1269,0.5,1334,83.92,https://magiceden.io/item-details/58fLnSijEUn7BEHQZUtqgVnZmyZzJdL355HnJ5PeLzR7,Sector,Red,Workforce,Yellow,CoreBoost,Boxy,Steel,Steel Insignia,Black
1272,0.963,2948,59.84,https://magiceden.io/item-details/47srUSQ3MWWnuKgeAXBa6H9HAUxXygn7GWvqvoMtoitE,Staff,Sage,Heat Sink,Red,Copper Insignia,Flattop,Steel,Dish,Black
1276,0.96,2840,61.17,https://magiceden.io/item-details/A6A6Vg7vPu3twMTPJgzgNts5CMDnGQFiWqnX2yuVcABi,Staff,White,T3,Teal,Filter,Boxy,Steel,Fins,Black
1314,1.487,1677,69.92,https://magiceden.io/item-details/9oTSK9SfDCyamh4MYUEtMW9gdK7NXsoLFWujDcnfPH38,Blasters,White,Vector,Red,None,Hydro,Copper,Extensions,Black
1330,0.6,2721,66.21,https://magiceden.io/item-details/itSBQqeyQzMPvBp5Vx8YBsopsohLcHJnC8adESPA5mr,Staff,Black,Workforce,Teal,Jolt Pack,Slim,Copper,None,Black
1361,1,2804,61.21,https://magiceden.io/item-details/F8wTedo3pFhgqAVDSiA7HrtSk4gWB2dzxQzM1PqmFfqT,Zippy,Black,Workforce,White,CoreBoost,Entry,Steel,None,Black
1389,1,3233,56.04,https://magiceden.io/item-details/F1nk2e4qhbwBkyKVZFJKEzK7CQqRqV8XNA7xR9PK7rWw,Sector,Blue,Heat Sink,Yellow,Pump,Miner,Steel,Duel Antennas,Black
1412,1,2930,59.69,https://magiceden.io/item-details/8kCxL7TsQpjDTDXVu385KEJHZJqMMmP9WfTqWsFkCVs2,Staff,Sage,Workforce,Copper,Filter,Entry,Steel,Extensions,Black
1423,0.75,1507,79.34,https://magiceden.io/item-details/4tLgp8TVfWeh3s3iK4JDt3kM7JhpV7xfyWUYb1RBv8hQ,Cryo Charger,White,Vector,Black,Vent Pack,Slim,Copper,Dish,Black
1437,1,2519,64.64,https://magiceden.io/item-details/9gvPfDrtdiENdWiPXyvqosrwuicgTe5rmpD44kv9k32U,Drip,Blue,Workforce,Black,Grid,Aero,Copper,Extensions,Black
1444,0.79,2036,72.56,https://magiceden.io/item-details/gqnAmrB3gq8qvr7gdfGRwRW5XBaTRjbn1L2iTggHhpD,Volt Pack,Black,CryoTank,Teal,Vent Pack,Hydro,Steel,Dish,Black
1499,1.48,2375,61.58,https://magiceden.io/item-details/CKrSu8TmNLRQCxAQLPUKXT2HDeemBG474uH6uppqZA47,Sector,Teal,Issue,Teal,Filter,Miner,Steel,Duel Antennas,Black
1559,0.729,2705,65.11,https://magiceden.io/item-details/7PzJtEJqHExG6fZECvdhxbZWtaM8cW4UbpcJhfURHpB1,Staff,Black,Issue,White,Gold Insignia,Miner,Steel,Fins,Black
1563,1.15,1837,71.36,https://magiceden.io/item-details/5UnmicrZSHiMzGPZiaTAGUSdqZMZitSVYAHKaao6ZY1R,Squidy,Blue,Issue,Green,Vent Pack,Hydro,Copper,Extensions,Black
1658,0.98,2735,62.24,https://magiceden.io/item-details/5yXkK4mFoDyRcttSNox4N2RTohZsy9AGBdHgUc3ysnQr,Volt Pack,Blue,Issue,Teal,Filter,Boxy,Steel,Cryo Bulbs,Black
1678,0.5,2945,64.51,https://magiceden.io/item-details/4Sgh8ebyTajZDjrMzoLSXzNaCjri2PY3eJEns66T2thJ,Staff,Plum,Scout,Red,Copper Insignia,Atomic,Steel,Fins,Black
1696,1,3319,55,https://magiceden.io/item-details/BSz3bzTXLDjn6thu8FPKNZeaF5waVeJmLMrx3PRHZVC1,None,Black,Issue,Blue,Copper Insignia,Slim,Steel,Extensions,Black
1698,0.5,3205,61.37,https://magiceden.io/item-details/42oGB83jpi7UHG6GoxQMxgHM3oZwfue5dh8H4Agv8SAU,None,White,Vector,Yellow,Facet,Atomic,Steel,Fins,Black
1710,0.6,3176,60.72,https://magiceden.io/item-details/45mngBz1BkeY1wnkyX2c9K2LHFGaN9bDEnktbxaRhkuP,Zippy,Blue,Issue,Black,Copper Insignia,Miner,Steel,Extensions,Black
