id,price,moonRank,💎 score (%),storeURL
1387,0.5,2547,74.34,https://magiceden.io/item-details/2jAnkVCAPQxdXM58Sn7KNVyL8WiL9EfR5JuuJNh6HMec
1430,0.25,3273,70.68,https://magiceden.io/item-details/4VFBJjNcsoAnig2XLuhPDzJaPL4qVbK3AxHRHYVXW96V
1483,0.25,1356,86.94,https://magiceden.io/item-details/GReEEozgVC7bAZpqno9KtY1fetXgA4sTuyxE3jooUD2H
1490,0.4,582,92.01,https://magiceden.io/item-details/Bg2psmyY1dkfS69tNgDzL28vmf2WonLZQky5BtDA3g2z
1512,0.099,751,93.59,https://magiceden.io/item-details/9z7VGJEiPpVo5fi9SrMfvnbC9BtXz2WMTPWNNaUdVHsG
1544,0.35,2213,78.67,https://magiceden.io/item-details/DwMswXVhi95fAoYP7mfeVKJ1pj23ezpE1vZW37YRX8iY
1564,0.44,354,93.55,https://magiceden.io/item-details/AdRuzwTextUwZM2Vq2HHzbYK5xVMnWvP3W4P8UUL6M7G
1618,0.5,551,91.27,https://magiceden.io/item-details/5mBorbPS5XH7SczUKpW7DZvD3eMzh63kuYT7iBSVrsxQ
1630,0.095,3903,66.88,https://magiceden.io/item-details/3uz2pEBBnqkjJTtA1t2Mgynq9pBtfy7MiHg9RRbTzCg4
1673,0.15,3742,67.7,https://magiceden.io/item-details/DPgdqrKBDVxaQmycpBVQa8rdCSMAL4syZFP1WCdQiAv7
1698,0.25,4464,60.57,https://magiceden.io/item-details/ARZBy1pYdpdyrxruRz8cZC7KyRR226G5Dt2R5f9TpxqT
1735,0.17,NaN,0,https://magiceden.io/item-details/BGwZwUyXbgqrXSM2SBtEHZDbJUvcWCJcbEryVGVVAFva
1746,0.1,4508,61.7,https://magiceden.io/item-details/CrthtDvRc7QnyaBMgWuWyjKpPs9yHyE9BVFTjjGLEVRe
1764,0.2,3839,66.37,https://magiceden.io/item-details/FXYAPTKbA8TZLnod2B2aPe7ghDr7DTGKbM54Ea2GNiFT
1766,0.45,2964,71.3,https://magiceden.io/item-details/AP5PECT6M4rjXnX1qpJ54o1Ay53gxZPZ2UGxfEKBnvLx
1777,0.15,2272,80.17,https://magiceden.io/item-details/E2oKpzgjUcu553ts6Rgekr63mZoHTo1SHGFcKrcArfYF
1838,0.3,4519,59.6,https://magiceden.io/item-details/Ctam5aiNKgguePnGbZdLwSBaGBzCqPv9oxdKbozuAW5J
1855,0.128,34,99.38,https://magiceden.io/item-details/8vZevZbavAkusWX1v6ybSMLDKiyCwW264aJ3yVE4AEFC
1909,0.5,1563,82.69,https://magiceden.io/item-details/AHFJbQY4hcniJE7kHd5wEuxffeikRRRYANntuRVRNJyq
1979,0.099,1824,84.48,https://magiceden.io/item-details/CqKnPi1WifgXyACMyVba2o5zzJbze36U3xNN8Nqe61ip
1988,0.34,3576,67.21,https://magiceden.io/item-details/8xkQ98uiVb84gAzsHmrAEDjkZeo7tuj8CTC1yjfhuXd4
2001,0.25,3173,71.53,https://magiceden.io/item-details/APeU1UV6eaptxE47r5FdWYYdWBG63whJDKaFZHV9BXnL
2032,0.18,2167,80.76,https://magiceden.io/item-details/9UDHD16WPJepfBdiAeYSDNWvxfk7XDrrPstSWzKqgu3c
2096,0.12,2796,76.02,https://magiceden.io/item-details/GptyNpR1Vo2ftAXpoLbexeFXeNQpfQB4dJXuPnDCZAZj
2105,0.35,359,94.4,https://magiceden.io/item-details/DM5ifFt15SSUTMbyaDe1P29XYu8FLm5CmJBVEJoWLUis
2128,0.3,2320,78.26,https://magiceden.io/item-details/C2ryBu1iAKVhvYhbkjhaNvXzZVvxVBGvu6Bd3BhSAmBc
2170,0.44,177,95.05,https://magiceden.io/item-details/7iVVqzdGVyS8QzwpY6BHAXnzoehTnZtuL5nu3bxp6oSK
2200,0.48,1915,79.9,https://magiceden.io/item-details/F1tUEGXiM343qWJkWZKyjX1ErXGD69foZDPFkh65hyiN
2287,0.099,2948,74.95,https://magiceden.io/item-details/4najWbq6zWKf6UYpu3hFeAUiGk9JNaYKwcAAqP6DU2wM
2307,0.5,1733,81.24,https://magiceden.io/item-details/D44ywRqAtTJdrA9W4EuYvK1kBbcUQcZeSbFFaYuSFgGU
2328,0.14,2847,75.39,https://magiceden.io/item-details/BybjagEUWBaocuR3Xf253yqS7mnPvBqojtGpvFMHLByF
2333,0.49,1514,83.2,https://magiceden.io/item-details/9aJo4tugdC4JkJCvwmJqg9TcSNoVba6nmFFU3ynLiFAi
2365,0.15,4076,64.86,https://magiceden.io/item-details/BGxqHuexgNMZdxwhrJGxydnyU18XMUYa39VEBZYLUrtr
2377,0.5,3176,69,https://magiceden.io/item-details/DxfdauRcWXCQpH6RyCMe8kxtebQd2xgBVucp9DHTprtp
2433,0.5,1243,85.4,https://magiceden.io/item-details/GfbG1LBDit5gSEzoCz5aKVWEJGskVzzvvFByiuFFTfFw
2455,0.15,3071,73.39,https://magiceden.io/item-details/AYrq7SZQdSbHYNYDuBHvZ7TJSJ1JCNHoSJBKTtLd3TwR
2563,0.44,600,91.46,https://magiceden.io/item-details/8LMhEWGUjLVTqah5MkyviwZa2mFRSEaGixkVLoCGXikm
2565,0.5,1674,81.75,https://magiceden.io/item-details/5P5cEZnd1jpnTbbaCxKYmEGLtwML952uar2HYR3pJUZt
2579,0.12,4605,60.67,https://magiceden.io/item-details/EWaVELDE7Zv2AB1DATjyhgBWzUFh6o5TXEgEvXv48fuP
2635,0.4,735,90.71,https://magiceden.io/item-details/CG4RDTQB8ijqF8Q2pf3yQynbgRfByFxnMXwe79rzjAUX
2661,0.5,1979,79.16,https://magiceden.io/item-details/5WHorVBDTS1d1zqgXcbctndAFQxewL3NNhVfA6txfLf2
2662,0.15,1821,84,https://magiceden.io/item-details/7UYLT3PKsf9AZwFFiNoGeZira1joLvBaK6W5rkSjyV8H
2670,0.18,2639,76.76,https://magiceden.io/item-details/5TSYpCv1mw82mHjEnbkBX8vNDEJFqtARBErrvEwL6aL
2704,0.4,2557,75.25,https://magiceden.io/item-details/8oNp54NTLdW4syJFZiXAEido8t2Xe8NjJJ7ZySUgDpZ4
2754,0.4,456,93.08,https://magiceden.io/item-details/3GcHAX2aNYoz9S9VWHRuS75qSYG3GyCan16rimo3HFUN
2786,0.24,584,93.59,https://magiceden.io/item-details/HK5vHHEw83qabAJ9Ci9oA7fFM2rHJZZcBqcyPqucD8tC
2819,0.24,3753,66.7,https://magiceden.io/item-details/6h34dJ9STvwHib8eGiSNMj35corC4ZgndUaJ6FVq2AAp
2882,0.24,3029,72.85,https://magiceden.io/item-details/42DUFaJpH5Wv8TTZFtN3mGjZydG4WiE8LLBEaYoS2EJ4
2892,0.3,273,95.63,https://magiceden.io/item-details/E44risASzgyKpBa5QfNu2c7wtsrR7pgXPo2BkS44quYr
2907,0.24,4589,59.61,https://magiceden.io/item-details/4nN3YG5tAuj6cuC5XAhL9dKd3Bm1mvSZKrLX9xFYLsGy
2928,0.24,2558,76.84,https://magiceden.io/item-details/2J7Lt3WMMD8Sb7HT4y7V96DPZq58mzbVzgMwfZEor7F1
2939,0.4,3333,68.67,https://magiceden.io/item-details/9P5wdiuDGUF1F4WNsd6GjUWDi7aD4cybQoJQD9nR36Sk
2964,0.24,1561,85.3,https://magiceden.io/item-details/EuQwDMDBtuGqmGdv4B6uHtJecEGEcSHQoqmSBzR3tfta
2970,0.24,2345,78.65,https://magiceden.io/item-details/3ZfsGnn85RvdcRaKG8msW77Y18xasAdUV1CGbaSH5xFy
2971,0.24,1465,86.12,https://magiceden.io/item-details/FCaDEyD2UvWGSFDF51V8G5BoMPSTFcZTpDe6DiPQrz9R
2984,0.35,114,96.48,https://magiceden.io/item-details/GD27wB5o3dc6GjPqTcLAwhbSc93V8Escg3WF7uRKHaA1
2993,0.24,3990,64.69,https://magiceden.io/item-details/H1uxDYt7PumXLGdX8D38buuN1s3L1DuTgw7CJQDz33dJ
3005,0.24,4031,64.35,https://magiceden.io/item-details/CtxT22RZLjnUNESyAV3pKXgZvthYchSCsUdfhcoLyE3f
3010,0.12,1358,88.23,https://magiceden.io/item-details/DhWavUS9g7XW4UJLLLfLSBiTcyGJUNt5ZHzP28b3Bws2
3014,0.24,1671,84.37,https://magiceden.io/item-details/4FWh7nnVgmj2dR2erVQsK2nmWQVfQj6w25pBjjnjPDaW
3024,0.5,955,87.85,https://magiceden.io/item-details/22r3uyMQvH6soYcVgvTSavhZGPaQCBjV1CcKpZ4JByJa
3036,0.145,31,99.24,https://magiceden.io/item-details/63pV2AqHukZSkDJWVs69Er7S8Ppqjaqnq3ck9UxM3L48
3040,0.24,2620,76.32,https://magiceden.io/item-details/Hic8dQ6aejK1hnDS8rRQZAZAeHA4AoTfo6EqCLZDX4U1
3043,0.15,4141,64.31,https://magiceden.io/item-details/JAQ7Q2n4gUgqrebV7xSYzR7c7KK5zr8gbi4hMpNddorW
3096,0.4,1587,83.48,https://magiceden.io/item-details/1PkB8BsfnWc2a1k51aoYYfnAwGc9CGtY8qEi595iAqS
3123,0.5,2298,76.45,https://magiceden.io/item-details/6kjCrkyHWdnh1kH1TcctTervMyY2qxk3it89F5PEuzvD
3125,0.2,3881,66.02,https://magiceden.io/item-details/ALBv1aFmJ8EupaWTUq8XrWXeXVUwrFBwiQuQBUcj1JPF
