id,price,moonRank,💎 score (%),storeURL,BACKGROUND,BODY,EXALTED_STAT,FUR,GLASSES,HEAD,IDEA_CREDIT,MOUTH,❤️
2775,11,13265,9.43,https://solanart.io/nft/H6xjuHEz5FWZrkrTy3hdbA2K4mUWBmniezwNHxiZnWnV,Green,Knitted Vest,,Red - Grin,No Traits,Tamberine,,No Traits,2
2816,7.5,10358,52.64,https://solanart.io/nft/6K9jNXZY3hJuPcEF5B9ywWAWn7gSMbu1B1zSttomuAAq,Purple,Rain Jacket,,Purple - Grin,No Traits,Headband,,No Traits,4
2818,106.900002,2181,0,https://solanart.io/nft/J94RTwkKPPbW4JGA3LasG1jYkuMUHVXvmbfRWUN3vPf6,Blue,Overalls,,Blue - Smirk,Reading Glasses,The Gambler,,Match Stick - Smirk,6
2839,50,827,0,https://solanart.io/nft/HZfADkXNQdWKB8rCFcw1zjz58UWkUkjjXAd6yZVWazAc,Green,Blouse,,Green - Smirk,Reading Glasses,Headband,,Burnt Spoon - Smirk,3
2844,25,8022,0,https://solanart.io/nft/8VGjvPpNYTcnrsRtXjRCtXjeA2cM6T8qZFAAcZpBRdeF,Black,Chain,,Antique - Smirk,No Traits,Boot,,No Traits,1
2860,45,588,0,https://solanart.io/nft/J46fBpgD4jgJ5B2mWxhFceTaJenafdprYuaL1ejXTmwi,Black,Hockey Pads,,Fox - Grin,Trash Vipers,Beret,,Dynamite - Grin,1
2875,8.48,13496,33.98,https://magiceden.io/item-details/6fn9nyNjcWpA9zHsvzaxNecwgCZ7fhzqnv77eeS78vFE,Purple,No Traits,,Purple - Smirk,No Traits,Trash Lid,,Match Stick - Smirk,3
2940,50,2866,0,https://solanart.io/nft/315UKr22W7pKpzTRsnBYC9xGWrwWRhRtdnUwMhdx3umy,Red,Toga,,Red - Smirk,Designer Glasses,The Gambler,,No Traits,1
2942,800,10749,0,https://solanart.io/nft/A95JsQMEUDJLzYNqATPSmBueVD5GvDFxdbQxzeKDNBKS,Purple,No Traits,,Purple - Grin,No Traits,Colander,,Bone - Grin,1
2959,15,6896,0,https://solanart.io/nft/74CdvqRd5oyh7J1uFAYbKHw4Y3ihaLE2ap3j8ehUhZA9,Yellow,No Traits,,Brown - Smirk,Star Glasses,Takeout,,No Traits,1
2993,15,12191,0,https://solanart.io/nft/3oeWcpXxruVxdHHx2TXtJDhXitR7SBADxoHXvhd2yH8f,Blue,No Traits,,Blue - Smirk,No Traits,Beret,,Match Stick - Smirk,6
3002,6.5,7288,71.31,https://solanart.io/nft/CDBktAL53q1qLrULYEAF8CKajDN9MtAeZ5HHwJtTDijG,Black,Football Jersey - Blue/White,,Scarred Black - Smirk,No Traits,Cardboard Box,,Rat Tail - Smirk,5
3008,105.690002,4488,0,https://solanart.io/nft/3DS3FVZ4ZSS8cQNKpdCEReC5C52WTa6NW2gQ1qr6EoZ9,Green,Toga,,Zombie - Smirk,No Traits,No Traits,,No Traits,5
3012,99.690002,13648,0,https://solanart.io/nft/6NW89c6CTCnyWPM7z1fAvWzChWNrp9etiVhqWEon8y72,Black,No Traits,,Fox - Smirk,No Traits,No Traits,,Rat Tail - Smirk,6
3060,9999,3087,0,https://solanart.io/nft/JE4YdKy7L9SYdXnZcwf6s49miR1iHNZz9BEeorpdH8qf,Black,Open Shirt,,Scarred Black - Grin,Trash Vipers,No Traits,,Dynamite - Grin,6
3073,40,13598,0,https://solanart.io/nft/4vUvxEHkEMHrC79oZcKS88TZvm75DQuDAv7NkCgbZGF2,Green,No Traits,,Green - Grin,No Traits,No Traits,,Acid - Grin,5
3091,9,10874,36.18,https://magiceden.io/item-details/CQ1NLbMEWGEumbSzz4iFMHgzYY3yYfPU8oEcs9HHJpyv,Green,Turtle Neck,,Green - Smirk,No Traits,Plunger,,Burnt Spoon - Smirk,1
3136,15,4394,0,https://solanart.io/nft/CGcZcuLdzsTjc9VSsjZECLgius1MEGgDehuPvFTzFVTk,Red,Turtle Neck,,Red - Grin,No Traits,Tomato Soup,,Dynamite - Grin,3
3161,9.5,4636,48.8,https://magiceden.io/item-details/FSiVNooMXLbMENyzbiJ9dGKumWYSJe6ApbKDtAzca1tj,Purple,Down Jacket,,Purple - Smirk,No Traits,Tamberine,,Cigarette - Smirk,1
3234,189,855,0,https://solanart.io/nft/2eFMRu6GkNZfqrDfGu2MWNB3kUuQUmTBRb7yyW8qKyeg,Yellow,Spacesuit,,Scarred Brown - Grin,No Traits,Colander,,Smashed Bottle - Grin,1
3237,16,10469,0,https://solanart.io/nft/4Bh86asRyMNfjMrF6q3LPwo6f9cSGGnRc43pPwfUMTFC,Black,Chav Jacket,,Scarred Purple - Smirk,No Traits,Trash Lid,,No Traits,2
3260,25,805,0,https://solanart.io/nft/CnA4ghczjFSGqjGVfLBdzKChrrBifbfFg73kCkFGQEhc,Black,Overalls,,Scarred Black - Grin,Swimming Goggles,Beret,,Acid - Grin,1
3275,38,8485,0,https://solanart.io/nft/BNHFjUXMgMUmujDczWzzkKBBYdus6ex2TnEMzahPjSMB,Yellow,T-Shirt,,Scarred Brown - Grin,No Traits,Trucker Cap,,Lollipop - Grin,5
3313,20,5102,0,https://solanart.io/nft/2YLNE11DFtD2XQthw4HnZSja7CA6NuySW1kaVbjsVtiR,Black,Chav Jacket,,Scarred Black - Smirk,Designer Glasses,Tamberine,,No Traits,1
3325,333,1778,0,https://solanart.io/nft/2dgehJLQrGCK8YQCWCmsEaWE9Q9mkBS2uhYfvqcr6oVK,Black,Prom King,,Fox - Smirk,No Traits,No Traits,,War Medal - Smirk,1
3347,22,4558,0,https://solanart.io/nft/CojoXgjkgZ2pVGLfJvGXQjmbAtaNZ1Je9LBJEpnabg3b,Green,Fairy Wings,,Brown - Grin,No Traits,Trucker Cap,,Smashed Bottle - Grin,5
3361,100,3378,0,https://solanart.io/nft/CfneKHwpdas547W5c6vkApNZMX2wzUxsPMtij25nDKeU,Blue,Football Jersey - Red/Blue,,Blue - Grin,Designer Glasses,Cardboard Box,,Lollipop - Grin,6
3379,24.9,1127,0,https://solanart.io/nft/1BiecxZPfS8MAwqxWVQ4hJ1zCFNYaE97q3n3oUxCPts,Black,Designer Jacket,,Fox - Grin,Designer Glasses,Takeout,,Lollipop - Grin,6
3386,35,5880,0,https://solanart.io/nft/7WzNWbRcTPF82HFAoM1wYxt5K1QrUYtijMB1KKgx9Zg5,Yellow,Designer Jacket,,Brown - Smirk,No Traits,Lampshade,,Match Stick - Smirk,1
3427,19.99444,2220,0,https://solanart.io/nft/Cs2MQcQqyci8kmhWv6GMkVwY5rNkUja2UsyJSiNkU6W7,Blue,Degen Service Polo,,Scarred Blue - Grin,Designer Glasses,Beanie,,No Traits,5
3436,7,8284,63.5,https://magiceden.io/item-details/9TKM2WUg1uRFydbk3mQTXTPHYrLLvAt1zVhUmFSYJx4e,Red,Singlet,,Scarred Red - Grin,Designer Glasses,Plunger,,No Traits,1
3478,19,3856,0,https://solanart.io/nft/CdSapeXCUBMPBBS7gCvLjtHrva3rAJiGm1FJGMNG9rtp,Red,Denim Vest,,Red - Grin,No Traits,Flat Cap,,Dynamite - Grin,2
3488,24,1423,0,https://solanart.io/nft/AjorYxes8Vyf1bbaNWTvnrQDkBxtDuJ9T1mP8pA8saog,Purple,Slav Jacket,,Red - Grin,Designer Glasses,Paint Can,,Dynamite - Grin,1
3489,5.99,7864,74.79,https://magiceden.io/item-details/9LYVYjQ1vqTawARZB5tD84HCVxaDZ6QLLR9W6zi4MBNE,Green,Open Shirt,,Green - Smirk,No Traits,Trucker Cap,,Crayon Shiv - Smirk,1
3539,50,4225,0,https://solanart.io/nft/C8mUEsA4QSVPKgxbimBK2LLT11xAQBNyXsA59yDDpM3V,Black,No Traits,,Antique - Smirk,Designer Glasses,Colander,,Burnt Spoon - Smirk,2
3560,13.24,9512,0,https://solanart.io/nft/G93srk2QMFEw2bMPD6DUEYrYLMGMjq13JEXye1ucdMZU,Blue,Bandana,,Blue - Grin,Designer Glasses,Paint Can,,No Traits,1
3571,9.4,9001,37.47,https://magiceden.io/item-details/9orEbwgeDySJuiAGFJuhk8uKV73NmY9tSfLRpp2MGmeS,Yellow,Fishing Vest,,Red - Grin,No Traits,Trash Lid,,Bone - Grin,6
3580,9.69,8746,35.29,https://magiceden.io/item-details/Fr3T5U9sTv7X9WLZ8Ytr5dZDh9KWcL8dwTv8CUUFn3np,Yellow,Bandana,,Scarred Brown - Smirk,Swimming Goggles,No Traits,,No Traits,6
3590,195,1456,0,https://solanart.io/nft/9ALbgrBmrX5rqZGHfwdiEFRNpKiCNbnwL84Tr6gnEYyZ,Yellow,Engineer,,Brown - Smirk,Designer Glasses,Pirate Hat,,War Medal - Smirk,4
3602,50,11605,0,https://solanart.io/nft/8apSUyeRjaeDu3ZUwMM4NvCK8DBtMFovWCDCtgKZGwhK,Black,Dress Shirt,,Black - Grin,No Traits,No Traits,,Acid - Grin,2
3628,6.5,6525,73.47,https://magiceden.io/item-details/S89xMdzWTCJ12NaZfrsu8sz1v4b3ceRq9EYJpmkdejC,Yellow,Xmas Sweater,,Brown - Smirk,Designer Glasses,No Traits,,Burnt Spoon - Smirk,2
3632,19,6560,0,https://solanart.io/nft/H4uMA145ziSUeGX9JvHWNWymzT2ibdaLmMS6RkhWW3Ky,Black,Bandana,,Black - Grin,No Traits,Paper Bag,,Bone - Grin,1
3646,39,11992,0,https://solanart.io/nft/824mdRT4PpjfEenTscxWYLQspvmiZjFLU4h59ydsk8r5,Red,Singlet,,Scarred Green - Grin,No Traits,Pot,,No Traits,5
3657,6,7692,75.17,https://magiceden.io/item-details/5StrcdUjYGK6a3qAM588QGij6KSNnEjvCZGnLZKPSMns,Yellow,Bumbag,,Scarred Brown - Smirk,No Traits,Trash Lid,,Cigarette - Smirk,1
3669,20,1495,0,https://solanart.io/nft/FhyxeT3zcESMnt1e4QV3rLA2GRdXARRCdJhUgjebxW6C,Red,Down Jacket,,Red - Grin,Snow Goggles,Trash Lid,,No Traits,6
3675,42,3689,0,https://solanart.io/nft/6jN2SsXsE7Nt36R4yxPNszVZRqh5MytnTz73N23XDueg,Black,Bumbag,,Purple - Grin,No Traits,The Gambler,,Dynamite - Grin,2
3702,20,7281,0,https://solanart.io/nft/CFqxRoNM3Tpb653gJD7mpwjNYYZoEJWJVuViPEy7sJG9,Black,Football Jersey - Red/Blue,,Black - Smirk,No Traits,Pandos,,Burnt Spoon - Smirk,6
3783,11,6063,29.77,https://alpha.art/t/6p4qvPH5L3cSKnRADF8RdjKsioZcSCc7cAdbCfZCNSPw,Black,Singlet,,Black - Grin,No Traits,Beret,,Acid - Grin,2
3794,200,1255,0,https://solanart.io/nft/8rvn34gGnQdwikP56d4kiv11dBik9voDNJQZAaphnops,Purple,Open Shirt,,Purple - Smirk,Trash Vipers,Tomato Soup,,Cigarette - Smirk,5
3837,8.5,1216,68.46,https://magiceden.io/item-details/5kBNuYwEjGjqn2K52nSUupJeeQf2xnwmNAfVFtpyimVt,Green,Overalls,,Scarred Black - Smirk,Designer Glasses,Pirate Hat,,War Medal - Smirk,6
3852,21,11354,0,https://solanart.io/nft/3y85DeoBvF1kybtdsRD95Cp2RREz6gU3yEmLuau7vVpE,Red,No Traits,,Red - Grin,Reading Glasses,Beret,,No Traits,3
3863,75,3028,0,https://solanart.io/nft/C8NHGE7SnpBkA5Eqn9r91vYk89SHxS5DHnYX5SXasenL,Green,Vampire Cape,,Scarred Green - Grin,No Traits,No Traits,,Cigar - Grin,5
3869,6.9,12925,51.39,https://magiceden.io/item-details/BZGtWoYUSowALjgCk3ZJXvz9dwHDteiqEZvFpiVZ4BQ4,Black,No Traits,,Black - Smirk,Reading Glasses,No Traits,,Rat Tail - Smirk,2
3891,5.75,13291,61.85,https://magiceden.io/item-details/4m87wWrxxLksbZtdgWaRxQLsnZqKh6HWps1Z4ooDsftj,Blue,T-Shirt,,Blue - Smirk,No Traits,Tamberine,,No Traits,6
3902,9.55,3192,52.38,https://magiceden.io/item-details/ApdDECJM24PYgptVecmvRJXeAyng8nVgZw3DHV9ZMHjt,Yellow,Chain,,Scarred Brown - Grin,Designer Glasses,Tomato Soup,,No Traits,5
3932,10.69,4135,38.32,https://solanart.io/nft/5CensxaZ2Rztr1m6ucRSpwLHdLqknJPMEHN89Q1K7grZ,Yellow,Fishing Vest,,Scarred Brown - Grin,No Traits,Beret,,Acid - Grin,1
3937,20,1038,0,https://solanart.io/nft/7iupCwAwGkFoMm6NpQEfxaT9r2v11bKUhXEHYA2xWNud,Purple,Degen Service Polo,,Scarred Purple - Grin,Star Glasses,No Traits,,Smashed Bottle - Grin,1
3987,18,6273,0,https://solanart.io/nft/F46HY3XYV3cqNtV6qEUgGtomTLSbNVbQqvc38pT1EAxH,Blue,Engineer,,Scarred Blue - Smirk,No Traits,Belt,,Rat Tail - Smirk,2
4068,2500,1829,0,https://solanart.io/nft/EMwiodHRhsa8jCjoF8R9Wpq4j4MLfxMMc4t61iUYNKq1,Purple,Bumbag,,Blue - Smirk,No Traits,Urn,,Bird Foot - Smirk,6
4212,7.25,8790,59.57,https://magiceden.io/item-details/At45UqqViUatgKdDCQMCmAjkm9ZDacMv1pJ4NkUwiPBh,Purple,No Traits,,Scarred Purple - Grin,Reading Glasses,Tomato Soup,,No Traits,1
4220,5.7,10239,70.98,https://magiceden.io/item-details/916Fqxhea4nttHURN9r1HwKqY4QUNpYB8VGFBQYxTV1o,Red,Engineer,,Scarred Red - Grin,No Traits,No Traits,,Bone - Grin,4
4242,9,12136,32.62,https://magiceden.io/item-details/ALvVJDPFXR3x5r6KguudExzASswkkEgyjc76ocees56L,Yellow,Denim Vest,,Scarred Brown - Grin,No Traits,Pot,,No Traits,1
4246,69420,1461,0,https://solanart.io/nft/A9FUduUTWEauWKT3Bn6x6HuWDchc3ASugB33ipoqjyVa,Black,Fishing Vest,,Black - Grin,Swimming Goggles,Paint Can,,Acid - Grin,1
4269,57,3123,0,https://solanart.io/nft/6MgKmYbzhHUPJb8W8mmSSt6EXgeJnY23jCxzB3g6YhoD,Black,Toga,,Antique - Smirk,No Traits,Lampshade,,Bird Foot - Smirk,1
4295,29.9,3830,0,https://solanart.io/nft/FugFKwEDyJfHjpcvabVnYQ3KAwZQaXpG8iqxCkASqxVo,Black,Singlet,,Scarred Black - Smirk,Reading Glasses,Trash Lid,,Cigarette - Smirk,6
4329,150,4864,0,https://solanart.io/nft/2LgQT24Df4dVKGAHmzNUaJbi6ZrQaoS8kNJwGGNqM9Lg,Purple,T-Shirt,,Scarred Purple - Smirk,Designer Glasses,Paint Can,,Match Stick - Smirk,1
4351,9.2,13369,27.13,https://solanart.io/nft/6neTb6WyWMUzFyFpWLeSrPQ6edW59JfRH5F2La8K2gxk,Purple,Knitted Vest,,Purple - Grin,No Traits,Tamberine,,No Traits,2
4418,22,5602,0,https://solanart.io/nft/Fx2kY5CgWfQ4TFs2pKas5wSEqeGQrSMUcHHp1wXLRUd3,Red,Bumbag,,Red - Grin,No Traits,Pandos,,Smashed Bottle - Grin,1
4421,12,6392,18.84,https://solanart.io/nft/GcF5bAKEjF9h7vtdztqKKzzEqUBTAeGtVuAwKJLqZTwS,Green,Overalls,,Scarred Green - Grin,Reading Glasses,Ice Cream,,No Traits,2
4442,40,3832,0,https://solanart.io/nft/Bwkd95Uv5xR1PuHjuV45mD6PzNdxBHRefSeo2kr9gDJo,Black,Hoodie,,Antique - Smirk,No Traits,Ice Cream,,Crayon Shiv - Smirk,1
4464,8.1,11141,44.43,https://magiceden.io/item-details/FpNbvWkZf522CiRbf1U5a8jKiqqLRQvJvAmvqYCtbgbT,Yellow,Knitted Vest,,Brown - Grin,No Traits,No Traits,,Smashed Bottle - Grin,1
4583,8.5,9959,43.77,https://solanart.io/nft/7Ki67oDxh17DcQDuwerbxuKrRiFjNhun57vm8sBQNuox,Yellow,Denim Vest,,Scarred Brown - Smirk,No Traits,Plunger,,Rat Tail - Smirk,1
4608,12,2981,28.48,https://solanart.io/nft/3JCH3hYPK2fojQNfo9Ci8jBnPwGZzcjEiT2StZWkN4MY,Green,Mummy,,Green - Smirk,Reading Glasses,Headband,,Rat Tail - Smirk,1
4620,13,4025,15.53,https://solanart.io/nft/8E9o83iupjuVWKZppKr9qjauwnQv1v5V7etaAr2ibu1m,Purple,T-Shirt,,Black - Smirk,Designer Glasses,Pirate Hat,,Bird Foot - Smirk,3
4635,88.879997,8420,0,https://solanart.io/nft/EGXmTcqyUyKK37M3GGmNRtrGHKZhZakLARMNGGrtr9JT,Blue,Bandana,,Blue - Smirk,No Traits,Headband,,Bird Foot - Smirk,1
4650,15,2667,0,https://solanart.io/nft/8Jvf1r8nFytuhRQSyd42gFzBNxkMP9ET9kg2meV5QPtW,Red,Turtle Neck,,Red - Smirk,Trash Vipers,Beret,,Burnt Spoon - Smirk,6
4656,50,14160,0,https://solanart.io/nft/339FXiXicaQXkZ3EgPLPdVV7AskLnxnYdSbKDY3QxUP8,Green,No Traits,,Scarred Green - Smirk,No Traits,No Traits,,No Traits,1
4697,25,7747,0,https://solanart.io/nft/6BMZZdBxVUqirdsc4sKmD1GvC2ttqUtLRGcveMGT8mhV,Black,Chain,,Scarred Black - Smirk,No Traits,Plunger,,Rat Tail - Smirk,5
4700,8.5,5733,55.71,https://magiceden.io/item-details/93zS6WpeGrtWCK71zpGbyJ8c1CXV952SEF5VHXSYp2uW,Blue,No Traits,,Blue - Smirk,Reading Glasses,Tomato Soup,,Bird Foot - Smirk,2
4714,9.3,2070,58.05,https://magiceden.io/item-details/DVrxUk45MJCVS1aKnzgahhuXYEThNWarcT5fMPneLFTi,Red,No Traits,,Scarred Red - Smirk,Reading Glasses,Paper Bag,,Joint - Smirk,2
4722,9,9782,39.27,https://magiceden.io/item-details/9PHPen5cmzNJP8YcjNQKzw8184JSjyYFJmLQu4F2zB5J,Blue,Fishing Vest,,Blue - Smirk,Reading Glasses,Plunger,,No Traits,2
4726,65,11455,0,https://solanart.io/nft/41vpDNozuDTVPi3arUKHs8wP5sYjAuqaay9CsMUQ1XXY,Black,Spacesuit,,Red - Grin,No Traits,No Traits,,No Traits,5
